Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-0.225,-0.018,1.010,-11.475,11.658,-20.081
-0.169,-0.022,1.008,-6.042,3.052,-18.250
-0.176,-0.044,1.015,-8.240,-4.883,-16.479
-0.168,-0.029,1.019,-15.564,-14.404,-14.954
-0.167,0.007,1.036,-23.132,-26.794,-12.329
-0.204,-0.025,1.048,-26.306,-40.955,-8.667
-0.312,-0.002,1.025,-33.936,-53.833,-4.517
-0.479,-0.066,1.039,-42.175,-61.890,-0.977
-0.625,-0.175,1.291,-53.528,-76.782,4.395
-0.579,-0.216,1.653,-66.345,-86.792,12.756
-0.659,-0.200,2.089,-84.534,-86.182,20.691
-0.657,-0.114,2.480,-115.540,-82.458,27.527
-0.679,0.053,2.901,-133.545,-73.547,33.691
-0.693,0.265,3.288,-130.554,-56.213,36.743
-0.709,0.506,3.486,-125.244,-18.372,34.302
-0.734,0.689,3.487,-98.389,21.240,26.245
-0.773,0.741,3.346,-58.716,60.242,13.428
-0.834,0.630,3.155,-31.799,95.520,-1.160
-0.882,0.488,2.927,-11.414,125.732,-13.123
-0.940,0.376,2.635,9.827,150.452,-21.423
-0.966,0.300,2.401,34.973,168.335,-26.855
-1.004,0.146,2.231,66.589,180.542,-30.518
-0.994,-0.069,2.114,93.750,189.636,-31.433
-0.994,-0.283,2.008,109.985,198.120,-27.039
-0.981,-0.425,1.892,110.474,206.909,-17.456
-0.967,-0.494,1.757,104.004,215.271,-4.700
-0.961,-0.504,1.601,93.506,222.351,8.606
-0.946,-0.465,1.427,82.214,228.271,22.217
-0.904,-0.373,1.298,69.397,231.812,34.302
-0.845,-0.267,1.192,64.331,233.826,43.640
-0.787,-0.179,1.089,63.049,235.779,50.354
-0.735,-0.091,0.987,54.871,238.342,54.504
-0.688,-0.039,0.883,52.490,240.173,56.396
-0.628,0.003,0.815,56.091,240.540,57.190
-0.577,0.018,0.818,57.190,238.159,56.519
-0.563,0.014,0.893,56.335,235.535,54.810
-0.555,-0.067,0.939,65.063,235.779,53.772
-0.500,-0.189,0.954,68.542,239.014,53.833
-0.476,-0.331,0.959,72.083,243.469,56.519
-0.464,-0.444,0.951,72.876,248.596,63.171
-0.469,-0.468,0.937,69.458,254.578,72.754
-0.510,-0.455,0.886,59.998,261.841,83.862
-0.535,-0.406,0.844,36.377,269.409,93.323
-0.558,-0.347,0.827,18.799,276.917,100.769
-0.627,-0.291,0.835,11.597,284.729,106.384
-0.676,-0.234,0.850,7.935,293.091,111.023
-0.719,-0.196,0.859,5.310,302.490,114.136
-0.776,-0.151,0.845,1.770,312.866,117.371
-0.830,-0.098,0.807,-0.061,323.669,120.117
-0.896,-0.045,0.764,-3.052,335.510,122.131
-0.994,-0.094,0.652,-5.310,349.121,123.657
-1.048,-0.093,0.464,-9.155,364.075,127.563
-1.078,-0.029,0.262,-24.963,376.526,132.141
-1.095,0.073,0.093,-38.635,384.277,135.132
-1.097,0.151,-0.065,-52.551,389.587,134.766
-1.047,0.228,-0.261,-66.772,393.921,131.287
-0.985,0.311,-0.370,-69.641,389.404,125.671
-0.965,0.395,-0.491,-56.946,380.188,117.859
-0.881,0.426,-0.632,-43.884,374.207,106.262
-0.796,0.388,-0.708,-33.569,363.464,93.262
-0.759,0.280,-0.731,-33.813,350.952,80.872
-0.714,0.121,-0.727,-30.151,339.478,72.021
-0.665,-0.044,-0.738,-24.658,329.956,69.214
-0.617,-0.071,-0.771,-27.649,322.876,74.036
-0.592,-0.015,-0.832,-31.677,316.833,85.205
-0.553,0.133,-0.944,-42.847,311.951,95.886
-0.496,0.269,-1.028,-58.472,304.443,102.234
-0.465,0.363,-1.108,-68.909,295.471,100.220
-0.428,0.384,-1.148,-75.439,285.034,95.154
-0.401,0.346,-1.141,-74.585,273.682,88.440
-0.422,0.273,-1.126,-69.153,262.939,82.458
-0.408,0.225,-1.077,-64.453,254.150,78.430
-0.400,0.161,-1.063,-42.603,248.108,77.087
-0.398,0.109,-1.124,-12.024,244.873,79.651
-0.383,0.111,-1.216,2.441,241.211,86.853
-0.410,0.171,-1.333,-2.380,235.413,97.534
-0.399,0.281,-1.471,-29.053,228.638,107.849
-0.389,0.402,-1.628,-62.073,220.459,114.563
-0.361,0.495,-1.765,-85.510,208.252,116.699
-0.328,0.536,-1.835,-101.563,191.162,114.563
-0.297,0.555,-1.811,-109.924,170.471,109.680
-0.288,0.549,-1.730,-106.262,150.391,104.309
-0.286,0.559,-1.663,-104.431,134.949,99.792
-0.299,0.624,-1.620,-102.295,123.840,96.069
-0.301,0.728,-1.644,-94.604,115.540,91.675
-0.328,0.861,-1.713,-93.262,108.398,84.839
-0.316,1.007,-1.795,-94.788,99.609,73.853
-0.304,1.101,-1.854,-90.210,87.524,57.922
-0.278,1.088,-1.878,-68.848,71.899,37.598
-0.240,1.031,-1.819,-46.082,54.077,16.968
-0.222,0.958,-1.702,-23.193,37.231,-1.953
-0.238,0.880,-1.570,-3.052,23.743,-18.860
-0.268,0.803,-1.465,13.733,14.343,-34.485
-0.314,0.711,-1.398,30.945,7.812,-48.584
-0.329,0.614,-1.438,45.288,4.822,-61.218
-0.365,0.503,-1.478,50.354,1.404,-72.021
-0.348,0.366,-1.526,70.862,-3.723,-80.139
-0.344,0.254,-1.595,82.397,-9.155,-84.900
-0.370,0.180,-1.628,86.243,-17.456,-86.609
-0.391,0.146,-1.659,86.487,-28.198,-86.487
-0.402,0.145,-1.670,89.417,-40.039,-85.388
-0.413,0.163,-1.662,88.318,-53.040,-83.923
-0.440,0.199,-1.637,83.984,-65.186,-83.313
-0.477,0.230,-1.638,85.083,-76.721,-83.557
-0.516,0.263,-1.704,88.928,-85.938,-84.656
-0.570,0.255,-1.873,101.746,-94.177,-87.402
-0.599,0.196,-2.065,116.821,-106.873,-90.454
-0.599,0.107,-2.213,121.765,-126.587,-92.224
-0.618,0.043,-2.248,109.802,-153.687,-90.881
-0.726,0.003,-2.154,85.815,-185.608,-87.158
-0.760,0.002,-1.964,59.265,-218.201,-79.956
-0.790,0.101,-1.691,33.325,-246.826,-69.153
-0.835,0.250,-1.467,33.142,-268.311,-62.744
-0.876,0.338,-1.289,52.246,-284.241,-64.087
-0.914,0.368,-1.176,66.833,-295.166,-69.092
-0.933,0.337,-1.130,78.857,-303.467,-76.538
-0.991,0.301,-1.113,81.787,-312.439,-83.496
-1.042,0.327,-1.113,76.965,-323.792,-88.135
-1.101,0.421,-1.098,67.017,-339.111,-91.370
Done. Type '시작' to run again.
