Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-0.245,-0.000,1.083,-46.021,35.034,11.536
-0.195,0.042,1.059,-23.376,20.935,7.202
-0.140,0.098,1.061,-39.795,8.667,6.165
-0.153,0.106,1.048,-35.645,-10.559,7.263
-0.168,0.112,1.082,-34.912,-30.579,11.536
-0.201,0.043,1.093,-41.687,-51.636,17.456
-0.275,0.062,1.040,-65.125,-71.289,23.315
-0.425,0.189,1.044,-88.928,-84.167,26.855
-0.557,0.479,1.215,-90.515,-90.515,26.611
-0.535,0.469,1.393,-46.692,-81.055,16.663
-0.488,0.389,1.599,-3.235,-75.195,5.859
-0.460,0.266,1.761,6.409,-58.899,-3.601
-0.450,0.109,1.896,13.977,-46.570,-10.498
-0.450,-0.017,2.034,17.151,-34.119,-12.695
-0.464,-0.086,2.191,27.100,-21.301,-9.155
-0.515,-0.068,2.328,48.279,-7.568,-1.099
-0.561,0.012,2.411,73.425,10.193,9.766
-0.599,0.095,2.307,104.736,34.607,19.348
-0.598,0.167,2.164,116.394,58.044,24.475
-0.629,0.189,2.012,107.544,76.477,25.024
-0.625,0.156,1.872,93.567,91.003,22.278
-0.640,0.096,1.769,75.012,101.868,18.738
-0.635,0.018,1.680,58.533,109.985,15.137
-0.620,-0.069,1.627,41.504,115.845,12.268
-0.608,-0.160,1.622,24.109,119.995,10.498
-0.652,-0.203,1.721,11.597,123.657,10.620
-0.648,-0.234,1.826,21.545,129.517,13.306
-0.634,-0.254,1.913,33.020,137.695,16.968
-0.657,-0.249,1.944,43.640,147.705,21.606
-0.667,-0.210,1.949,43.579,161.072,26.428
-0.680,-0.165,1.900,41.626,177.368,30.151
-0.711,-0.125,1.825,36.743,192.993,31.982
-0.750,-0.094,1.706,34.485,207.458,32.166
-0.767,-0.098,1.531,39.490,220.276,31.433
-0.698,-0.126,1.341,42.053,230.591,30.334
-0.644,-0.164,1.177,34.058,237.549,28.931
-0.593,-0.200,1.038,17.517,241.272,27.344
-0.524,-0.194,0.763,2.502,242.126,25.757
-0.512,-0.184,0.644,-10.803,236.694,23.621
-0.414,-0.176,0.563,-21.790,229.187,23.315
-0.368,-0.138,0.579,-38.330,219.971,23.560
-0.333,-0.090,0.653,-54.138,209.290,23.010
-0.332,-0.037,0.749,-66.528,199.951,20.508
-0.321,0.012,0.871,-69.702,193.970,16.052
-0.321,0.040,0.981,-62.622,192.810,10.010
-0.316,0.047,1.054,-42.114,196.594,4.089
-0.319,0.034,1.074,-16.663,204.712,-1.099
-0.329,0.020,1.051,3.845,215.881,-5.066
-0.320,-0.008,0.971,25.452,228.149,-8.118
-0.303,-0.044,0.844,44.250,239.380,-9.583
-0.302,-0.060,0.738,43.030,247.681,-10.193
-0.280,-0.081,0.661,36.499,254.272,-10.315
-0.276,-0.122,0.605,27.771,259.949,-9.644
-0.255,-0.138,0.576,13.428,265.076,-7.202
-0.258,-0.140,0.579,-4.578,268.921,-4.028
-0.263,-0.135,0.562,-16.296,274.170,-0.366
-0.282,-0.119,0.525,-23.926,280.884,3.662
-0.296,-0.091,0.488,-33.691,288.086,6.653
-0.314,-0.088,0.420,-35.645,296.082,8.301
-0.305,-0.082,0.335,-35.828,304.260,9.094
-0.310,-0.091,0.272,-49.133,310.486,10.132
-0.304,-0.061,0.233,-56.641,314.880,9.827
-0.330,-0.050,0.217,-54.749,318.176,7.629
-0.304,-0.045,0.196,-47.913,322.571,6.653
-0.326,-0.039,0.193,-45.227,329.224,5.310
-0.409,-0.058,0.188,-31.555,337.280,4.700
-0.467,-0.074,0.146,-13.000,348.450,6.714
