Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-0.480,-0.177,0.002,-68.481,90.027,3.052
-0.727,0.607,0.865,-34.790,73.242,7.568
-0.511,0.385,0.919,65.063,53.650,-1.282
-0.285,-0.014,0.942,98.999,37.476,-7.751
-0.555,0.095,0.943,69.824,34.424,-5.981
-0.385,-0.026,0.997,46.936,23.804,-6.226
-0.353,0.074,1.034,13.855,18.127,-6.348
-0.352,0.057,1.047,-16.052,4.944,-3.906
-0.384,0.054,1.063,-40.222,-12.939,0.000
-0.434,0.006,1.069,-65.674,-36.316,5.066
-0.478,-0.140,1.120,-93.933,-56.824,10.986
-0.577,-0.093,1.687,-128.479,-73.792,18.921
-0.665,-0.011,2.200,-116.943,-68.726,26.978
-0.773,0.100,2.675,-88.501,-53.223,32.593
-0.763,0.086,2.954,-30.151,-31.250,37.964
-0.749,0.095,2.978,9.827,13.550,43.091
-0.756,0.104,2.933,37.415,47.424,48.767
-0.770,0.162,2.821,50.049,77.393,54.810
-0.782,0.269,2.657,54.138,103.210,60.059
-0.799,0.403,2.447,57.678,125.488,63.110
-0.808,0.520,2.223,57.678,143.738,62.317
-0.811,0.628,2.032,51.575,157.471,57.251
-0.784,0.705,1.904,36.499,167.053,47.241
-0.782,0.680,1.817,25.818,173.584,32.410
-0.785,0.615,1.789,16.724,178.833,15.625
-0.783,0.524,1.817,6.165,184.143,-0.427
-0.796,0.393,1.863,10.315,190.857,-15.015
-0.799,0.246,1.898,21.484,199.707,-27.161
-0.792,0.078,1.884,32.715,210.144,-35.889
-0.606,-0.086,1.805,36.926,222.351,-41.626
-0.760,-0.192,1.572,39.246,234.558,-42.542
-0.802,-0.222,1.411,24.048,242.859,-40.955
-0.787,-0.272,1.294,15.747,246.643,-38.391
-0.699,-0.319,1.176,12.207,249.084,-34.241
-0.666,-0.331,1.067,5.615,250.000,-28.748
-0.646,-0.321,0.986,-1.526,249.451,-22.827
-0.627,-0.314,0.938,-6.348,247.437,-17.395
-0.555,-0.256,0.953,-11.230,244.690,-12.207
-0.566,-0.216,0.951,1.831,242.493,-6.897
-0.548,-0.163,0.974,-0.244,242.065,-3.601
-0.493,-0.135,0.983,-9.094,243.164,-2.075
-0.436,-0.118,0.987,-16.602,245.300,-1.709
-0.401,-0.089,0.999,-26.672,248.230,-2.380
-0.397,-0.056,0.977,-29.968,252.563,-3.845
-0.259,-0.015,0.941,-30.334,257.996,-5.859
-0.377,-0.019,0.827,-21.423,262.146,-8.728
-0.492,-0.003,0.802,-29.968,264.587,-11.780
-0.550,-0.001,0.825,-51.208,268.372,-16.479
-0.631,-0.087,0.849,-47.302,274.414,-21.362
-0.635,-0.213,0.847,-25.574,283.020,-22.461
-0.551,-0.329,0.805,2.930,293.823,-16.907
-0.520,-0.400,0.701,36.194,304.993,-5.859
-0.534,-0.418,0.591,55.664,314.758,7.935
-0.550,-0.421,0.478,68.420,322.632,23.560
-0.537,-0.398,0.377,68.970,328.491,39.185
-0.507,-0.315,0.282,63.721,332.764,54.138
-0.526,-0.243,0.160,63.354,335.144,67.078
-0.555,-0.159,0.079,49.683,336.365,77.148
-0.547,-0.094,0.029,28.198,336.426,84.961
-0.560,-0.041,-0.016,20.142,337.646,92.834
-0.578,0.004,-0.060,19.592,339.783,101.013
-0.554,0.060,-0.145,21.606,343.628,109.436
-0.511,0.145,-0.208,23.071,345.276,117.737
-0.474,0.237,-0.349,32.776,347.961,124.084
-0.443,0.306,-0.473,45.166,344.971,127.869
-0.408,0.346,-0.624,45.532,338.562,127.625
-0.363,0.377,-0.785,36.804,331.543,125.916
-0.316,0.423,-0.934,19.836,319.824,124.023
-0.274,0.460,-1.073,4.272,304.932,121.826
-0.205,0.491,-1.185,-18.616,287.231,118.958
-0.117,0.508,-1.219,-48.889,267.639,114.441
-0.056,0.520,-1.273,-61.523,247.864,109.253
0.016,0.575,-1.261,-82.153,226.501,104.370
0.094,0.631,-1.255,-91.675,206.543,97.473
0.123,0.663,-1.198,-100.159,187.317,88.013
0.139,0.679,-1.132,-96.619,170.654,77.393
0.153,0.670,-1.071,-84.961,156.616,66.772
0.148,0.646,-0.995,-81.970,146.179,57.129
0.161,0.607,-0.918,-87.952,139.221,48.340
0.143,0.562,-0.871,-85.205,135.132,40.833
0.111,0.527,-0.830,-76.782,133.423,34.729
0.111,0.478,-0.807,-70.068,133.118,30.151
0.094,0.413,-0.772,-66.406,133.362,26.794
0.086,0.376,-0.755,-60.547,133.911,25.391
0.066,0.379,-0.738,-52.856,135.193,25.452
0.009,0.424,-0.747,-33.813,137.451,25.513
-0.065,0.526,-0.822,-0.793,141.174,25.696
-0.128,0.675,-0.922,29.175,145.447,24.597
-0.137,0.807,-1.085,53.955,151.428,19.287
-0.158,0.848,-1.256,68.848,156.677,8.545
-0.206,0.774,-1.424,67.017,158.936,-4.883
-0.205,0.611,-1.561,49.988,157.043,-18.066
-0.255,0.478,-1.580,15.320,150.024,-28.015
-0.197,0.347,-1.638,15.198,138.367,-31.006
-0.222,0.214,-1.652,75.684,122.253,-26.794
-0.243,0.171,-1.652,85.815,105.408,-17.578
-0.240,0.208,-1.659,89.050,89.905,-5.432
-0.304,0.313,-1.694,88.867,72.083,6.592
-0.354,0.578,-1.806,78.552,54.810,17.151
-0.414,0.850,-1.964,65.002,36.194,19.287
