Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-1.350,3.342,4.000,88.623,-3.113,-11.475
0.558,-0.201,-0.130,301.392,122.375,-14.954
-0.994,-0.043,0.527,-15.442,119.812,-19.165
-0.507,-0.256,1.359,157.410,112.488,-12.207
-0.371,-0.214,1.147,152.832,83.130,1.587
-0.237,0.160,1.006,41.443,63.171,11.230
-0.245,0.218,1.016,18.555,45.288,11.597
-0.242,0.089,1.066,55.542,22.217,4.639
-0.263,0.073,1.064,49.866,0.854,1.282
-0.301,0.137,1.033,20.386,-19.653,1.953
-0.275,0.233,1.125,-7.690,-40.649,3.540
-0.417,0.209,1.081,-18.433,-66.833,3.418
-0.394,0.527,1.148,-76.172,-103.333,3.357
-0.439,0.446,1.430,-102.478,-116.150,-3.052
-0.515,0.440,2.330,-80.017,-126.404,-4.333
-0.609,0.411,3.206,-45.471,-126.709,-3.906
-0.588,0.444,3.563,-2.686,-85.144,-4.089
-0.621,0.476,3.968,29.358,-38.086,-5.737
-0.658,0.445,3.664,51.819,36.865,-10.742
-0.711,0.355,3.115,75.867,98.999,-15.625
-0.772,0.286,2.535,93.933,138.672,-18.555
-0.823,0.229,2.010,105.591,162.354,-19.775
-0.837,0.161,1.631,107.910,171.692,-20.386
-0.817,0.086,1.404,102.539,170.532,-20.630
-0.783,0.016,1.327,95.703,163.757,-20.325
-0.723,-0.067,1.367,91.736,155.701,-19.592
-0.710,-0.164,1.483,82.825,149.292,-17.639
-0.683,-0.257,1.617,70.190,146.790,-14.221
-0.661,-0.317,1.745,60.242,149.536,-8.850
-0.681,-0.346,1.821,61.157,157.471,-2.136
-0.696,-0.350,1.837,70.068,168.274,6.226
-0.697,-0.325,1.803,73.669,180.603,14.954
-0.702,-0.291,1.704,74.158,193.359,22.827
-0.694,-0.244,1.569,68.481,205.261,28.809
-0.740,-0.184,1.423,58.105,214.905,33.203
-0.700,-0.059,1.298,52.795,221.924,35.461
-0.756,-0.051,1.187,78.186,226.196,35.645
-0.681,-0.079,1.177,84.290,228.943,34.363
-0.627,-0.137,1.210,87.891,232.483,33.997
