Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-0.533,-0.200,1.445,-139.954,-90.332,4.761
-0.573,-0.188,1.873,-147.400,-93.750,14.954
-0.597,-0.092,2.358,-124.878,-78.796,24.597
-0.644,-0.018,2.740,-88.257,-60.547,32.837
-0.677,0.055,2.780,-46.204,-14.587,39.124
-0.728,0.110,2.682,-10.254,27.466,43.152
-0.752,0.181,2.459,23.499,61.279,47.058
-0.761,0.284,2.228,44.250,86.792,50.110
-0.765,0.413,2.046,47.363,103.821,50.659
-0.774,0.534,1.933,41.687,115.601,47.119
-0.779,0.642,1.873,40.466,124.939,39.246
-0.761,0.695,1.792,51.270,134.338,28.137
-0.754,0.668,1.717,54.810,142.517,13.855
-0.733,0.538,1.650,51.147,149.170,-1.953
-0.739,0.327,1.644,42.908,154.297,-16.968
-0.773,0.095,1.668,34.912,158.875,-28.870
-0.788,-0.131,1.700,26.733,163.879,-35.339
-0.784,-0.370,1.717,18.127,170.166,-37.537
-0.802,-0.591,1.702,13.306,177.429,-34.851
-0.812,-0.760,1.661,12.756,184.998,-26.245
-0.787,-0.873,1.611,15.381,192.017,-12.878
-0.766,-0.904,1.567,14.343,197.876,3.662
-0.750,-0.817,1.540,14.282,203.308,22.888
-0.739,-0.634,1.536,12.146,208.679,40.894
-0.737,-0.402,1.563,7.507,214.844,54.504
-0.728,-0.194,1.570,8.606,223.022,62.439
-0.724,-0.047,1.567,8.911,232.300,64.453
-0.712,0.034,1.538,9.033,242.065,62.195
-0.701,0.046,1.483,4.883,252.136,57.068
-0.712,0.001,1.402,-1.709,262.817,50.903
-0.702,-0.076,1.294,-7.751,273.010,45.715
-0.691,-0.188,1.170,-13.733,282.288,42.175
-0.674,-0.281,1.055,-23.437,290.344,41.626
-0.654,-0.333,0.946,-30.090,296.936,44.617
-0.641,-0.333,0.839,-38.025,301.941,50.049
-0.630,-0.274,0.728,-46.814,306.458,56.824
-0.612,-0.138,0.613,-46.875,310.791,63.721
-0.578,-0.004,0.462,-27.344,314.270,69.519
-0.486,0.121,0.302,-18.250,315.430,72.449
-0.443,0.222,0.184,-30.212,314.087,71.960
-0.404,0.266,0.082,-48.889,311.584,67.078
-0.322,0.284,-0.022,-60.486,307.495,59.875
-0.236,0.273,-0.078,-71.289,299.561,51.331
-0.161,0.253,-0.093,-83.740,288.513,42.480
-0.116,0.214,-0.071,-103.699,277.222,33.569
-0.079,0.168,-0.003,-130.676,266.968,24.963
-0.063,0.131,0.090,-153.320,259.033,16.907
-0.058,0.095,0.176,-156.982,254.395,9.827
-0.055,0.060,0.230,-145.264,253.296,4.333
-0.049,0.025,0.241,-124.268,255.310,0.488
-0.055,-0.017,0.215,-100.769,259.033,-1.526
-0.057,-0.060,0.170,-75.867,263.733,-1.282
-0.053,-0.110,0.089,-46.875,268.433,1.099
-0.051,-0.172,0.007,-23.865,271.973,5.554
-0.056,-0.222,-0.080,-9.827,274.170,12.512
-0.057,-0.249,-0.154,-5.859,275.085,21.973
-0.068,-0.220,-0.226,-13.672,276.794,32.349
-0.084,-0.158,-0.275,-23.376,276.978,42.542
-0.086,-0.102,-0.332,-18.066,273.743,51.514
-0.080,-0.037,-0.370,-20.630,270.569,59.875
-0.092,0.001,-0.421,-17.212,268.066,67.322
-0.104,0.023,-0.445,-15.015,264.465,74.280
-0.140,0.056,-0.500,-17.944,262.085,82.275
-0.176,0.122,-0.520,-20.691,258.789,91.248
-0.203,0.224,-0.549,-22.034,256.653,100.647
-0.232,0.369,-0.597,-25.269,256.104,108.948
-0.252,0.503,-0.646,-28.687,254.333,114.868
-0.304,0.649,-0.700,-38.513,252.808,116.882
-0.294,0.783,-0.756,-50.110,251.587,112.488
-0.332,0.804,-0.805,-42.114,249.207,103.882
-0.316,0.890,-0.871,-37.292,246.155,93.445
-0.292,0.934,-0.888,-80.688,244.995,76.538
-0.282,0.875,-0.944,-81.238,242.493,56.641
-0.305,0.748,-1.011,-76.111,240.356,37.231
-0.325,0.614,-1.066,-80.383,237.488,21.545
-0.329,0.484,-1.140,-75.012,234.924,11.169
-0.340,0.381,-1.214,-70.923,231.384,6.042
-0.351,0.340,-1.275,-67.261,226.990,5.127
-0.370,0.339,-1.366,-53.345,221.375,7.019
-0.369,0.403,-1.436,-50.171,214.478,9.216
-0.365,0.443,-1.516,-39.185,205.994,9.399
-0.372,0.455,-1.574,-24.597,194.946,7.935
-0.379,0.466,-1.643,-7.202,182.617,6.165
-0.361,0.485,-1.706,-7.568,169.678,3.235
-0.346,0.480,-1.744,-0.793,154.663,0.061
-0.344,0.465,-1.799,2.686,139.038,-3.052
-0.313,0.436,-1.840,-1.648,123.840,-5.676
-0.301,0.352,-1.830,-3.967,107.178,-8.667
-0.330,0.277,-1.778,1.892,91.797,-9.888
-0.308,0.200,-1.808,31.067,77.759,-7.996
-0.299,0.188,-1.791,45.349,62.500,-2.563
-0.301,0.241,-1.809,53.772,46.082,5.127
-0.300,0.360,-1.835,55.969,28.137,12.573
-0.287,0.500,-1.839,51.941,8.484,16.663
-0.300,0.600,-1.800,45.532,-11.597,15.930
-0.305,0.677,-1.736,39.917,-30.762,11.902
-0.300,0.737,-1.672,34.363,-48.401,5.493
-0.298,0.758,-1.579,27.527,-64.575,-2.747
-0.290,0.721,-1.477,22.522,-78.918,-12.695
-0.305,0.651,-1.379,21.790,-90.881,-22.705
-0.336,0.557,-1.298,24.536,-101.257,-30.823
-0.351,0.466,-1.245,32.288,-110.168,-36.438
-0.367,0.418,-1.173,38.635,-118.225,-38.818
-0.379,0.433,-1.110,45.532,-126.953,-39.185
-0.390,0.519,-1.054,52.124,-135.132,-38.940
-0.393,0.662,-0.999,50.110,-142.334,-40.955
-0.387,0.802,-0.948,45.776,-147.705,-48.218
-0.393,0.874,-0.935,46.082,-150.269,-61.890
-0.421,0.859,-0.992,53.162,-150.330,-80.261
-0.449,0.743,-1.135,69.702,-150.818,-99.792
-0.503,0.560,-1.285,88.623,-153.992,-117.432
-0.578,0.382,-1.474,110.291,-160.522,-130.615
-0.590,0.290,-1.553,125.916,-175.049,-138.672
-0.563,0.275,-1.745,145.569,-193.115,-141.663
-0.607,0.355,-1.869,144.165,-216.553,-143.188
-0.733,0.475,-1.904,132.629,-247.620,-147.278
-0.886,0.576,-1.794,100.891,-281.128,-153.870
-1.054,0.630,-1.593,63.354,-315.125,-163.208
-1.176,0.617,-1.366,38.818,-347.168,-175.842
Done. Type '시작' to run again.
