Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-0.326,0.001,0.983,3.174,7.507,-19.165
-0.317,0.015,1.002,9.888,0.122,-19.653
-0.355,-0.014,0.988,6.714,-9.460,-17.761
-0.388,-0.019,1.087,3.296,-24.841,-14.221
-0.445,-0.046,1.065,8.179,-42.969,-8.972
-0.506,-0.123,1.321,7.568,-68.481,-5.310
-0.583,-0.227,2.326,2.319,-99.976,-1.831
-0.623,-0.384,3.379,-0.610,-101.807,2.502
-0.670,-0.404,4.000,-9.949,-54.077,9.949
-0.740,-0.312,4.000,14.160,-7.385,20.935
-0.850,-0.160,4.000,44.678,45.044,29.175
-1.004,-0.008,3.962,66.772,95.581,33.569
-1.133,0.070,3.576,63.538,139.160,32.898
-1.226,-0.023,3.175,49.622,174.866,28.381
-1.272,-0.219,2.851,30.396,203.369,23.987
-1.295,-0.403,2.529,21.545,225.098,23.071
-1.278,-0.476,2.222,26.123,240.601,26.672
-1.277,-0.512,1.948,40.527,249.634,32.715
-1.216,-0.535,1.709,53.040,254.272,39.490
-1.138,-0.620,1.584,62.927,254.578,46.387
-1.088,-0.676,1.553,69.580,252.502,55.725
-1.042,-0.671,1.588,75.745,251.343,68.237
-1.043,-0.584,1.671,74.646,252.625,81.604
-1.058,-0.441,1.705,69.214,258.362,93.872
-1.062,-0.263,1.638,62.317,268.372,103.516
-1.063,-0.084,1.499,55.542,280.334,109.680
-1.068,0.066,1.307,56.091,292.053,112.183
-1.031,0.168,1.084,58.838,302.979,112.000
-0.970,0.273,0.792,51.147,315.857,112.427
-0.905,0.204,0.611,42.725,320.496,105.103
-0.817,0.143,0.451,34.729,318.787,96.008
-0.761,0.057,0.349,31.860,316.284,90.271
-0.665,-0.045,0.305,25.330,309.448,84.900
-0.579,-0.221,0.335,4.578,302.246,81.726
-0.545,-0.335,0.427,0.427,293.335,84.717
-0.556,-0.401,0.513,-12.878,291.382,90.271
-0.608,-0.407,0.501,-9.460,293.762,98.083
-0.609,-0.298,0.383,3.235,297.974,109.009
-0.573,-0.092,0.139,28.564,302.734,119.324
-0.532,0.116,-0.142,58.167,303.589,126.099
-0.459,0.348,-0.344,64.697,295.105,130.310
-0.392,0.483,-0.394,63.232,281.067,127.014
-0.361,0.523,-0.389,49.377,266.602,114.136
-0.281,0.537,-0.344,29.785,253.479,103.210
-0.201,0.506,-0.250,24.780,241.821,92.346
-0.156,0.444,-0.137,27.161,231.262,83.252
-0.117,0.382,0.009,26.306,222.961,76.355
-0.105,0.342,0.190,18.433,219.482,70.618
-0.120,0.285,0.288,20.508,223.145,66.223
-0.140,0.252,0.297,23.315,232.422,63.660
-0.176,0.226,0.280,25.940,242.310,62.561
-0.222,0.198,0.232,33.203,251.526,63.416
-0.257,0.162,0.134,40.588,262.085,66.101
-0.302,0.126,0.031,35.522,271.851,69.824
-0.352,0.078,-0.047,28.809,278.381,73.364
-0.393,0.069,-0.126,24.597,283.203,78.918
-0.425,0.141,-0.175,18.372,286.194,89.294
-0.420,0.250,-0.254,17.761,289.856,96.497
-0.426,0.319,-0.399,24.597,294.373,97.595
-0.420,0.376,-0.576,25.269,296.997,97.656
-0.383,0.386,-0.734,20.203,294.861,96.436
-0.365,0.339,-0.849,8.484,288.269,94.971
-0.329,0.285,-0.873,-14.038,278.381,94.116
-0.307,0.242,-0.792,-28.564,266.724,94.727
-0.343,0.184,-0.699,-24.841,258.423,96.130
-0.379,0.181,-0.655,-25.574,257.568,100.952
-0.448,0.232,-0.601,-28.870,259.216,108.093
-0.473,0.338,-0.670,-7.812,263.611,114.319
