Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-0.415,-0.004,0.937,21.729,35.278,-4.639
-0.283,-0.020,0.942,10.986,26.550,-5.188
-0.294,-0.083,0.967,10.620,23.865,-6.653
-0.269,-0.054,0.961,-6.836,23.071,-7.935
-0.269,-0.037,0.947,-30.396,24.414,-8.301
-0.259,-0.046,0.956,-44.067,25.940,-9.094
-0.202,-0.017,0.958,-62.378,28.076,-9.521
-0.222,0.167,0.916,-70.374,28.625,-9.949
-0.225,0.101,0.939,-36.072,23.804,-11.353
-0.229,0.091,0.955,-1.160,19.714,-12.207
-0.219,0.076,0.958,16.174,16.602,-11.414
-0.208,0.066,0.970,34.058,12.085,-10.864
-0.186,0.080,0.980,49.011,5.859,-10.559
-0.191,-0.021,1.000,73.425,-3.418,-11.353
-0.212,-0.027,0.995,80.078,-12.634,-12.329
-0.227,-0.069,1.043,68.787,-19.775,-10.620
-0.261,-0.034,1.069,50.354,-26.611,-10.376
-0.356,-0.074,1.098,40.039,-36.438,-10.559
-0.432,-0.146,0.998,44.861,-49.438,-11.108
-0.512,-0.255,0.883,44.128,-68.604,-8.484
-0.540,-0.349,1.054,43.396,-91.125,0.488
-0.644,-0.315,1.412,47.058,-109.924,9.888
-0.741,-0.317,1.964,35.095,-120.972,11.841
-0.953,-0.280,2.370,25.696,-111.694,15.625
-1.105,-0.203,2.530,25.330,-95.703,20.752
-0.969,-0.135,2.832,32.532,-81.238,22.949
-1.115,-0.151,3.046,29.541,-63.354,23.132
-1.115,-0.191,3.245,26.367,-38.330,22.705
-1.134,-0.268,3.266,11.292,-5.737,23.315
-1.173,-0.339,3.085,-5.005,30.273,25.574
-1.210,-0.330,2.804,-8.972,64.270,29.541
-1.249,-0.269,2.513,-4.456,91.370,33.508
-1.281,-0.208,2.337,-4.944,111.023,34.668
-1.309,-0.176,2.274,-0.366,125.793,34.668
-1.315,-0.203,2.265,8.423,141.846,32.654
-1.370,-0.340,2.201,14.709,160.461,29.602
-1.376,-0.556,2.041,24.841,180.908,28.687
