Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-0.345,0.260,0.481,85.815,-98.755,-26.428
-0.364,0.269,1.030,71.106,-118.591,-27.466
-0.354,0.240,1.626,59.570,-126.160,-29.724
-0.369,0.186,2.083,56.946,-119.019,-31.799
-0.415,0.089,2.348,64.209,-100.403,-33.142
-0.442,0.001,2.500,63.965,-74.951,-32.410
-0.503,-0.016,2.541,66.956,-48.035,-28.381
-0.581,0.035,2.431,73.120,-21.362,-22.461
-0.660,0.154,2.249,76.599,0.916,-18.127
-0.722,0.192,2.186,72.815,15.625,-17.822
-0.792,0.202,2.372,60.120,23.132,-20.325
-0.895,0.233,2.699,44.434,28.381,-23.193
-0.919,0.171,3.095,32.288,36.682,-28.381
-0.927,-0.016,3.481,18.738,54.810,-35.339
-0.945,-0.249,3.728,15.991,85.999,-38.757
-0.956,-0.473,3.695,28.381,124.878,-36.255
-0.994,-0.619,3.398,48.096,167.114,-27.283
-1.009,-0.681,2.962,71.472,203.003,-13.550
-1.017,-0.635,2.493,92.712,227.966,2.625
-0.973,-0.551,1.990,107.300,243.958,19.836
-0.926,-0.420,1.514,107.849,251.099,36.011
-0.762,-0.106,1.166,95.886,249.451,50.537
-0.651,0.250,1.080,86.975,238.159,60.364
-0.473,0.537,1.272,59.204,222.046,59.814
-0.458,0.725,1.510,48.645,211.121,50.781
-0.391,0.735,1.752,47.363,210.083,35.339
-0.397,0.595,1.843,50.232,220.032,18.066
-0.421,0.351,1.782,56.213,236.633,3.967
-0.446,0.108,1.584,64.514,254.944,-3.357
-0.443,-0.057,1.295,69.092,272.400,-3.052
-0.422,-0.165,0.994,66.223,284.790,1.770
-0.371,-0.179,0.718,64.087,290.039,9.888
-0.292,-0.125,0.430,60.486,290.100,18.860
-0.202,-0.001,0.195,49.255,285.095,26.245
-0.095,0.088,0.041,38.635,274.048,29.480
-0.009,0.115,0.028,28.259,257.935,27.954
0.052,0.075,0.113,17.029,241.638,23.682
0.081,0.017,0.225,16.235,228.394,19.897
0.100,-0.022,0.344,21.973,218.811,18.494
0.097,-0.041,0.428,36.011,213.135,19.043
0.103,-0.049,0.487,48.767,210.632,19.958
0.097,-0.046,0.505,57.251,210.327,21.729
0.022,-0.039,0.518,60.303,211.060,23.682
0.005,-0.039,0.543,53.650,213.257,25.513
