Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-0.188,0.268,0.982,17.395,27.100,-8.972
-0.135,0.309,0.973,-10.376,23.865,-5.493
-0.128,0.347,0.968,-23.682,14.832,-3.113
-0.121,0.384,0.955,-21.362,3.845,-0.366
-0.133,0.412,0.955,-9.399,-7.812,3.357
-0.155,0.408,0.972,10.925,-21.790,8.301
-0.180,0.338,0.978,28.320,-36.194,14.648
-0.233,0.301,0.984,27.771,-47.546,21.362
-0.299,0.342,1.047,12.024,-59.265,27.832
-0.508,0.159,1.011,-3.235,-75.256,34.668
-0.406,0.083,1.225,-15.808,-99.792,48.584
-0.545,0.027,1.426,-25.208,-100.952,56.030
-0.669,0.114,2.095,-27.832,-114.807,66.406
-0.741,0.232,2.577,-39.185,-107.300,76.782
-0.793,0.389,3.016,-40.527,-85.449,83.984
-0.791,0.598,3.319,-20.447,-59.387,87.891
-0.759,0.837,3.449,-7.996,-16.907,87.708
-0.776,1.008,3.423,6.165,37.720,80.444
-0.852,1.122,3.337,26.489,85.022,66.833
-0.916,1.200,3.128,52.795,128.601,50.171
-0.963,1.222,2.837,74.341,167.419,32.166
-1.002,1.206,2.484,84.717,198.853,13.672
-1.037,1.120,2.207,76.843,221.436,-4.944
-1.061,0.989,1.992,62.378,236.328,-23.926
-1.049,0.802,1.850,42.358,245.728,-42.419
-1.031,0.537,1.740,22.522,252.014,-59.021
-1.007,0.265,1.691,1.404,257.385,-71.899
-0.958,0.017,1.717,-17.334,262.207,-79.834
-0.929,-0.214,1.731,-31.616,268.494,-82.825
-0.941,-0.384,1.730,-37.720,276.917,-80.933
-0.945,-0.504,1.661,-39.124,287.720,-75.073
-0.956,-0.593,1.504,-30.945,300.110,-65.796
-0.953,-0.625,1.281,-18.188,311.523,-52.979
-0.914,-0.606,1.074,-7.812,319.275,-38.208
-0.849,-0.537,0.911,4.822,322.449,-22.278
-0.800,-0.458,0.770,25.391,322.754,-6.592
-0.731,-0.355,0.667,42.542,320.557,8.545
-0.670,-0.215,0.578,47.424,317.322,21.973
-0.612,-0.075,0.495,49.622,313.843,31.860
-0.557,0.038,0.409,53.284,309.570,38.330
-0.501,0.117,0.318,51.392,304.810,41.931
-0.431,0.170,0.249,37.842,299.683,43.030
-0.379,0.236,0.217,24.658,294.067,42.114
-0.326,0.282,0.209,20.386,286.682,39.917
-0.265,0.285,0.185,29.297,280.273,35.950
-0.206,0.271,0.174,31.982,275.391,31.799
-0.178,0.248,0.179,33.203,270.508,28.381
-0.155,0.222,0.191,34.058,266.418,26.489
-0.149,0.195,0.194,32.227,263.855,25.635
