Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-0.453,0.390,1.404,-15.076,-50.659,37.292
-0.441,0.566,1.349,-12.146,-49.805,35.400
-0.785,1.708,3.741,53.833,13.855,14.587
-0.077,-0.317,1.378,187.988,102.844,-12.146
-0.344,0.132,0.064,-12.756,23.865,-3.540
-0.454,0.313,1.052,-33.691,33.936,-4.578
-0.347,0.343,1.350,46.692,32.654,-0.732
-0.371,0.294,0.892,24.048,10.071,5.249
-0.331,0.416,0.730,-6.226,-10.742,13.367
-0.347,0.449,0.991,26.978,-17.395,17.334
-0.407,0.441,0.947,40.649,-31.189,20.447
-0.385,0.445,1.023,12.756,-54.321,22.644
-0.462,0.537,1.346,-5.066,-70.557,23.987
-0.506,0.608,1.858,0.854,-76.660,22.949
-0.533,0.672,2.325,4.761,-72.266,20.203
-0.579,0.725,2.850,12.390,-66.040,16.541
-0.606,0.753,3.152,31.738,-33.997,12.329
-0.667,0.719,3.279,58.960,12.207,6.165
-0.721,0.617,3.195,83.862,56.335,-0.183
-0.784,0.458,2.945,97.717,97.534,-4.150
-0.833,0.286,2.635,103.516,129.944,-4.822
-0.882,0.151,2.349,100.525,153.442,-1.770
-0.910,0.094,2.118,93.689,168.640,5.920
-0.921,0.079,1.947,89.417,177.734,15.320
-0.907,0.140,1.860,76.111,182.861,23.865
-0.877,0.244,1.794,66.528,187.012,29.968
-0.919,0.394,1.771,52.368,191.101,31.982
-0.867,0.472,1.717,45.898,196.106,27.893
-0.823,0.503,1.659,32.043,202.454,18.433
-0.791,0.468,1.584,12.817,209.595,5.554
-0.784,0.375,1.519,3.052,216.553,-7.446
-0.740,0.208,1.441,13.367,222.839,-18.066
-0.689,0.004,1.322,26.001,227.661,-24.719
-0.670,-0.101,1.266,14.771,231.262,-24.170
-0.654,-0.183,1.207,11.963,234.009,-19.775
-0.611,-0.213,1.160,13.000,236.877,-12.695
-0.596,-0.194,1.108,18.066,240.112,-4.150
-0.563,-0.155,1.043,23.804,243.469,4.578
-0.500,-0.103,0.950,30.640,247.009,12.634
-0.457,-0.040,0.849,30.579,249.817,19.043
-0.420,0.012,0.754,22.705,251.343,22.583
-0.350,0.034,0.639,10.376,251.526,23.682
-0.327,0.040,0.571,0.122,249.329,23.682
-0.287,0.047,0.539,-16.418,245.728,23.254
-0.227,0.064,0.538,-27.649,241.272,22.827
-0.248,0.111,0.567,-33.386,237.610,22.461
-0.256,0.166,0.597,-26.672,233.948,22.461
-0.245,0.223,0.629,-17.700,232.239,21.729
-0.193,0.254,0.631,-12.817,232.422,19.104
-0.198,0.272,0.608,-12.695,234.863,14.954
-0.196,0.268,0.577,-21.606,238.464,9.033
-0.178,0.222,0.527,-29.663,242.493,2.075
-0.153,0.133,0.469,-39.001,245.605,-4.639
-0.130,0.023,0.410,-49.988,247.742,-10.132
-0.130,-0.073,0.359,-59.509,248.962,-13.489
-0.128,-0.135,0.311,-58.960,249.573,-13.367
-0.191,-0.035,0.406,-43.884,249.268,-9.216
-0.092,-0.040,0.219,14.343,250.061,-1.221
-0.111,-0.038,0.225,-5.554,250.671,-0.305
-0.099,-0.067,0.188,-13.062,251.648,-0.122
-0.069,-0.083,0.130,-1.404,252.502,3.723
-0.062,-0.084,0.111,-21.301,251.892,6.958
-0.045,-0.090,0.090,-49.988,252.014,8.728
-0.076,-0.112,0.076,-68.909,253.418,9.827
-0.054,-0.134,0.063,-81.543,255.737,11.047
-0.039,-0.164,0.039,-81.055,259.277,13.123
