Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-0.340,-0.457,0.519,-7.874,-145.569,-53.650
-0.395,-0.506,1.213,7.874,-180.054,-43.213
-0.419,-0.540,1.867,21.362,-195.190,-32.288
-0.378,-0.551,2.285,32.227,-188.354,-22.034
-0.323,-0.516,2.313,28.076,-159.912,-11.841
-0.288,-0.441,2.003,11.536,-123.047,-2.808
-0.274,-0.354,1.529,-5.981,-96.436,5.554
-0.329,-0.280,1.063,-29.663,-81.055,13.062
-0.915,-0.245,4.000,56.763,-19.043,7.874
0.031,0.275,-0.362,20.264,137.573,5.249
-0.470,0.181,-1.678,-162.170,175.293,-14.221
-0.628,-0.234,3.691,-51.941,72.937,-22.705
-0.049,-0.804,0.113,176.880,68.970,-16.785
-0.040,0.115,0.860,-30.884,65.247,2.136
-0.049,0.128,0.993,-4.761,42.603,0.793
-0.350,-0.075,1.020,11.536,28.625,-6.226
-0.128,0.052,1.066,-2.686,8.667,-6.531
-0.112,0.056,1.098,-8.057,-10.254,-7.507
-0.100,0.068,1.120,-15.076,-33.203,-7.385
-0.165,0.048,1.125,-22.583,-60.852,-5.127
-0.204,-0.065,1.351,-41.870,-93.567,-1.770
-0.396,-0.274,1.532,-95.703,-133.911,7.874
-0.448,-0.444,2.039,-128.418,-166.565,29.114
-0.497,-0.444,2.994,-85.449,-161.072,44.983
-0.530,-0.318,3.437,-39.734,-132.080,62.561
-0.723,-0.133,3.934,-33.936,-94.299,76.965
-0.812,0.119,3.865,-30.762,-25.330,85.510
-0.824,0.354,3.650,-45.776,39.429,87.708
-0.793,0.561,3.291,-49.377,91.797,83.374
-0.814,0.740,2.921,-48.462,134.766,73.364
-0.840,0.825,2.543,-34.546,168.335,58.167
-0.825,0.810,2.156,-15.442,192.566,40.588
-0.788,0.797,1.880,-30.701,207.153,22.583
-0.764,0.717,1.628,-49.866,215.454,3.418
-0.729,0.630,1.446,-82.336,218.933,-15.076
-0.580,0.547,1.214,-122.070,217.834,-33.020
-0.662,0.487,1.047,-162.109,211.487,-49.255
-0.677,0.441,0.991,-186.035,201.721,-63.110
-0.673,0.412,1.009,-178.650,192.383,-73.669
-0.698,0.327,1.030,-116.943,188.293,-81.543
-0.663,0.200,1.013,-46.631,188.293,-85.754
-0.581,0.107,1.030,-18.616,189.087,-86.304
-0.522,0.044,1.057,-8.057,190.125,-83.984
-0.492,-0.022,1.016,18.677,193.909,-79.773
-0.463,-0.031,1.000,28.442,197.571,-74.402
-0.451,-0.018,0.973,34.729,201.660,-68.176
-0.408,0.004,0.949,34.363,205.566,-61.707
-0.418,-0.011,0.884,38.208,209.229,-56.274
-0.366,0.007,0.881,38.452,211.731,-50.842
-0.312,0.008,0.810,36.133,215.271,-46.387
-0.282,0.023,0.741,37.903,219.299,-42.053
-0.269,0.031,0.667,33.630,222.778,-38.452
-0.247,0.020,0.594,34.363,225.464,-35.522
-0.229,0.001,0.541,33.752,226.196,-32.776
-0.195,-0.011,0.509,33.936,225.464,-29.053
-0.137,-0.004,0.491,30.090,223.938,-24.841
-0.097,0.035,0.486,22.827,222.046,-20.203
-0.090,0.078,0.454,19.897,221.680,-16.541
-0.056,0.125,0.401,18.250,222.595,-14.099
-0.021,0.156,0.343,11.475,224.060,-14.282
-0.001,0.167,0.276,9.766,225.891,-15.686
0.017,0.170,0.212,8.606,227.356,-17.456
0.028,0.149,0.163,10.071,226.807,-19.897
0.055,0.108,0.109,15.564,225.403,-21.729
0.102,0.080,0.067,9.644,222.351,-22.095
0.114,0.089,0.059,-6.226,218.445,-20.935
0.115,0.093,0.054,-14.771,214.355,-20.386
0.141,0.085,0.039,-7.568,210.632,-20.203
0.181,0.058,0.011,-3.174,206.970,-20.203
0.225,0.035,0.037,-16.541,201.660,-20.752
0.248,0.001,0.089,-28.870,195.984,-21.851
0.267,-0.053,0.142,-37.415,192.444,-22.278
0.287,-0.091,0.254,-64.758,189.819,-23.682
0.308,-0.145,0.311,-96.191,187.744,-27.710
0.365,-0.136,0.399,-132.568,183.350,-32.959
0.229,-0.161,0.499,-134.583,175.598,-37.659
-0.063,-0.340,0.647,-89.478,170.898,-37.842
-0.159,-0.520,0.966,-102.417,175.354,-33.142
-0.179,-0.600,1.320,-170.288,206.848,-27.527
-0.236,-0.579,1.417,-188.049,263.000,-18.127
-0.314,-0.493,1.228,-116.760,317.139,-3.418
-0.485,-0.360,0.903,-19.226,366.638,15.747
-0.666,-0.244,0.539,70.557,408.203,37.231
-0.858,-0.123,0.224,113.586,443.298,57.251
-1.017,0.008,0.044,130.615,468.140,72.144
-1.151,0.104,-0.118,174.500,487.122,84.290
-1.246,0.165,-0.340,251.038,500.122,100.403
-1.296,0.178,-0.534,313.293,502.136,121.094
-1.478,0.117,-0.588,339.111,495.483,148.682
-1.576,0.084,-0.715,369.019,492.493,189.880
-1.783,0.110,-0.918,357.788,489.136,235.168
-1.760,0.208,-1.189,282.104,479.370,278.870
-1.608,0.459,-1.474,149.475,461.914,311.035
-1.464,0.820,-1.748,0.000,442.505,320.374
-1.414,1.020,-2.074,-81.604,419.495,307.251
-1.578,1.158,-2.360,-126.892,386.902,285.522
-1.343,1.381,-2.816,-184.082,352.722,257.019
-1.236,1.464,-3.045,-205.688,305.725,221.436
-1.018,1.404,-3.240,-160.217,251.343,184.570
-0.747,1.296,-3.229,-130.310,186.829,153.259
-0.551,1.295,-2.985,-116.943,116.638,128.235
-0.548,1.355,-2.598,-87.524,51.941,105.103
-0.638,1.389,-2.173,-59.937,0.000,80.322
-0.642,1.406,-1.757,-45.166,-38.574,55.359
-0.644,1.373,-1.399,-28.259,-61.218,30.518
-0.617,1.300,-1.056,-10.193,-72.266,5.920
-0.611,1.087,-0.968,51.514,-73.181,-16.479
-0.569,0.974,-0.812,73.608,-68.420,-36.560
-0.525,0.903,-0.696,53.223,-60.242,-53.955
-0.502,0.842,-0.649,63.538,-48.340,-69.092
-0.508,0.806,-0.631,76.050,-36.011,-81.787
-0.513,0.837,-0.656,83.801,-23.132,-92.102
-0.548,0.868,-0.736,92.346,-10.498,-102.600
-0.608,0.856,-0.834,87.585,-0.488,-113.892
-0.620,0.843,-0.946,64.514,7.141,-124.939
-0.633,0.811,-1.063,36.499,11.536,-135.437
-0.677,0.744,-1.199,11.353,12.756,-145.752
-0.703,0.658,-1.302,-12.146,7.629,-154.297
-0.719,0.604,-1.377,-38.147,-2.075,-160.583
Done. Type '시작' to run again.
