Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-0.371,1.126,-1.451,-109.863,84.656,77.576
-0.427,1.032,-1.076,-49.561,-2.563,37.170
-0.192,-0.315,3.984,-163.574,-75.439,16.907
-0.191,0.810,-0.648,-22.766,23.682,31.677
-0.120,0.066,1.992,33.447,-28.198,3.296
-0.304,-0.098,1.044,7.446,-41.016,-14.282
-0.318,-0.114,1.079,64.392,-65.674,-25.635
-0.387,-0.203,1.221,66.650,-97.351,-34.851
-0.507,-0.454,1.456,97.290,-121.399,-43.335
-0.623,-0.906,2.332,104.675,-142.883,-49.133
-0.719,-1.372,3.118,105.774,-148.071,-46.021
-0.787,-1.717,3.775,119.934,-128.174,-29.907
-0.874,-1.938,4.000,126.404,-61.646,-3.906
-0.884,-1.985,4.000,123.901,-3.845,28.748
-0.981,-1.843,3.801,91.125,59.814,65.002
-1.107,-1.543,3.433,66.040,117.676,97.717
-1.187,-1.293,2.822,65.186,165.039,123.047
-1.210,-0.931,2.345,37.903,200.073,141.602
-1.186,-0.630,1.957,0.000,221.985,150.818
-1.161,-0.402,1.680,-20.996,233.215,150.940
-1.181,-0.231,1.490,-44.739,238.037,144.287
-1.172,-0.119,1.365,-67.932,240.356,131.958
-1.135,-0.079,1.282,-85.999,241.699,115.723
-1.096,-0.091,1.271,-101.501,243.042,97.290
-1.093,-0.149,1.283,-106.201,245.300,78.552
-1.118,-0.225,1.322,-93.018,248.657,62.317
-1.049,-0.353,1.346,-63.049,253.235,50.293
-1.011,-0.479,1.416,-50.598,258.667,41.931
-1.019,-0.595,1.424,-32.898,265.930,38.330
-0.956,-0.581,1.292,-19.653,275.024,39.368
-0.964,-0.532,1.081,-6.897,281.250,40.955
-1.071,-0.487,0.929,3.418,283.875,42.725
-1.024,-0.454,0.828,3.174,285.828,46.509
-0.932,-0.388,0.764,-6.348,288.025,49.316
-0.875,-0.343,0.706,-15.503,286.682,50.842
-0.786,-0.260,0.670,-37.903,285.950,52.490
-0.652,-0.175,0.630,-50.354,285.706,52.734
-0.805,-0.118,0.563,-56.458,286.926,51.392
-0.865,-0.027,0.567,-95.581,287.598,49.683
-0.846,0.043,0.576,-125.488,288.086,43.762
-0.843,0.086,0.574,-133.789,290.527,33.875
-0.895,0.108,0.571,-128.906,295.349,22.461
-0.888,0.088,0.551,-104.553,301.758,11.841
