Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-0.688,0.811,0.266,-9.155,114.380,17.883
-0.730,-0.257,0.689,-14.038,102.905,5.432
-0.208,0.000,1.514,85.754,67.871,4.272
-0.356,0.286,0.946,-25.452,46.936,17.395
-0.477,0.121,0.911,-9.766,28.320,16.968
-0.336,0.125,1.037,7.629,9.888,16.724
-0.348,0.214,1.028,-4.639,-5.310,15.930
-0.410,0.397,1.020,-13.367,-21.423,13.977
-0.492,1.004,0.912,-34.546,-50.354,7.507
-0.537,0.896,1.416,-58.167,-86.548,-10.193
-0.570,0.561,2.404,-20.020,-97.473,-26.550
-0.583,0.351,3.560,-5.371,-102.112,-31.311
-0.581,0.254,3.921,23.987,-49.194,-30.090
-0.637,0.206,4.000,45.410,-3.601,-26.550
-0.678,0.191,3.836,73.242,56.702,-21.423
-0.759,0.214,3.373,81.604,115.295,-16.968
-0.825,0.228,2.879,84.534,151.245,-14.771
-0.877,0.187,2.406,81.848,175.659,-14.343
-0.882,0.108,2.029,75.623,189.575,-14.404
-0.872,0.038,1.816,67.200,194.519,-13.245
-0.867,0.014,1.739,62.012,194.580,-10.498
-0.846,0.048,1.715,63.049,194.214,-6.592
-0.806,0.097,1.733,66.223,194.580,-4.211
-0.784,0.111,1.772,68.176,197.083,-3.784
-0.770,0.089,1.779,69.153,202.881,-4.150
-0.758,0.035,1.717,70.068,211.975,-4.517
-0.741,-0.052,1.594,68.726,222.229,-4.272
-0.715,-0.120,1.446,67.505,231.750,-2.441
-0.690,-0.142,1.308,63.904,239.685,2.136
-0.668,-0.121,1.152,64.148,245.911,7.446
-0.623,-0.032,0.995,66.223,250.305,12.207
-0.557,0.028,0.820,68.848,252.991,15.381
-0.537,0.072,0.672,69.824,252.319,17.456
-0.453,0.104,0.560,64.331,248.901,17.700
-0.382,0.126,0.495,64.453,242.920,17.456
-0.303,0.137,0.470,64.392,234.680,16.602
-0.224,0.127,0.479,63.843,225.952,15.076
-0.168,0.097,0.507,60.059,218.689,13.245
-0.124,0.030,0.548,51.025,213.623,10.620
-0.099,-0.070,0.584,42.603,210.754,8.728
-0.085,-0.171,0.587,35.217,210.083,8.972
-0.064,-0.254,0.552,28.320,210.632,11.780
-0.042,-0.297,0.517,23.132,210.388,16.846
-0.024,-0.293,0.506,16.479,209.045,23.621
-0.029,-0.225,0.513,10.925,207.886,30.823
-0.023,-0.140,0.516,14.587,206.970,36.438
-0.029,-0.041,0.499,24.109,206.299,40.894
-0.022,0.035,0.460,33.752,205.688,43.213
0.000,0.086,0.435,39.246,204.346,43.030
0.012,0.127,0.425,43.640,202.209,41.809
0.020,0.154,0.450,39.673,200.439,39.551
0.022,0.148,0.495,30.457,199.280,36.255
0.024,0.113,0.538,20.996,199.829,32.532
0.017,0.086,0.579,12.634,202.148,30.029
0.004,0.053,0.595,8.728,207.092,28.137
-0.009,0.018,0.552,9.949,213.806,26.672
-0.016,-0.001,0.492,10.986,220.459,26.489
-0.020,-0.006,0.428,13.672,225.586,27.466
-0.022,0.002,0.375,19.653,229.309,29.053
-0.020,0.010,0.336,23.743,231.812,30.640
-0.014,0.018,0.331,20.203,233.765,31.860
-0.016,0.023,0.339,12.939,236.267,32.654
-0.028,0.050,0.359,0.549,240.295,32.837
-0.062,0.045,0.364,-4.578,245.972,31.799
-0.088,0.030,0.342,-10.193,253.418,30.518
-0.114,0.007,0.273,-6.897,262.451,29.907
-0.134,-0.015,0.156,-0.366,271.973,30.212
-0.141,-0.047,0.017,6.348,280.396,31.311
-0.171,-0.083,-0.114,10.559,286.804,33.081
-0.187,-0.127,-0.249,12.024,291.687,35.950
-0.202,-0.174,-0.376,6.348,294.006,40.100
-0.194,-0.226,-0.458,-5.615,293.274,45.349
-0.193,-0.288,-0.536,-23.437,292.603,51.208
-0.194,-0.362,-0.565,-42.847,289.062,57.922
-0.210,-0.435,-0.614,-64.453,287.170,65.735
-0.195,-0.494,-0.615,-83.984,283.997,74.707
-0.199,-0.517,-0.622,-93.079,282.043,84.595
-0.236,-0.475,-0.775,-87.219,287.292,97.473
-0.256,-0.363,-0.864,-71.106,285.706,111.694
-0.280,-0.241,-0.972,-59.753,281.677,123.169
-0.287,-0.109,-1.044,-58.289,279.602,131.165
-0.299,0.013,-1.169,-57.007,275.085,135.376
-0.332,0.089,-1.247,-66.223,270.447,134.888
-0.328,0.131,-1.295,-73.486,261.780,132.263
-0.328,0.161,-1.339,-82.031,255.310,129.089
-0.330,0.191,-1.415,-83.923,249.939,125.854
-0.334,0.212,-1.475,-84.412,242.920,122.314
-0.337,0.255,-1.529,-93.445,235.352,118.103
-0.371,0.302,-1.607,-93.872,227.661,112.366
-0.333,0.372,-1.646,-100.830,217.957,104.492
-0.317,0.462,-1.770,-99.670,210.083,94.543
-0.340,0.518,-1.878,-59.082,198.364,84.351
-0.327,0.604,-1.968,-44.495,183.777,72.083
-0.333,0.655,-2.063,-30.212,168.518,57.312
-0.326,0.675,-2.131,-20.325,151.306,41.443
-0.342,0.642,-2.188,-16.724,133.057,25.146
-0.353,0.562,-2.219,-23.865,113.770,9.766
-0.370,0.463,-2.228,-33.142,93.140,-3.296
-0.360,0.397,-2.252,-35.645,72.144,-13.428
-0.355,0.332,-2.270,-30.090,49.500,-21.912
-0.358,0.230,-2.221,-24.414,24.170,-29.846
-0.368,0.113,-2.144,-15.259,-0.305,-35.767
-0.366,0.006,-2.062,-3.662,-22.339,-38.330
-0.385,-0.056,-1.921,-0.610,-42.358,-37.781
-0.394,-0.097,-1.850,4.028,-59.570,-35.095
-0.422,-0.088,-1.774,17.273,-75.562,-30.701
-0.449,-0.051,-1.727,18.494,-90.149,-26.245
-0.471,0.018,-1.667,18.188,-104.736,-22.644
-0.467,0.085,-1.619,19.287,-118.835,-21.729
-0.475,0.104,-1.567,23.560,-131.531,-24.719
-0.489,0.066,-1.515,28.320,-144.287,-29.724
-0.507,0.013,-1.456,30.457,-156.921,-34.424
-0.515,-0.037,-1.408,34.241,-168.274,-37.292
-0.545,-0.037,-1.367,37.842,-179.138,-38.635
-0.562,-0.024,-1.380,49.622,-189.941,-39.063
-0.579,0.002,-1.375,57.190,-202.515,-40.405
-0.604,0.013,-1.353,57.495,-215.576,-43.274
-0.625,-0.003,-1.319,58.838,-228.516,-47.485
-0.640,-0.053,-1.268,60.852,-241.394,-52.734
Done. Type '시작' to run again.
