Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-0.328,0.228,1.013,2.625,44.312,1.221
-0.309,0.194,0.982,30.457,33.447,0.549
-0.308,0.218,0.928,19.226,24.170,2.747
-0.318,0.134,1.003,28.564,14.465,3.357
-0.293,0.253,0.962,24.292,6.042,5.310
-0.276,0.187,1.002,39.673,-2.991,5.920
-0.417,0.243,0.915,43.274,-13.306,7.568
-0.251,0.169,0.370,38.269,-32.104,9.583
-0.347,0.160,1.085,40.710,-54.993,9.705
-0.402,0.180,1.095,26.855,-71.655,11.353
-0.453,0.276,1.358,-14.954,-97.961,12.756
-0.520,0.277,1.641,-20.447,-94.543,10.254
-0.610,0.341,2.272,-3.479,-98.938,8.484
-0.655,0.386,2.613,10.559,-80.383,4.944
-0.695,0.434,2.808,17.029,-46.387,-0.854
-0.759,0.477,2.917,37.354,-21.057,-5.859
-0.800,0.470,2.823,70.740,13.489,-10.315
-0.859,0.445,2.724,94.910,46.265,-15.503
-0.882,0.400,2.672,108.704,69.641,-21.484
-0.921,0.338,2.582,114.685,91.614,-28.015
-0.967,0.252,2.431,106.812,114.258,-35.156
-0.981,0.133,2.245,84.045,134.277,-43.701
-0.875,-0.037,1.975,52.917,150.818,-51.880
-0.653,-0.147,1.564,-18.921,161.011,-61.340
-1.219,-0.173,1.513,-150.818,158.508,-73.914
-1.067,-0.252,1.323,-115.112,154.968,-69.031
-0.818,-0.334,1.223,-44.067,152.954,-58.228
-0.756,-0.332,1.227,-48.828,148.193,-49.072
-0.715,-0.285,1.210,-74.890,144.226,-41.138
-0.647,-0.222,1.213,-119.995,140.869,-37.109
-0.613,-0.137,1.242,-176.392,137.207,-36.621
-0.576,-0.035,1.154,-212.097,135.742,-36.377
-0.609,0.072,1.169,-242.310,134.399,-37.476
-0.570,0.242,1.127,-231.079,139.587,-33.508
-0.617,0.304,1.053,-141.968,149.109,-29.053
-0.441,0.266,0.916,-33.936,155.029,-26.550
-0.508,0.264,0.895,-5.737,153.992,-25.391
-0.658,0.330,0.993,-65.491,149.902,-27.588
-0.674,0.389,1.072,-107.239,146.851,-33.142
-0.591,0.613,1.158,-66.650,145.691,-41.138
-0.566,0.382,0.915,98.389,149.719,-49.072
-0.500,0.293,0.734,122.803,152.405,-51.392
-0.490,0.352,0.655,60.486,155.945,-54.565
-0.457,0.484,0.737,35.706,162.842,-58.167
-0.218,0.526,0.751,88.318,175.903,-59.998
-0.101,-0.364,0.057,94.971,189.819,-62.195
-0.103,-2.682,-3.406,960.754,-97.717,42.053
-0.725,0.479,3.938,392.639,-421.326,40.527
-0.858,1.069,4.000,-488.586,-422.913,7.935
-1.681,1.009,3.988,-169.250,-336.609,10.620
-1.129,0.342,3.243,106.018,-226.562,-15.015
-0.608,0.348,3.518,9.216,-147.034,-42.725
-0.310,0.335,3.919,-35.217,-72.327,-56.702
-0.172,0.249,4.000,80.933,23.499,-56.030
-0.056,0.273,4.000,140.076,134.766,-56.091
0.198,0.083,4.000,241.638,263.184,-47.241
-0.733,-0.142,3.288,213.257,377.441,-36.194
-0.985,-0.124,2.108,111.450,471.741,-24.841
-1.180,0.066,1.197,-19.592,535.828,-16.113
-1.595,0.071,0.424,12.878,567.871,-4.639
-1.272,-0.111,-0.446,135.620,570.312,18.921
-0.710,-0.066,-0.548,46.875,534.607,33.813
-0.807,-0.153,-0.694,-23.621,493.713,34.363
-0.779,-0.295,-0.799,-10.071,445.984,32.532
-0.549,-0.301,-0.859,-47.913,403.870,32.959
-0.276,-0.314,-0.801,-94.238,364.441,32.593
