Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-0.389,0.122,1.204,-95.215,-91.064,37.598
-0.368,0.140,1.089,-121.765,-84.595,42.358
-0.455,1.374,2.880,-154.602,-77.271,45.837
-0.206,1.337,3.842,72.815,77.332,-11.658
0.443,-0.369,0.718,48.279,54.321,-6.104
-0.659,-0.177,0.033,-310.669,97.900,-14.832
-0.460,0.273,0.349,-151.794,70.129,-9.949
-0.412,1.181,1.192,24.536,66.956,-7.996
-0.149,0.061,1.002,136.902,48.096,-15.625
-0.278,0.398,0.995,87.097,29.724,-2.869
-0.227,0.423,0.948,55.420,23.132,1.343
-0.258,0.277,0.983,81.360,8.972,2.930
-0.243,0.228,1.022,64.453,-3.967,7.141
-0.272,0.257,1.035,26.550,-16.418,11.597
-0.327,0.235,1.100,-4.333,-28.442,15.442
-0.377,0.047,1.312,-18.127,-40.710,19.287
-0.384,-0.033,1.677,-6.226,-50.110,27.161
-0.406,-0.012,2.084,9.155,-50.415,38.086
-0.487,0.048,2.503,17.639,-47.546,48.706
-0.595,0.098,2.769,27.649,-36.194,60.547
-0.604,0.311,2.999,24.109,-12.512,73.975
-0.659,0.489,2.988,42.664,23.926,82.214
-0.754,0.712,2.923,40.833,63.843,84.656
-0.765,0.882,2.824,53.955,96.863,81.299
-0.776,0.985,2.693,84.106,125.732,71.716
-0.784,1.053,2.544,100.403,150.940,57.739
-0.752,1.046,2.363,111.938,172.241,39.856
-0.732,0.952,2.212,106.140,189.697,19.287
-0.709,0.785,2.082,97.900,203.918,-0.610
-0.716,0.608,1.987,84.229,215.820,-17.334
-0.728,0.417,1.896,70.740,226.196,-30.762
-0.753,0.208,1.807,64.026,234.802,-40.710
-0.752,0.021,1.717,64.758,241.943,-45.166
-0.753,-0.118,1.631,69.214,247.131,-43.457
-0.758,-0.201,1.566,74.646,251.160,-37.109
-0.747,-0.268,1.475,89.722,255.371,-27.649
-0.657,-0.305,1.364,103.516,259.399,-15.930
-0.601,-0.298,1.252,97.839,262.756,-4.395
-0.550,-0.251,1.128,84.656,265.076,6.165
-0.435,-0.155,1.007,62.866,265.869,15.259
-0.396,-0.066,0.901,30.518,264.526,20.752
-0.363,0.046,0.835,-13.733,262.085,21.301
-0.341,0.146,0.796,-55.603,259.705,17.151
-0.360,0.193,0.778,-64.880,256.042,9.521
-0.415,0.257,0.828,-55.725,250.305,2.014
-0.380,0.261,0.845,-20.264,247.253,-5.127
-0.286,0.227,0.835,9.460,247.925,-12.939
-0.231,0.171,0.778,26.306,251.099,-20.447
-0.205,0.102,0.679,26.917,255.615,-26.855
-0.145,0.020,0.572,4.211,259.583,-32.227
-0.144,-0.031,0.476,-30.579,261.353,-36.194
-0.071,-0.056,0.379,-69.153,259.399,-39.551
-0.064,-0.053,0.450,-118.103,254.333,-44.128
-0.111,-0.025,0.405,-70.313,248.718,-41.748
-0.047,-0.018,0.367,12.817,244.751,-37.109
-0.035,-0.073,0.326,30.884,242.676,-39.001
-0.116,-0.137,0.328,35.034,240.906,-40.405
-0.189,-0.210,0.297,56.824,239.868,-37.048
-0.181,-0.260,0.303,67.810,239.990,-31.311
-0.106,-0.322,0.279,77.515,241.943,-24.353
-0.048,-0.374,0.229,83.984,245.422,-15.808
-0.035,-0.399,0.195,68.909,249.023,-7.263
-0.045,-0.411,0.157,41.931,252.441,-0.061
-0.042,-0.419,0.142,7.385,255.188,7.385
-0.010,-0.405,0.139,-23.437,256.531,15.869
-0.029,-0.369,0.178,-45.593,258.057,24.414
-0.092,-0.311,0.213,-44.922,260.681,32.532
-0.170,-0.269,0.205,-7.629,263.855,40.405
-0.231,-0.247,0.188,22.644,268.616,47.852
-0.221,-0.249,0.152,43.945,276.001,56.274
-0.244,-0.236,0.096,56.519,284.729,68.054
-0.291,-0.188,0.067,57.373,293.518,82.764
-0.340,-0.136,0.037,66.406,302.917,96.924
-0.385,-0.123,-0.036,95.337,313.110,109.619
-0.403,-0.119,-0.141,113.281,320.679,120.605
-0.403,-0.104,-0.247,99.304,327.759,129.333
-0.446,-0.101,-0.334,62.805,335.327,135.559
-0.464,-0.040,-0.478,28.320,343.811,142.151
-0.491,-0.031,-0.556,38.147,338.257,149.292
-0.526,0.012,-0.695,43.701,331.726,159.790
-0.561,0.091,-0.774,20.752,325.439,171.143
-0.608,0.215,-0.828,3.540,317.993,180.298
-0.595,0.319,-0.917,21.545,309.082,187.683
-0.608,0.370,-1.035,45.593,298.218,191.772
-0.612,0.446,-1.125,30.884,286.682,192.017
-0.580,0.531,-1.208,-10.803,274.780,187.927
-0.661,0.565,-1.288,-53.528,266.296,178.284
-0.691,0.603,-1.368,-91.492,258.789,167.725
-0.633,0.643,-1.501,-94.788,251.221,158.203
-0.574,0.691,-1.633,-78.247,239.746,149.780
-0.535,0.764,-1.751,-61.584,221.924,142.883
-0.520,0.846,-1.807,-53.040,199.036,136.230
-0.407,0.917,-1.898,-55.786,173.767,129.883
-0.431,1.151,-1.660,-109.619,146.545,122.681
-0.667,1.168,-1.650,-105.896,126.282,106.079
-0.613,1.162,-1.781,-26.550,115.234,87.341
-0.532,1.162,-1.812,-34.119,101.257,69.458
-0.505,1.152,-1.755,-45.044,83.313,51.636
-0.536,1.151,-1.701,-26.489,67.322,35.095
-0.553,1.183,-1.675,-6.042,54.077,19.104
-0.577,1.230,-1.620,-1.221,42.908,1.343
-0.582,1.243,-1.554,14.648,33.875,-18.127
-0.601,1.212,-1.503,43.213,27.039,-40.161
-0.608,1.188,-1.468,66.223,21.606,-62.622
-0.602,1.122,-1.459,83.618,17.212,-85.571
-0.616,1.000,-1.468,86.182,12.573,-107.666
-0.634,0.833,-1.467,74.036,7.263,-126.709
-0.635,0.668,-1.456,52.368,0.793,-140.869
-0.633,0.490,-1.490,53.589,-5.920,-149.658
-0.637,0.323,-1.510,53.589,-15.869,-152.588
-0.632,0.223,-1.544,30.640,-27.954,-149.780
-0.636,0.157,-1.623,7.507,-42.114,-143.250
-0.651,0.128,-1.700,-20.386,-58.838,-134.705
-0.660,0.117,-1.780,-40.466,-79.834,-125.671
-0.699,0.112,-1.833,-52.673,-103.516,-117.371
-0.748,0.111,-1.813,-65.552,-130.066,-110.168
-0.778,0.121,-1.745,-66.833,-156.494,-104.004
-0.767,0.128,-1.641,-53.040,-180.847,-99.548
-0.755,0.125,-1.524,-30.762,-202.576,-97.595
Done. Type '시작' to run again.
