Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-0.645,0.646,1.517,-50.964,-132.507,84.778
-2.149,4.000,4.000,-9.888,-90.820,73.303
0.878,1.353,1.979,178.955,86.609,-65.369
-0.474,-0.404,-0.407,-36.682,132.874,-96.802
-0.697,-0.370,-0.217,-299.072,138.062,-100.281
-0.504,-0.442,-0.169,-251.953,83.984,-72.449
-0.413,-0.582,-0.320,-98.511,46.143,-38.757
-0.415,0.395,0.830,-11.963,10.071,1.160
-0.039,2.854,2.273,-19.714,79.285,-21.790
-0.098,-0.424,0.408,82.886,44.434,-42.969
-0.334,1.166,0.884,-18.188,31.494,-16.479
-0.231,0.759,0.625,-34.607,35.156,-11.047
-0.258,0.823,0.836,36.621,3.418,-4.822
-0.294,0.674,0.821,48.218,-17.212,6.104
-0.518,0.591,0.979,33.997,-45.166,20.447
-0.377,0.431,1.240,41.504,-77.026,43.091
-0.505,0.402,1.332,74.402,-76.721,59.082
-0.635,0.680,1.883,96.741,-77.515,72.388
-0.645,0.931,2.179,124.878,-66.162,84.839
-0.653,1.152,2.487,131.470,-47.729,89.600
-0.662,1.252,2.714,126.160,-23.193,88.623
-0.753,1.402,2.732,120.728,12.024,85.388
-0.738,1.604,2.817,104.919,49.194,77.698
-0.801,1.737,2.746,76.843,89.417,61.707
-0.814,1.881,2.635,62.988,126.221,41.138
-0.895,1.916,2.449,66.284,156.738,14.587
-0.910,1.844,2.205,69.092,181.702,-13.855
-0.936,1.696,1.991,65.735,199.280,-42.542
-0.956,1.472,1.811,61.646,209.961,-68.970
-0.959,1.196,1.659,60.730,216.675,-90.698
-0.943,0.920,1.549,56.213,220.764,-106.628
-0.915,0.670,1.474,49.988,223.755,-116.821
-0.871,0.475,1.410,45.959,226.074,-120.422
-0.824,0.344,1.376,45.654,227.905,-118.286
-0.779,0.283,1.350,46.997,230.774,-112.122
-0.753,0.282,1.326,45.044,234.009,-104.553
-0.720,0.302,1.274,41.199,237.976,-98.206
-0.652,0.319,1.174,37.598,241.882,-94.116
-0.671,0.292,1.079,54.504,243.469,-91.003
-0.626,0.257,1.008,53.833,244.995,-89.844
-0.595,0.203,0.949,45.288,247.253,-89.355
-0.542,0.152,0.899,34.546,249.146,-88.623
-0.526,0.103,0.829,33.630,250.488,-86.304
-0.485,0.043,0.735,37.598,251.404,-82.581
-0.425,-0.022,0.650,34.668,251.038,-77.820
-0.384,-0.076,0.579,25.818,249.512,-71.594
-0.342,-0.112,0.528,10.803,247.009,-63.904
-0.296,-0.120,0.506,-7.385,242.859,-56.702
-0.246,-0.105,0.479,-18.982,237.244,-49.500
-0.200,-0.087,0.441,-24.353,231.079,-44.312
-0.164,-0.030,0.442,-37.170,223.999,-42.664
-0.147,-0.001,0.383,-38.635,217.224,-44.739
-0.123,-0.057,0.412,-47.913,209.656,-47.729
-0.137,-0.117,0.485,-50.232,204.590,-47.058
-0.111,-0.165,0.550,-30.029,205.322,-42.664
-0.112,-0.224,0.567,5.615,209.534,-36.926
-0.151,-0.254,0.560,28.015,216.003,-29.602
-0.151,-0.255,0.533,42.175,223.999,-18.982
-0.163,-0.229,0.493,49.133,232.361,-6.042
-0.165,-0.198,0.456,42.969,239.746,7.751
-0.154,-0.150,0.422,24.597,244.690,22.095
-0.162,-0.107,0.389,6.653,247.864,33.997
-0.164,-0.078,0.343,-7.385,250.854,43.335
-0.194,-0.031,0.302,-17.883,254.211,51.086
-0.230,0.009,0.256,-12.634,259.216,58.411
-0.258,0.043,0.191,8.423,265.503,66.956
-0.260,0.077,0.120,29.175,271.851,76.294
-0.285,0.116,0.089,46.204,277.710,85.999
-0.282,0.142,-0.002,72.571,283.813,96.436
-0.286,0.186,-0.112,74.585,288.818,106.018
-0.312,0.235,-0.177,46.082,292.297,112.000
-0.289,0.297,-0.305,16.541,298.157,114.868
-0.267,0.352,-0.413,-4.028,298.035,114.136
-0.239,0.404,-0.477,-11.658,292.908,111.328
-0.218,0.447,-0.630,-21.729,290.588,106.567
-0.203,0.491,-0.650,-34.546,280.151,99.976
-0.193,0.535,-0.711,-38.025,269.775,92.834
-0.184,0.583,-0.769,-40.222,262.390,85.876
-0.164,0.620,-0.840,-39.246,253.174,79.041
-0.152,0.636,-0.905,-37.415,245.361,72.083
-0.101,0.633,-0.976,-35.583,236.694,65.186
-0.074,0.625,-1.067,-37.109,226.929,58.716
-0.049,0.651,-1.105,-51.208,215.881,53.223
-0.036,0.648,-1.125,-66.711,202.881,46.997
-0.017,0.648,-1.170,-79.285,191.345,39.185
-0.002,0.631,-1.195,-79.712,177.185,31.799
0.008,0.591,-1.217,-77.637,163.452,25.757
0.026,0.582,-1.197,-92.163,150.452,20.996
0.045,0.585,-1.168,-110.718,139.221,16.235
0.051,0.571,-1.140,-115.417,129.700,10.254
0.073,0.514,-1.121,-115.356,121.887,3.296
0.105,0.416,-1.075,-119.202,115.601,-3.723
0.136,0.290,-1.021,-118.469,111.023,-9.766
0.125,0.175,-0.990,-103.027,109.070,-13.306
0.095,0.076,-0.994,-81.238,109.436,-12.207
0.087,0.045,-0.989,-66.223,111.206,-6.348
0.053,0.053,-1.031,-50.720,114.990,2.563
0.007,0.139,-1.111,-41.138,120.667,13.550
-0.026,0.249,-1.224,-30.518,125.488,22.827
-0.069,0.347,-1.362,-8.240,127.502,28.625
-0.107,0.442,-1.512,12.390,126.770,32.471
-0.154,0.543,-1.663,29.846,122.131,35.034
-0.210,0.658,-1.791,40.222,113.525,36.255
-0.261,0.769,-1.929,47.974,101.074,34.668
-0.292,0.880,-2.038,54.016,83.984,30.579
-0.337,0.962,-2.088,55.420,61.340,23.010
-0.350,0.991,-2.096,52.917,35.767,11.475
-0.359,0.975,-2.067,44.678,9.705,-2.563
-0.351,0.901,-2.047,31.433,-14.099,-17.822
-0.363,0.743,-2.010,4.761,-36.926,-33.813
-0.380,0.559,-1.918,-35.156,-59.631,-46.387
-0.384,0.387,-1.815,-55.969,-81.482,-53.162
-0.401,0.263,-1.716,-59.631,-101.563,-53.955
-0.432,0.246,-1.572,-45.532,-120.911,-49.011
-0.477,0.194,-1.620,41.443,-141.663,-40.527
-0.507,0.340,-1.521,50.110,-160.461,-34.424
-0.533,0.442,-1.449,38.879,-177.856,-33.813
-0.541,0.468,-1.375,35.645,-194.824,-38.696
-0.553,0.440,-1.280,24.719,-210.937,-46.692
Done. Type '시작' to run again.
