Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
0.399,0.016,0.340,12.756,106.079,8.362
0.417,-0.018,0.420,5.554,103.149,7.996
0.438,-0.036,0.451,2.502,102.783,9.216
0.439,-0.073,0.448,1.099,104.004,10.498
0.440,-0.028,0.399,1.465,105.408,13.000
0.436,0.112,0.285,5.432,106.262,15.503
0.450,0.239,0.097,6.775,105.225,15.137
0.478,0.291,-0.096,4.272,101.074,11.536
0.497,0.319,-0.173,-1.099,91.309,6.653
0.512,0.341,-0.144,-4.395,77.759,0.977
0.545,0.283,-0.113,-5.005,65.125,-4.822
0.562,0.120,-0.083,-8.240,53.955,-10.437
0.567,-0.068,0.063,-14.465,43.152,-13.672
0.563,-0.162,0.266,-15.259,34.424,-12.573
0.550,-0.164,0.389,-11.169,30.945,-8.240
0.539,-0.104,0.350,-4.822,31.494,-4.272
0.517,-0.023,0.201,-0.366,31.738,-1.831
0.519,0.038,0.061,0.427,28.992,-0.793
0.520,0.050,-0.002,-1.404,22.461,-1.892
0.532,0.027,-0.039,-5.371,14.893,-3.662
0.550,-0.026,-0.057,-8.667,6.958,-4.395
0.558,-0.108,-0.076,-9.155,-0.671,-4.456
0.547,-0.105,-0.156,-6.592,-7.812,-2.808
0.541,-0.014,-0.236,-2.441,-17.029,0.732
0.528,0.072,-0.225,-2.930,-29.663,2.563
0.500,0.177,-0.093,-7.202,-43.579,2.197
0.491,0.203,0.070,-9.155,-54.993,-0.366
0.497,0.145,0.246,-12.329,-62.500,-4.028
0.516,0.067,0.375,-12.512,-66.589,-6.409
0.544,0.029,0.423,-10.925,-67.139,-7.080
0.558,0.071,0.371,-9.644,-65.857,-6.042
0.565,0.125,0.277,-9.094,-65.430,-5.188
0.566,0.127,0.161,-9.216,-67.261,-6.226
0.538,0.076,0.001,-10.742,-71.899,-7.996
0.519,-0.012,-0.071,-11.475,-80.627,-8.911
0.458,-0.091,-0.093,-7.263,-92.529,-7.874
0.411,-0.184,-0.020,-3.967,-105.408,-5.798
0.357,-0.197,0.117,-0.671,-118.469,-2.258
0.303,-0.171,0.300,-0.183,-129.211,1.648
0.270,-0.142,0.540,0.122,-136.963,4.761
0.243,-0.084,0.756,1.160,-140.320,6.775
0.251,-0.003,0.899,1.160,-138.672,7.812
0.266,0.021,0.960,3.906,-133.911,7.507
0.260,0.040,0.958,-2.869,-127.625,6.897
0.232,0.098,0.917,-8.728,-122.253,7.202
0.204,0.170,0.816,-10.498,-118.469,7.263
0.178,0.230,0.724,-8.606,-117.493,5.920
0.141,0.212,0.678,-7.324,-119.812,2.991
0.126,0.169,0.668,-5.737,-123.535,0.244
0.099,0.227,0.705,-3.479,-127.808,-1.038
0.087,0.301,0.786,-3.235,-131.348,-3.113
0.087,0.284,0.914,-5.005,-133.240,-7.202
0.070,0.216,1.022,-3.967,-132.507,-11.475
0.040,0.057,1.017,-5.798,-128.418,-15.198
0.028,-0.212,1.007,-10.437,-124.329,-16.296
-0.013,-0.382,1.108,-18.799,-123.291,-11.780
-0.044,-0.312,1.259,-22.644,-121.765,-1.282
-0.071,-0.082,1.376,-13.489,-117.554,9.827
-0.074,0.165,1.362,-1.587,-109.924,16.052
-0.067,0.360,1.300,7.507,-102.722,15.686
-0.049,0.483,1.301,9.644,-98.328,10.193
-0.040,0.496,1.346,9.399,-94.360,1.587
-0.021,0.430,1.292,5.981,-87.891,-6.775
-0.039,0.311,1.180,0.183,-81.543,-14.648
-0.072,0.117,1.048,-6.287,-77.332,-20.325
-0.110,-0.128,0.981,-12.817,-76.782,-22.217
-0.148,-0.287,0.980,-14.099,-78.918,-18.433
-0.163,-0.342,1.034,-10.498,-81.787,-10.559
-0.177,-0.312,1.119,-7.019,-83.984,-1.648
-0.178,-0.176,1.252,0.610,-84.839,7.202
-0.187,0.050,1.344,11.353,-82.031,13.672
-0.173,0.268,1.375,23.132,-76.477,14.648
-0.168,0.341,1.396,31.006,-69.458,9.583
-0.160,0.368,1.429,34.424,-61.646,1.892
-0.177,0.347,1.312,36.316,-52.246,-5.066
-0.176,0.230,1.101,30.151,-44.006,-12.756
-0.194,0.089,1.011,18.921,-41.992,-19.043
-0.202,-0.068,0.976,9.460,-43.213,-21.973
-0.215,-0.244,0.950,1.587,-44.983,-21.973
-0.223,-0.383,0.920,-1.892,-47.729,-17.822
-0.237,-0.449,0.928,-4.333,-51.147,-10.437
-0.252,-0.460,0.972,-3.296,-54.504,-2.197
-0.265,-0.338,1.033,0.244,-57.068,7.568
-0.297,-0.126,1.075,5.310,-58.960,15.747
-0.311,0.115,1.104,9.583,-59.631,19.653
-0.326,0.303,1.168,17.944,-60.242,18.616
-0.349,0.387,1.261,22.888,-59.875,13.306
-0.349,0.339,1.365,22.705,-57.739,5.554
-0.347,0.230,1.446,16.235,-53.528,-1.892
-0.345,0.117,1.512,4.333,-47.913,-6.592
-0.346,-0.012,1.480,-5.310,-39.368,-9.399
-0.342,-0.131,1.334,-8.240,-30.701,-9.460
-0.342,-0.164,1.153,-7.141,-24.536,-6.836
-0.340,-0.133,1.010,-2.075,-22.339,-3.235
-0.344,-0.130,0.887,-0.183,-23.254,-0.427
-0.356,-0.066,0.872,-0.305,-26.855,2.258
-0.368,0.058,0.901,0.977,-31.189,4.456
-0.358,0.086,0.898,1.038,-34.119,3.540
-0.364,-0.003,0.961,0.732,-37.048,1.038
-0.357,-0.017,1.079,0.610,-38.940,0.427
-0.356,-0.002,1.086,0.183,-37.170,0.977
-0.355,-0.011,1.080,0.122,-34.790,1.099
-0.359,-0.012,1.027,-1.892,-32.654,1.099
-0.363,0.015,0.957,-3.662,-31.372,1.526
-0.363,0.061,0.927,-4.272,-32.043,1.587
-0.366,0.077,0.943,-4.089,-33.386,0.793
-0.371,0.054,0.920,-3.418,-33.997,-0.244
-0.368,0.039,0.880,-4.028,-34.485,-0.793
-0.362,0.034,0.842,-4.456,-35.889,-0.916
-0.354,0.013,0.795,-6.653,-37.598,-1.160
-0.347,-0.000,0.750,-8.362,-39.978,-1.038
-0.343,0.002,0.701,-8.240,-43.152,-0.366
-0.345,-0.010,0.637,-9.827,-46.814,0.061
-0.354,-0.070,0.557,-12.024,-50.903,0.671
-0.362,-0.144,0.597,-17.517,-57.007,2.136
-0.847,0.985,4.000,5.920,-55.237,1.404
-0.529,-0.370,-1.332,57.373,109.680,-8.179
-0.502,0.555,2.909,-0.427,47.607,2.808
-0.511,-0.121,0.887,29.236,19.836,-1.953
Done. Type '시작' to run again.
