Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
0.483,-0.117,0.477,-19.836,-19.104,-5.737
0.463,0.004,0.552,-7.263,-19.775,-2.441
0.454,0.103,0.533,3.662,-18.799,-1.709
0.461,0.084,0.487,4.578,-18.127,-3.723
0.457,0.030,0.487,-3.662,-19.531,-6.042
0.447,0.076,0.506,-8.911,-21.912,-6.409
0.440,0.131,0.508,-12.085,-23.621,-7.141
0.438,0.084,0.551,-19.897,-25.269,-10.193
0.436,-0.010,0.588,-24.414,-26.428,-12.878
0.441,-0.104,0.579,-21.423,-25.879,-12.939
0.436,-0.181,0.594,-17.151,-25.452,-11.108
0.430,-0.183,0.614,-12.390,-24.963,-7.080
0.418,-0.125,0.562,-5.249,-23.865,-3.296
0.407,0.006,0.458,2.197,-23.560,0.183
0.409,0.134,0.403,6.409,-26.245,1.221
0.423,0.165,0.447,3.784,-31.067,-1.648
0.429,0.109,0.570,-2.563,-35.278,-5.310
0.444,0.055,0.659,-5.554,-36.560,-8.118
0.454,-0.031,0.662,-6.592,-35.278,-9.705
0.453,-0.096,0.602,-9.216,-33.325,-9.399
0.446,-0.105,0.522,-9.521,-32.532,-6.836
0.437,-0.086,0.474,-10.681,-33.875,-4.761
0.433,-0.031,0.461,-12.146,-36.682,-3.113
0.421,0.057,0.490,-8.789,-40.283,-1.526
0.420,0.102,0.509,-5.371,-43.640,-1.648
0.405,0.053,0.540,-5.859,-46.814,-3.784
0.394,0.011,0.567,-5.859,-49.438,-4.822
0.384,-0.035,0.582,-3.418,-51.270,-4.822
0.373,-0.085,0.579,-0.061,-52.429,-4.333
0.361,-0.077,0.589,6.042,-53.223,-2.014
0.355,0.031,0.567,10.803,-53.894,1.526
0.353,0.201,0.560,7.935,-55.603,3.418
0.349,0.329,0.594,1.465,-58.655,1.465
0.344,0.339,0.692,-9.033,-61.707,-4.211
0.334,0.246,0.790,-22.156,-63.538,-11.108
0.318,0.109,0.861,-32.776,-63.232,-16.357
0.290,-0.014,0.875,-36.133,-61.279,-18.677
0.249,-0.122,0.834,-34.851,-58.411,-18.433
0.227,-0.245,0.808,-31.860,-56.580,-16.479
0.217,-0.371,0.800,-27.039,-55.603,-13.000
0.219,-0.515,0.742,-20.813,-54.382,-7.202
0.219,-0.565,0.657,-13.916,-54.749,2.075
0.211,-0.410,0.654,-5.737,-58.411,15.137
0.203,-0.092,0.751,1.648,-64.453,26.306
0.190,0.243,0.904,7.141,-69.885,31.311
0.181,0.507,1.043,10.193,-72.327,28.992
0.175,0.660,1.130,12.512,-71.411,20.813
0.165,0.685,1.205,8.911,-68.604,8.667
0.158,0.580,1.263,0.427,-64.209,-4.333
0.167,0.350,1.269,-7.751,-57.861,-16.113
0.192,0.081,1.163,-10.376,-50.598,-23.743
0.202,-0.164,0.936,-9.888,-44.800,-25.818
0.213,-0.381,0.737,-14.160,-44.556,-22.888
0.204,-0.444,0.693,-17.822,-50.232,-14.465
0.168,-0.280,0.732,-8.728,-58.411,-2.380
0.134,-0.058,0.814,-0.488,-66.284,7.202
0.099,0.128,0.971,3.235,-73.059,11.963
0.069,0.260,1.140,6.531,-76.172,12.085
0.053,0.334,1.239,12.024,-75.134,8.850
0.048,0.333,1.287,18.982,-71.716,3.357
0.065,0.250,1.300,24.719,-67.139,-2.319
0.086,0.151,1.248,24.475,-62.378,-6.165
