Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
0.499,0.353,0.080,-9.094,80.933,-0.488
0.519,0.206,0.260,-21.606,73.059,-7.996
0.541,0.004,0.445,-30.212,68.726,-13.245
0.534,-0.108,0.569,-28.076,68.237,-12.451
0.541,-0.067,0.586,-17.395,73.853,-7.385
0.544,0.008,0.426,-3.174,80.750,-3.052
0.552,0.077,0.164,4.333,85.388,-0.916
0.577,0.138,-0.090,8.484,84.656,-0.427
0.599,0.190,-0.275,9.277,77.820,-1.343
0.612,0.243,-0.367,5.981,65.430,-3.296
0.624,0.283,-0.397,3.052,49.927,-6.226
0.634,0.233,-0.422,1.587,34.851,-10.803
0.639,0.113,-0.386,-4.395,18.799,-15.442
0.628,0.048,-0.234,-10.986,2.258,-17.639
0.604,0.059,-0.050,-11.169,-10.010,-17.517
0.595,0.020,0.155,-10.498,-19.165,-18.372
0.595,-0.063,0.301,-7.568,-23.193,-19.226
0.598,-0.099,0.343,-2.075,-22.034,-17.883
0.604,-0.083,0.305,5.371,-19.958,-14.709
0.597,-0.073,0.244,10.864,-19.409,-12.024
0.595,-0.053,0.174,10.925,-20.630,-10.254
0.579,-0.011,0.099,6.897,-23.499,-8.789
0.568,0.054,0.014,0.427,-28.076,-8.301
0.544,0.122,-0.086,-6.042,-34.241,-9.216
0.514,0.158,-0.155,-14.404,-42.664,-11.780
0.494,0.138,-0.147,-22.095,-53.467,-15.686
0.500,-0.021,-0.034,-26.489,-65.247,-20.569
0.501,-0.289,0.150,-30.518,-75.012,-23.132
0.524,-0.473,0.305,-24.109,-80.933,-19.287
0.530,-0.486,0.348,-12.756,-82.336,-8.972
0.512,-0.288,0.301,-3.967,-82.153,2.869
0.486,-0.001,0.251,3.296,-85.266,11.841
0.464,0.215,0.276,-0.305,-91.797,13.611
0.437,0.309,0.398,-13.123,-98.999,9.766
0.406,0.350,0.628,-26.978,-105.652,3.357
0.392,0.394,0.865,-31.921,-108.704,-2.991
0.398,0.342,0.997,-32.715,-103.210,-10.071
0.419,0.157,0.958,-28.198,-92.834,-17.639
0.436,-0.048,0.791,-23.621,-82.764,-21.301
0.440,-0.149,0.608,-17.700,-78.003,-19.165
0.423,-0.127,0.476,-14.893,-79.102,-13.855
0.404,-0.038,0.381,-13.062,-84.045,-9.460
0.377,0.001,0.347,-15.564,-91.553,-7.935
0.347,-0.066,0.397,-19.226,-100.464,-8.240
0.311,-0.170,0.508,-20.447,-108.948,-7.935
0.303,-0.278,0.660,-22.522,-114.868,-5.310
0.299,-0.376,0.797,-20.447,-117.737,0.244
0.294,-0.314,0.850,-14.282,-117.859,10.559
0.263,0.008,0.922,-11.108,-117.676,22.156
0.222,0.470,1.071,-10.925,-118.835,28.625
0.184,0.836,1.270,-12.024,-118.469,24.292
0.163,0.913,1.408,-13.000,-113.037,9.216
0.144,0.696,1.397,-17.822,-101.929,-10.071
0.140,0.320,1.301,-22.461,-90.515,-25.818
0.132,-0.031,1.190,-25.574,-82.153,-33.264
0.134,-0.297,1.075,-28.137,-76.660,-32.349
0.139,-0.437,0.956,-26.855,-74.097,-25.024
0.148,-0.436,0.835,-20.569,-74.524,-13.550
0.147,-0.373,0.766,-13.733,-78.430,-2.258
0.134,-0.305,0.807,-9.277,-84.778,7.629
0.100,-0.097,0.946,-4.211,-91.370,16.663
0.064,0.234,1.107,2.869,-95.337,22.522
0.047,0.483,1.283,7.446,-95.459,20.813
0.029,0.531,1.405,8.728,-91.980,11.902
0.024,0.427,1.449,4.822,-85.083,0.793
0.016,0.272,1.393,-0.977,-75.928,-6.836
0.024,0.172,1.302,-5.920,-68.542,-10.071
0.027,0.130,1.287,-9.888,-64.636,-10.803
0.007,0.118,1.327,-8.301,-61.829,-10.132
0.006,0.121,1.300,-2.319,-57.739,-9.521
-0.003,0.106,1.214,4.456,-53.406,-9.583
-0.011,0.070,1.104,7.812,-50.598,-10.010
-0.018,0.029,1.044,6.836,-50.049,-10.559
-0.028,0.021,1.043,4.028,-50.781,-10.742
-0.044,0.026,1.063,2.319,-51.453,-10.559
-0.057,0.021,1.082,1.404,-51.270,-10.742
-0.066,-0.001,1.100,2.441,-50.537,-10.620
-0.065,-0.022,1.124,6.226,-49.683,-10.254
-0.069,-0.029,1.156,9.155,-48.401,-8.911
-0.074,-0.035,1.135,11.597,-46.387,-7.690
-0.078,-0.061,1.095,10.010,-43.945,-6.592
-0.086,-0.073,1.051,7.568,-42.236,-4.944
-0.084,-0.112,0.980,3.601,-41.138,-3.601
-0.093,-0.133,0.907,-2.014,-41.626,-1.282
-0.109,-0.128,0.871,-7.874,-43.579,1.953
-0.129,-0.075,0.851,-9.949,-46.814,5.676
