Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
0.737,0.110,0.470,-15.137,40.894,-19.531
0.756,-0.003,0.349,-7.507,38.513,-22.217
0.752,-0.109,0.271,-6.470,34.668,-23.926
0.750,-0.194,0.238,-4.700,27.588,-23.132
0.759,-0.252,0.214,-0.854,19.287,-20.386
0.761,-0.294,0.172,0.305,11.963,-16.785
0.761,-0.318,0.113,-2.014,4.822,-12.573
0.743,-0.307,0.052,-7.568,-2.747,-7.751
0.745,-0.276,-0.034,-10.620,-10.986,-2.930
0.736,-0.228,-0.039,-16.724,-22.339,1.892
0.721,-0.158,0.049,-25.085,-35.889,6.653
0.705,-0.046,0.201,-28.564,-47.546,10.010
0.691,0.058,0.368,-25.269,-55.664,10.864
0.667,0.157,0.547,-23.315,-60.486,10.071
0.657,0.246,0.675,-17.761,-60.486,7.568
0.658,0.286,0.730,-10.010,-56.763,2.747
0.662,0.240,0.680,-0.610,-50.476,-3.174
0.675,0.104,0.497,5.798,-43.579,-9.033
0.659,-0.048,0.261,0.488,-39.124,-12.939
0.639,-0.146,0.092,-7.324,-42.114,-12.329
0.640,-0.182,-0.025,-9.094,-51.270,-8.911
0.625,-0.203,-0.092,-10.803,-64.148,-4.395
0.583,-0.220,-0.085,-16.174,-79.590,0.244
0.520,-0.165,-0.013,-19.165,-95.642,7.019
0.447,0.021,0.264,-25.879,-112.915,14.404
0.399,0.244,0.592,-24.048,-126.221,18.005
0.399,0.391,0.872,-12.085,-130.127,16.357
0.409,0.428,1.053,0.916,-127.075,10.193
0.444,0.375,1.085,14.893,-117.676,2.380
0.470,0.251,0.979,27.344,-105.591,-4.456
0.461,0.129,0.851,28.625,-96.375,-9.338
0.451,0.081,0.740,22.217,-91.125,-11.108
0.438,0.105,0.642,19.226,-88.501,-11.230
0.400,0.106,0.503,11.475,-87.769,-12.451
0.374,-0.041,0.344,-3.906,-88.928,-15.503
0.340,-0.230,0.316,-26.550,-97.290,-16.235
0.316,-0.309,0.461,-40.710,-111.389,-10.681
0.271,-0.231,0.736,-42.480,-124.207,-1.099
0.267,-0.051,0.971,-32.166,-129.700,9.705
0.263,0.127,1.157,-13.794,-128.296,16.602
0.253,0.263,1.289,2.136,-122.803,17.822
0.250,0.364,1.357,5.798,-112.793,15.381
0.241,0.331,1.340,2.075,-100.525,9.277
0.222,0.191,1.351,-8.972,-89.050,2.136
0.199,0.118,1.382,-13.733,-80.322,-0.549
0.188,0.235,1.320,-10.864,-69.763,1.160
0.193,0.331,1.136,-0.549,-59.265,0.732
0.173,0.274,0.843,2.014,-52.490,-3.540
0.193,0.098,0.426,6.226,-50.781,-8.789
0.203,-0.116,0.026,5.920,-59.021,-11.169
0.177,-0.348,-0.242,1.282,-78.796,-10.254
