Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
0.453,0.225,0.696,-5.554,-33.081,-10.498
0.456,0.144,0.762,-7.568,-32.227,-14.404
0.467,0.016,0.664,-6.042,-28.076,-16.907
0.461,-0.066,0.487,-4.150,-25.391,-16.724
0.441,-0.093,0.348,-2.380,-27.039,-14.587
0.450,-0.110,0.285,0.061,-32.166,-11.841
0.420,-0.112,0.312,-1.099,-39.612,-8.789
0.391,-0.063,0.390,-0.122,-47.485,-5.432
0.365,0.030,0.451,2.441,-53.894,-2.930
0.342,0.149,0.465,2.930,-58.960,-1.648
0.336,0.233,0.459,1.404,-63.843,-2.869
0.326,0.226,0.515,-2.747,-69.458,-6.409
0.311,0.158,0.693,-9.094,-74.890,-10.864
0.302,0.084,0.874,-11.841,-76.538,-13.794
0.292,-0.004,0.903,-9.277,-73.120,-14.648
0.280,-0.090,0.838,-5.066,-68.481,-13.611
0.250,-0.092,0.812,-3.479,-66.650,-10.376
0.227,-0.004,0.822,-1.587,-66.833,-6.165
0.229,0.094,0.847,-0.977,-67.566,-3.845
0.214,0.156,0.887,-1.282,-68.176,-3.601
0.214,0.185,0.856,-3.723,-67.932,-4.639
0.205,0.140,0.849,-2.563,-68.115,-6.714
0.199,0.120,0.830,1.465,-68.726,-7.812
0.179,0.132,0.806,3.906,-69.763,-8.667
0.172,0.134,0.786,7.019,-71.533,-9.888
0.149,0.145,0.787,7.568,-74.036,-11.169
0.140,0.161,0.825,6.958,-76.538,-12.634
0.124,0.120,0.891,5.066,-78.430,-14.832
0.115,0.021,0.953,2.075,-79.102,-16.968
0.095,-0.119,1.100,-1.160,-79.224,-17.212
0.083,-0.154,1.219,-0.610,-76.904,-14.404
0.073,-0.111,1.274,2.625,-70.984,-10.193
0.059,-0.048,1.242,7.568,-62.805,-6.958
0.054,-0.031,1.121,12.268,-54.871,-5.920
0.060,-0.080,0.938,16.174,-49.377,-5.798
0.071,-0.064,0.750,18.188,-48.157,-4.517
0.067,-0.016,0.641,17.639,-52.246,-2.686
0.034,0.031,0.634,11.414,-59.998,-1.709
0.015,0.074,0.752,3.845,-68.787,-1.709
-0.003,0.102,0.911,-1.770,-75.745,-2.930
-0.023,0.047,1.011,-8.057,-78.857,-4.578
-0.042,-0.021,1.045,-14.893,-79.041,-5.493
-0.076,-0.102,1.061,-15.198,-78.003,-5.005
-0.087,-0.172,1.023,-13.855,-76.294,-3.601
-0.111,-0.190,0.996,-9.460,-74.585,-0.122
-0.122,-0.120,0.990,0.305,-74.280,4.456
-0.123,-0.085,0.951,11.780,-74.402,7.874
-0.151,-0.071,0.956,20.325,-75.989,9.705
-0.167,-0.027,0.969,21.606,-78.552,11.353
-0.185,-0.017,0.957,14.648,-80.872,12.024
-0.205,0.067,0.950,3.052,-83.191,12.573
-0.217,0.192,1.000,-3.174,-86.182,11.841
-0.239,0.251,1.072,-11.963,-88.196,7.874
-0.251,0.208,1.100,-19.104,-87.708,1.831
-0.259,0.150,1.044,-23.987,-86.609,-2.808
-0.262,0.055,1.021,-32.654,-86.670,-5.310
-0.284,-0.029,1.110,-40.955,-88.440,-6.287
-0.299,-0.100,1.162,-39.917,-88.379,-4.761
-0.324,-0.167,1.151,-36.560,-85.876,-1.282
-0.348,-0.225,1.207,-28.381,-84.106,4.700
-0.364,-0.094,1.257,-18.005,-81.909,12.390
-0.365,0.142,1.255,-6.653,-78.064,17.761
-0.367,0.350,1.252,1.831,-74.280,17.517
-0.359,0.392,1.206,5.127,-70.313,11.230
-0.364,0.240,1.082,0.061,-66.406,2.625
-0.376,0.086,1.040,-9.583,-65.613,-2.808
-0.374,0.033,1.097,-18.311,-67.139,-3.662
-0.391,-0.014,1.167,-22.461,-67.017,-2.869
-0.407,-0.061,1.154,-22.888,-64.453,-0.793
-0.422,-0.021,1.130,-20.325,-61.890,2.869
-0.432,0.047,1.098,-14.709,-59.937,6.226
-0.440,0.071,1.041,-9.644,-58.044,7.751
-0.439,0.085,0.996,-5.310,-57.190,8.606
-0.437,0.129,0.983,-3.784,-57.800,9.460
-0.451,0.162,0.990,-3.418,-58.960,9.216
-0.476,0.190,0.967,-5.432,-59.570,7.996
-0.500,0.283,0.957,-4.517,-60.425,6.348
-0.499,0.330,0.992,-5.188,-61.890,2.747
-0.541,0.270,1.044,-11.414,-62.805,-2.686
-0.528,0.171,1.011,-12.085,-61.829,-6.165
-0.533,0.089,0.935,-13.855,-60.791,-8.118
-0.537,-0.011,0.922,-14.099,-61.279,-7.935
-0.692,0.257,4.000,45.105,-42.664,-7.996
-0.773,-0.366,-0.474,75.195,79.163,-10.376
-0.435,-0.145,0.828,15.198,29.480,-1.770
-0.556,0.080,0.868,33.508,13.672,-4.395
-0.542,0.065,0.832,9.827,12.268,-3.784
-0.462,0.078,0.886,6.531,12.207,-3.601
-0.447,0.078,0.899,4.211,11.841,-2.991
-0.432,0.087,0.900,3.845,10.559,-2.808
-0.430,0.072,0.890,6.165,8.789,-3.296
-0.425,0.073,0.894,6.042,8.179,-3.601
-0.417,0.089,0.905,4.761,8.240,-3.845
-0.423,0.081,0.903,4.761,7.751,-3.906
-0.424,0.070,0.904,3.601,6.714,-3.845
-0.421,0.069,0.907,0.732,5.493,-3.723
-0.424,0.074,0.901,-3.662,4.578,-3.784
-0.425,0.070,0.900,-7.385,4.028,-3.662
-0.424,0.077,0.901,-9.949,3.967,-3.906
-0.426,0.084,0.893,-11.719,4.028,-4.089
-0.428,0.088,0.892,-10.498,4.089,-4.517
-0.428,0.098,0.890,-9.766,4.761,-4.944
-0.429,0.096,0.895,-7.690,4.578,-5.127
-0.430,0.103,0.893,-5.920,4.456,-4.883
-0.429,0.111,0.893,-4.211,4.639,-4.883
-0.431,0.109,0.892,0.366,4.333,-4.517
-0.429,0.107,0.892,4.639,4.211,-4.272
-0.427,0.107,0.892,8.118,4.150,-3.906
-0.424,0.104,0.892,12.451,4.333,-3.418
-0.423,0.084,0.900,16.663,4.333,-2.686
-0.419,0.078,0.902,16.113,4.456,-2.014
-0.422,0.090,0.899,14.526,3.967,-1.465
-0.425,0.089,0.898,13.367,3.174,-0.854
-0.424,0.080,0.899,14.282,2.991,-0.488
-0.422,0.077,0.896,13.855,3.479,-0.488
-0.424,0.080,0.900,13.245,3.357,-0.610
-0.424,0.090,0.908,13.489,2.319,-0.366
-0.428,0.082,0.910,14.954,1.038,0.366
-0.422,0.072,0.930,17.944,0.854,0.793
Done. Type '시작' to run again.
