Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
0.396,-0.050,0.820,5.554,58.044,-7.568
0.386,-0.006,0.917,7.690,59.509,-5.005
0.386,0.109,0.897,9.644,63.965,-2.747
0.371,0.202,0.785,10.010,69.214,-2.686
0.356,0.293,0.665,8.301,72.327,-5.005
0.372,0.291,0.480,4.700,73.242,-10.437
0.397,0.114,0.260,-2.197,71.228,-17.395
0.428,-0.055,0.059,-9.827,65.857,-21.118
0.430,-0.113,-0.021,-11.597,53.833,-19.836
0.449,-0.135,-0.003,-11.047,37.659,-16.968
0.449,-0.167,0.167,-10.132,21.973,-13.916
0.448,-0.148,0.453,-5.981,9.766,-10.132
0.440,-0.103,0.661,1.160,4.333,-6.287
0.426,-0.055,0.704,9.338,4.883,-3.723
0.418,0.018,0.701,12.573,6.714,-2.380
0.412,0.097,0.686,10.986,7.935,-2.502
0.408,0.137,0.635,4.517,8.789,-4.333
0.401,0.128,0.541,-1.770,9.338,-7.324
0.411,0.070,0.441,-7.263,8.118,-10.620
0.414,-0.016,0.393,-11.353,4.395,-12.695
0.416,-0.065,0.358,-11.169,0.061,-12.817
0.432,-0.073,0.318,-8.545,-4.150,-11.292
0.432,-0.067,0.289,-4.578,-9.399,-9.644
0.433,-0.036,0.246,0.000,-15.259,-7.996
0.427,-0.049,0.279,0.854,-21.973,-6.958
0.416,-0.056,0.387,-1.343,-28.687,-6.287
0.419,0.009,0.470,-0.671,-33.142,-4.761
0.415,0.066,0.506,0.549,-35.278,-4.272
0.404,0.099,0.555,0.977,-36.743,-4.761
0.388,0.129,0.584,0.061,-37.781,-5.859
0.381,0.136,0.574,-3.052,-37.842,-8.118
0.366,0.109,0.555,-6.531,-38.330,-10.742
0.357,0.055,0.520,-8.362,-39.368,-12.756
0.348,0.003,0.493,-8.423,-41.443,-13.794
0.346,-0.048,0.515,-7.202,-44.495,-13.611
0.339,-0.096,0.523,-5.249,-47.302,-12.512
0.349,-0.124,0.490,-3.296,-49.438,-10.681
0.338,-0.076,0.477,-1.587,-52.612,-7.812
0.321,0.013,0.500,-2.014,-56.946,-5.676
0.307,0.057,0.530,-4.028,-61.157,-5.554
0.292,0.007,0.615,-7.324,-65.613,-7.263
0.272,-0.053,0.736,-11.292,-69.519,-7.568
0.246,-0.051,0.847,-12.939,-71.228,-6.165
0.228,0.040,0.946,-10.681,-71.472,-4.150
0.212,0.165,1.023,-7.324,-69.946,-3.784
0.196,0.210,1.048,-2.808,-66.772,-5.249
0.188,0.158,1.032,1.770,-62.988,-8.911
0.187,0.122,1.012,5.493,-60.303,-11.597
0.199,0.095,1.008,7.507,-58.716,-13.245
0.193,0.046,1.040,3.174,-57.678,-15.381
0.184,-0.003,1.041,-2.808,-56.091,-16.724
0.174,-0.076,1.016,-8.728,-54.016,-17.761
0.158,-0.206,0.943,-14.282,-52.246,-17.700
0.147,-0.313,0.873,-16.724,-52.795,-14.221
0.113,-0.307,0.895,-16.724,-56.152,-7.385
0.089,-0.184,0.965,-11.963,-59.998,0.122
0.072,-0.006,1.055,-6.104,-62.866,6.165
0.069,0.249,1.146,2.197,-63.843,8.789
0.078,0.423,1.283,11.597,-62.622,5.188
0.104,0.377,1.380,17.151,-58.228,-3.723
0.125,0.160,1.341,17.212,-50.171,-13.123
0.139,-0.042,1.210,6.592,-41.748,-18.860
0.126,-0.164,1.081,-6.348,-36.438,-20.020
0.115,-0.246,0.971,-14.954,-34.546,-18.372
0.087,-0.280,0.899,-14.771,-35.522,-14.526
0.070,-0.298,0.823,-10.437,-38.025,-9.094
0.053,-0.288,0.782,-8.057,-42.358,-3.967
0.040,-0.248,0.818,-8.667,-48.279,1.404
0.023,-0.219,0.930,-11.780,-53.894,6.104
0.006,-0.111,1.026,-13.794,-56.824,10.193
-0.005,0.043,1.044,-10.742,-56.580,12.939
-0.016,0.076,1.004,-5.188,-55.725,12.085
-0.021,0.089,1.052,-1.343,-57.068,10.437
-0.025,0.131,1.185,1.648,-59.204,9.705
-0.041,0.202,1.323,4.211,-58.533,8.850
-0.051,0.243,1.388,2.441,-54.321,6.653
-0.054,0.240,1.440,-1.099,-48.950,2.991
-0.049,0.205,1.420,-1.648,-41.870,-0.732
-0.044,0.103,1.300,-3.052,-34.241,-3.967
-0.042,-0.027,1.146,-4.211,-28.259,-5.432
-0.044,-0.089,1.005,-6.042,-25.452,-4.883
-0.055,-0.054,0.888,-6.165,-25.330,-3.174
-0.051,0.006,0.771,-5.066,-27.222,-1.709
-0.058,-0.005,0.743,-6.226,-31.677,-2.014
-0.059,-0.054,0.773,-8.789,-37.231,-2.258
-0.068,-0.089,0.816,-11.719,-41.870,-0.854
-0.073,-0.080,0.840,-12.756,-45.227,1.831
-0.083,-0.057,0.898,-11.536,-47.852,4.578
-0.094,-0.012,1.032,-12.207,-49.500,6.897
-0.109,0.087,1.139,-11.414,-48.340,8.423
-0.122,0.206,1.099,-12.085,-43.701,8.179
-0.129,0.238,0.995,-16.296,-39.368,4.761
-0.142,0.178,0.912,-21.362,-37.903,-0.183
-0.142,0.007,0.822,-22.583,-38.269,-3.784
-0.150,-0.157,0.789,-20.935,-40.833,-3.906
-0.158,-0.190,0.814,-15.076,-44.800,0.183
-0.165,-0.144,0.841,-8.057,-48.218,6.287
-0.170,-0.098,0.890,-1.648,-50.964,11.230
-0.178,-0.043,0.940,2.319,-52.673,14.893
-0.190,0.072,0.958,3.845,-53.162,17.639
-0.201,0.283,1.019,0.916,-52.979,18.188
-0.222,0.462,1.106,-4.517,-51.880,14.160
-0.251,0.444,1.090,-10.620,-47.791,5.310
-0.271,0.283,1.014,-15.198,-43.335,-3.235
-0.290,0.205,0.991,-17.639,-41.992,-7.324
-0.302,0.180,0.986,-19.592,-42.419,-9.338
-0.285,0.103,0.988,-17.517,-43.091,-10.742
-0.290,0.025,1.038,-15.747,-43.823,-10.742
-0.287,-0.000,1.063,-8.911,-43.579,-8.362
-0.293,0.003,1.024,-1.404,-42.175,-5.310
-0.277,0.013,0.965,4.333,-40.894,-2.808
-0.299,0.054,0.958,4.517,-41.077,-0.671
-0.307,0.106,0.962,3.113,-41.870,0.549
-0.317,0.127,0.978,0.854,-42.114,0.732
-0.340,0.193,1.022,-0.488,-42.297,0.000
-0.359,0.203,1.011,0.488,-41.565,-1.587
-0.369,0.114,0.947,0.488,-40.833,-3.723
-0.382,0.078,0.914,-0.610,-42.114,-3.967
-0.387,0.104,0.937,-0.793,-44.983,-2.686
Done. Type '시작' to run again.
