Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
0.732,0.186,0.594,3.601,14.709,-4.150
0.730,0.181,0.554,5.005,15.076,-5.432
0.732,0.161,0.511,5.554,15.137,-7.080
0.727,0.116,0.460,8.118,14.282,-8.362
0.720,0.062,0.429,8.423,12.634,-9.094
0.713,0.032,0.410,8.423,10.193,-8.606
0.711,0.046,0.377,10.620,7.507,-6.958
0.705,0.061,0.341,11.963,5.066,-5.981
0.702,0.070,0.256,12.329,3.296,-5.371
0.702,0.051,0.199,11.353,-1.160,-5.676
0.694,0.047,0.127,5.737,-6.104,-5.859
0.689,0.067,0.106,-1.343,-13.916,-5.676
0.677,0.112,0.124,-5.737,-23.193,-5.066
0.673,0.147,0.196,-14.465,-31.921,-6.042
0.655,0.134,0.285,-19.165,-38.879,-7.996
0.647,0.094,0.327,-17.456,-42.542,-9.766
0.641,0.042,0.320,-8.484,-44.373,-10.498
0.629,0.024,0.271,1.160,-46.204,-9.094
0.605,0.035,0.207,2.869,-48.828,-7.507
0.585,0.025,0.139,3.052,-53.223,-7.141
0.579,-0.003,0.085,-0.061,-59.692,-7.507
0.575,-0.052,0.064,-7.629,-69.031,-7.874
0.540,-0.082,0.093,-20.447,-80.017,-6.348
0.536,0.007,0.194,-30.823,-92.407,-1.221
0.524,0.107,0.310,-34.973,-102.539,3.052
0.499,0.211,0.400,-36.011,-108.704,4.456
0.484,0.276,0.432,-28.625,-112.244,3.723
0.458,0.281,0.414,-14.893,-114.441,1.160
0.420,0.273,0.409,-7.996,-117.981,-1.770
0.392,0.240,0.435,-5.676,-122.437,-4.700
0.377,0.127,0.559,-15.564,-127.991,-8.728
0.332,-0.028,0.803,-29.785,-133.728,-12.268
0.320,-0.104,0.949,-30.579,-133.545,-10.132
0.325,-0.153,1.096,-24.292,-130.737,-6.104
0.293,-0.142,1.051,-15.320,-116.516,1.099
0.288,-0.096,0.853,2.441,-104.980,7.568
0.305,-0.035,0.589,18.555,-97.595,13.245
0.273,0.059,0.406,21.790,-98.755,17.578
0.242,0.216,0.302,20.142,-108.704,20.081
0.217,0.301,0.403,14.221,-123.047,18.860
0.165,0.300,0.639,8.667,-137.085,14.832
0.148,0.241,0.878,18.127,-144.897,11.230
0.127,0.183,1.071,33.081,-145.752,9.094
0.120,0.135,1.125,47.058,-141.907,8.057
0.118,0.011,1.121,57.739,-137.390,6.104
0.087,-0.132,1.034,54.077,-129.517,6.714
0.074,-0.257,0.960,42.603,-125.244,9.705
0.050,-0.351,0.880,27.893,-122.437,15.564
0.002,-0.405,0.865,9.460,-123.535,23.376
-0.034,-0.342,0.906,0.793,-128.418,35.889
-0.066,-0.190,0.973,0.916,-132.263,47.852
-0.110,-0.057,0.938,9.399,-132.080,54.749
-0.152,0.090,0.823,23.376,-131.165,58.289
-0.202,0.291,0.778,28.992,-134.094,58.716
-0.211,0.411,0.845,38.391,-141.235,53.467
-0.228,0.333,0.995,47.424,-147.095,43.945
-0.247,0.142,1.122,48.889,-149.658,34.729
-0.277,0.009,1.210,50.049,-149.292,30.701
-0.314,0.059,1.282,48.767,-146.240,32.654
-0.371,0.187,1.316,44.983,-140.747,35.095
-0.329,0.334,1.394,32.410,-135.925,33.020
-0.356,0.336,1.361,26.794,-128.601,25.452
-0.360,0.228,1.279,12.451,-121.521,15.991
-0.377,0.077,1.290,-3.052,-116.943,8.850
-0.389,-0.021,1.342,-16.296,-113.953,6.287
-0.385,-0.061,1.366,-18.738,-109.253,7.507
-0.401,-0.050,1.359,-15.015,-102.722,10.681
-0.402,-0.020,1.297,3.906,-96.252,14.709
-0.411,0.017,1.240,18.860,-91.064,17.334
