Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
0.684,-0.062,-0.513,20.081,2.197,-2.747
0.651,0.007,-0.081,-1.221,-18.677,-1.099
0.635,0.057,0.392,-11.841,-30.273,-0.732
0.618,0.099,0.700,-10.132,-28.137,-1.160
0.616,0.130,0.750,1.465,-15.381,-2.502
0.611,0.119,0.506,15.564,-0.061,-4.272
0.619,0.060,0.119,20.142,11.780,-6.775
0.628,-0.056,-0.200,17.151,13.000,-8.789
0.615,-0.103,-0.445,7.690,5.859,-7.935
0.606,-0.027,-0.629,-0.183,-6.836,-5.310
0.598,0.046,-0.748,-4.517,-23.743,-4.089
0.575,0.022,-0.784,-7.874,-43.518,-4.639
0.540,-0.066,-0.754,-11.047,-65.002,-5.432
0.505,-0.156,-0.514,-21.301,-87.219,-4.700
0.466,-0.138,-0.052,-27.954,-108.521,-1.526
0.454,0.035,0.348,-25.085,-117.737,3.784
0.436,0.192,0.564,-12.939,-115.234,5.859
0.435,0.265,0.538,2.014,-105.896,3.723
0.437,0.278,0.391,11.230,-98.328,-0.732
0.451,0.247,0.191,11.414,-95.520,-5.615
0.446,0.167,-0.001,0.061,-96.863,-10.315
0.426,0.052,-0.137,-14.343,-104.065,-13.855
0.385,-0.055,-0.111,-28.381,-116.638,-14.832
0.356,-0.151,0.107,-37.659,-131.104,-13.123
0.324,-0.211,0.364,-39.856,-142.212,-9.216
0.275,-0.180,0.549,-32.898,-145.264,-3.479
0.247,-0.070,0.684,-19.897,-144.165,2.563
0.221,0.042,0.807,-9.277,-141.663,5.676
0.218,0.138,0.868,-1.221,-136.719,5.554
0.234,0.158,0.852,4.150,-129.944,3.174
0.236,0.165,0.827,4.272,-125.122,0.305
0.236,0.185,0.801,0.244,-122.803,-2.258
0.240,0.191,0.800,-10.803,-122.559,-4.333
0.217,0.183,0.838,-24.780,-123.901,-6.409
0.192,0.157,0.876,-34.485,-125.061,-8.545
0.157,0.068,0.883,-35.583,-125.305,-10.132
0.130,-0.080,0.957,-34.790,-125.732,-10.803
0.114,-0.247,1.021,-27.588,-125.916,-8.728
0.108,-0.321,1.015,-18.311,-123.230,-2.197
0.085,-0.203,1.000,-10.010,-121.399,8.179
0.056,0.058,1.035,-5.310,-122.803,17.456
0.035,0.304,1.107,-4.883,-124.573,19.958
0.033,0.483,1.168,-4.272,-124.939,16.846
0.019,0.551,1.226,-5.554,-124.146,10.193
0.020,0.500,1.299,-8.850,-122.620,1.282
0.018,0.379,1.415,-12.268,-119.812,-6.592
0.014,0.258,1.555,-16.174,-114.197,-12.268
0.010,0.119,1.614,-14.648,-104.004,-15.747
0.015,-0.064,1.507,-8.789,-89.966,-16.541
0.007,-0.228,1.297,-6.287,-77.942,-13.611
-0.022,-0.162,1.083,-5.005,-72.327,-5.798
