Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
0.698,0.234,0.211,95.032,30.823,-0.488
0.715,0.161,0.203,74.280,26.367,-2.869
0.714,0.074,0.142,38.086,23.804,-4.272
0.689,-0.020,0.076,7.141,19.897,-4.150
0.655,-0.064,-0.008,-13.855,13.672,-1.465
0.637,-0.028,-0.088,-19.531,6.104,3.296
0.614,0.052,-0.174,-11.475,-3.479,7.935
0.611,0.192,-0.245,-1.587,-14.526,10.925
0.632,0.308,-0.251,10.193,-28.503,11.047
0.616,0.389,-0.214,10.254,-41.809,8.118
0.589,0.442,-0.076,4.272,-54.016,3.052
0.557,0.386,0.035,3.967,-64.514,-2.991
0.516,0.257,0.094,2.869,-72.754,-8.057
0.478,0.164,0.120,5.127,-79.590,-10.071
0.446,0.145,0.143,9.766,-86.853,-8.789
0.406,0.172,0.221,11.963,-94.727,-6.653
0.380,0.216,0.350,15.381,-101.746,-5.371
0.400,0.255,0.400,28.687,-104.065,-5.005
0.395,0.251,0.325,42.053,-102.722,-6.470
0.363,0.232,0.254,40.710,-103.516,-9.827
0.325,0.225,0.272,29.358,-108.093,-13.245
0.294,0.210,0.381,15.198,-113.464,-16.724
0.262,0.169,0.534,2.441,-118.286,-20.325
0.250,0.085,0.622,-2.014,-118.713,-22.888
0.233,0.018,0.656,-6.531,-116.394,-22.705
0.185,0.036,0.644,-11.230,-114.441,-19.470
0.156,0.147,0.667,-8.545,-115.723,-14.648
0.113,0.240,0.723,-9.644,-120.300,-11.658
0.058,0.276,0.805,-14.893,-126.404,-11.536
0.009,0.289,0.953,-15.564,-133.545,-12.390
-0.006,0.298,1.203,-7.629,-141.113,-13.428
0.000,0.297,1.506,10.681,-145.752,-14.893
0.031,0.281,1.634,30.945,-136.902,-17.334
0.063,0.236,1.508,46.265,-117.676,-21.118
0.100,0.149,1.253,53.040,-100.098,-24.963
0.097,0.035,0.936,37.354,-87.097,-28.503
0.024,-0.005,0.726,2.930,-84.351,-29.785
-0.064,0.081,0.815,-30.823,-95.154,-27.832
-0.136,0.183,1.108,-49.438,-110.962,-25.635
-0.189,0.208,1.478,-49.011,-123.962,-25.024
-0.206,0.174,1.751,-26.917,-127.625,-24.170
-0.191,0.083,1.923,6.287,-121.887,-22.766
-0.146,-0.033,1.997,43.152,-109.253,-20.325
-0.087,-0.129,1.860,75.378,-89.233,-16.418
-0.035,-0.160,1.577,91.248,-68.176,-11.780
-0.006,-0.123,1.184,83.191,-50.354,-8.240
-0.006,-0.053,0.854,58.044,-43.335,-7.202
-0.031,0.023,0.689,21.912,-47.546,-8.789
-0.057,0.007,0.655,-12.695,-58.289,-12.512
-0.088,-0.104,0.748,-43.335,-69.885,-15.747
-0.099,-0.230,0.914,-49.011,-80.444,-14.893
-0.100,-0.297,1.053,-32.715,-86.853,-9.460
-0.102,-0.266,1.119,-11.230,-86.060,-1.526
-0.092,-0.181,1.104,8.911,-82.581,6.470
-0.091,-0.155,0.961,23.682,-77.515,11.475
-0.108,-0.144,0.744,22.888,-73.914,15.076
-0.149,-0.099,0.662,10.132,-78.735,18.311
-0.198,0.001,0.739,-1.770,-89.844,21.729
-0.240,0.128,0.865,-9.460,-99.304,24.048
-0.283,0.231,0.949,-10.254,-105.469,24.231
-0.315,0.250,1.036,-6.897,-110.046,21.606
-0.334,0.147,1.181,0.916,-114.563,17.456
-0.328,0.012,1.242,15.869,-113.770,15.381
-0.334,-0.052,1.315,25.024,-109.131,16.479
-0.334,-0.048,1.365,27.832,-103.455,19.226
-0.354,-0.004,1.321,25.208,-94.055,21.851
-0.358,0.118,1.253,18.494,-85.388,23.254
-0.370,0.292,1.246,7.507,-79.224,22.461
-0.385,0.444,1.265,-1.099,-74.158,17.822
-0.398,0.482,1.200,-4.517,-67.932,8.911
-0.410,0.411,1.074,-7.935,-61.096,-1.404
-0.412,0.252,0.907,-13.062,-55.908,-10.071
-0.425,0.055,0.775,-20.569,-55.664,-16.235
-0.476,-0.050,0.798,-28.931,-60.425,-17.395
-0.519,-0.040,0.903,-30.823,-67.200,-14.587
-0.559,0.008,1.011,-28.259,-71.228,-11.353
-0.588,0.004,1.079,-22.400,-73.303,-9.521
-0.584,-0.060,1.084,-14.404,-72.998,-8.667
-0.582,-0.134,1.076,-5.798,-71.960,-6.042
-0.585,-0.159,1.076,2.441,-70.923,-2.319
-0.586,-0.172,1.082,11.658,-69.702,2.563
-0.597,-0.146,1.106,17.883,-67.932,7.324
-0.605,-0.095,1.080,24.231,-65.125,11.353
-0.596,-0.075,0.994,26.733,-60.974,13.733
-0.592,-0.062,0.829,20.996,-56.824,15.137
-0.588,0.016,0.642,14.771,-56.396,16.663
-0.605,0.182,0.543,10.620,-61.890,17.517
-0.615,0.309,0.551,5.432,-71.838,14.465
-0.630,0.295,0.629,-1.099,-81.055,7.263
-0.635,0.149,0.741,-8.240,-87.219,-0.244
-0.634,-0.049,0.872,-12.268,-90.942,-4.395
-1.432,-0.054,4.000,-9.338,-90.637,-5.859
-0.792,-0.211,-1.031,62.195,72.693,-3.113
-0.757,-0.031,-0.863,58.594,102.356,-0.977
-0.646,0.228,3.136,-49.866,-62.317,12.512
-0.604,0.022,0.148,10.620,26.855,-1.404
