Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
0.575,-0.174,0.407,-58.350,-29.907,-9.216
0.567,-0.232,0.295,-71.960,-28.381,-4.700
0.565,-0.185,0.203,-77.087,-30.518,0.916
0.563,-0.126,0.129,-69.946,-36.316,7.080
0.568,-0.051,0.084,-59.448,-43.762,12.573
0.545,0.073,0.070,-44.983,-53.101,17.517
0.532,0.250,0.068,-28.076,-62.927,20.691
0.504,0.428,0.079,-14.282,-72.510,19.836
0.489,0.532,0.090,-6.287,-81.421,13.733
0.474,0.511,0.114,-4.822,-89.905,3.479
0.434,0.431,0.220,-13.916,-98.633,-6.775
0.395,0.339,0.351,-24.658,-106.506,-15.015
0.376,0.209,0.498,-35.400,-113.037,-21.606
0.348,0.066,0.615,-46.936,-115.601,-25.330
0.317,-0.045,0.668,-54.077,-115.295,-24.963
0.292,-0.109,0.646,-51.331,-113.586,-21.118
0.281,-0.107,0.595,-38.879,-113.159,-15.015
0.240,-0.046,0.558,-22.461,-115.234,-8.484
0.202,0.055,0.616,-12.390,-119.324,-4.395
0.192,0.146,0.711,-3.418,-123.657,-3.296
0.172,0.173,0.773,1.465,-125.366,-4.883
0.156,0.118,0.808,-1.038,-125.305,-8.301
0.145,0.036,0.797,-6.409,-124.756,-11.292
0.107,0.000,0.828,-15.320,-125.305,-11.292
0.068,0.018,0.862,-20.020,-126.831,-9.094
0.030,0.057,0.879,-23.804,-127.563,-7.019
-0.003,0.082,0.870,-27.283,-127.991,-6.042
-0.049,0.080,0.863,-26.917,-129.517,-6.042
-0.082,0.039,0.924,-28.748,-132.507,-6.409
-0.097,-0.015,1.078,-31.433,-137.024,-6.165
-0.091,-0.048,1.234,-30.212,-138.062,-4.456
-0.086,-0.030,1.402,-26.367,-136.047,-1.221
-0.097,0.013,1.482,-25.391,-127.808,1.831
-0.115,0.044,1.441,-26.184,-114.868,3.296
-0.135,0.070,1.357,-28.809,-102.966,3.723
-0.151,0.086,1.261,-30.945,-94.238,3.723
-0.161,0.030,1.153,-36.194,-88.013,3.296
-0.171,-0.054,1.052,-47.119,-84.900,4.211
-0.188,-0.090,0.987,-52.429,-85.815,9.155
-0.217,-0.057,1.003,-53.467,-90.149,16.785
-0.250,0.030,1.112,-54.626,-95.886,24.292
-0.274,0.120,1.261,-51.086,-99.609,30.212
-0.294,0.221,1.427,-49.438,-99.854,34.119
-0.286,0.317,1.545,-39.917,-95.520,35.767
-0.278,0.374,1.584,-24.109,-85.388,34.424
-0.251,0.380,1.551,-9.705,-72.632,30.457
-0.242,0.341,1.408,-1.221,-59.265,24.902
-0.223,0.242,1.160,2.136,-47.913,19.714
-0.212,0.138,0.914,-1.343,-40.649,16.174
-0.219,0.080,0.693,-3.601,-41.260,16.174
-0.238,0.099,0.512,-6.897,-46.570,18.616
-0.274,0.173,0.431,-10.071,-58.105,21.301
-0.308,0.226,0.407,-8.667,-73.364,22.095
-0.351,0.196,0.468,-11.292,-87.830,20.447
-0.388,0.091,0.568,-14.954,-101.257,18.433
-0.416,-0.050,0.755,-19.592,-112.610,18.250
-0.454,-0.124,1.081,-21.973,-122.314,22.156
-0.482,-0.091,1.415,-17.334,-124.939,30.518
-0.484,0.022,1.615,-3.967,-117.554,40.039
-0.498,0.194,1.685,7.080,-103.455,47.668
-0.478,0.346,1.539,22.156,-84.290,50.598
-0.470,0.429,1.301,35.278,-67.932,47.424
-0.480,0.478,1.086,43.518,-58.960,41.565
-0.471,0.461,0.865,63.354,-55.542,33.875
-0.478,0.417,0.770,78.369,-58.655,25.879
-0.505,0.352,0.803,77.148,-66.589,17.822
-0.507,0.257,0.837,77.698,-72.632,11.047
-0.507,0.195,0.970,66.467,-78.003,6.287
-0.511,0.169,1.136,51.086,-80.994,3.296
-0.534,0.147,1.214,46.204,-77.759,1.404
-0.546,0.074,1.144,54.260,-69.702,-0.793
-0.576,-0.047,0.952,69.702,-62.439,-2.014
-0.583,-0.105,0.796,78.003,-60.303,-0.183
-0.593,-0.091,0.835,73.547,-66.040,3.418
-0.607,0.001,0.988,66.956,-73.120,7.629
-0.606,0.121,1.126,62.134,-76.050,9.827
-0.604,0.225,1.208,53.345,-73.792,8.850
-0.595,0.261,1.159,42.725,-66.223,4.028
-0.595,0.227,1.041,31.494,-58.533,-2.319
-0.591,0.173,0.951,20.386,-54.443,-8.301
-0.595,0.115,0.914,15.076,-53.650,-12.939
-0.584,0.079,0.862,16.052,-52.734,-15.869
-0.591,-0.016,0.832,13.977,-52.185,-17.822
-0.531,-0.144,3.866,10.071,-61.157,-17.517
-0.657,0.069,-0.645,33.813,86.792,2.136
-0.749,-0.297,0.661,20.691,39.063,-5.493
-0.601,0.001,1.438,-3.845,-21.545,-0.061
-0.598,-0.023,0.413,-5.432,27.527,-4.395
-0.560,0.018,1.003,-4.395,9.705,-4.761
-0.544,0.003,0.757,-6.714,10.925,-4.211
-0.548,0.003,0.858,-5.981,13.489,-4.333
-0.546,-0.005,0.818,-8.118,12.939,-4.272
-0.544,-0.009,0.833,-13.916,13.428,-4.517
-0.543,0.001,0.836,-21.423,12.634,-5.066
-0.541,0.016,0.840,-27.283,11.475,-5.920
-0.542,0.041,0.848,-30.029,10.315,-6.104
-0.535,0.054,0.853,-26.733,9.216,-5.859
-0.535,0.038,0.841,-20.020,8.789,-5.188
-0.535,0.031,0.847,-19.531,8.423,-4.456
-0.538,0.064,0.867,-23.804,8.728,-3.601
-0.539,0.069,0.855,-21.362,10.071,-3.113
-0.535,0.070,0.844,-13.550,9.277,-2.686
-0.534,0.065,0.844,-5.066,8.179,-2.197
-0.531,0.058,0.845,1.953,6.897,-1.892
-0.534,0.052,0.845,5.798,5.920,-1.892
-0.532,0.046,0.839,7.446,5.493,-1.648
-0.530,0.044,0.836,7.568,5.615,-1.648
