Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
0.203,-0.243,0.846,-7.385,-76.904,-6.348
0.200,-0.151,0.686,-1.404,-76.172,-0.793
0.185,0.023,0.595,1.099,-79.773,3.784
0.147,0.151,0.645,4.761,-87.036,5.188
0.109,0.225,0.673,7.385,-93.323,2.930
0.068,0.228,0.692,7.507,-98.511,-1.099
0.039,0.115,0.745,3.662,-103.760,-5.493
0.014,-0.074,0.919,-4.089,-108.704,-8.728
-0.005,-0.113,1.096,-9.644,-111.084,-7.446
-0.011,-0.079,1.208,-10.864,-108.887,-4.578
-0.008,-0.054,1.234,-9.705,-103.394,-2.930
-0.031,-0.006,1.208,-5.005,-97.107,-0.793
-0.038,0.043,1.057,0.122,-90.820,0.000
-0.052,0.036,0.920,0.549,-87.463,-0.916
-0.074,0.043,0.837,-3.235,-87.830,-1.953
-0.093,0.014,0.800,-10.742,-89.600,-3.296
-0.123,-0.007,0.836,-19.409,-92.407,-4.272
-0.163,-0.029,0.819,-21.912,-94.116,-4.395
-0.178,-0.119,0.766,-20.325,-95.764,-4.089
-0.219,-0.125,0.855,-15.198,-100.281,-1.526
-0.241,-0.032,0.998,-8.301,-104.736,2.869
-0.255,0.055,1.129,-4.578,-106.262,5.188
-0.263,0.089,1.292,-5.554,-105.286,5.310
-0.275,0.128,1.420,-6.653,-101.379,4.028
-0.293,0.198,1.397,-6.775,-92.468,2.197
-0.304,0.222,1.271,-8.972,-82.764,-1.526
-0.314,0.134,1.176,-14.648,-76.294,-6.287
-0.314,-0.003,1.114,-19.775,-72.632,-9.888
-0.315,-0.071,1.079,-18.005,-70.496,-9.399
-0.300,-0.078,1.032,-11.169,-69.519,-6.470
-0.296,-0.091,1.037,-5.615,-69.946,-3.784
-0.299,-0.064,1.061,-1.770,-70.496,-0.916
-0.313,0.001,1.062,1.404,-70.435,1.892
-0.331,0.016,1.109,0.977,-70.129,2.686
-0.352,0.009,1.197,-0.977,-69.092,2.502
-0.367,0.003,1.204,0.000,-65.369,2.319
-0.380,-0.035,1.143,0.000,-60.181,1.770
-0.384,-0.085,1.079,-2.197,-56.580,1.953
-0.383,-0.094,1.008,-3.296,-54.932,3.845
-0.387,-0.024,1.014,-2.380,-55.603,6.897
-0.394,0.077,1.047,0.916,-56.946,8.972
-0.388,0.089,1.080,1.404,-57.678,8.911
-0.402,0.076,1.172,-1.953,-58.105,8.057
-0.412,0.115,1.216,-5.005,-56.641,7.751
-0.428,0.144,1.238,-6.226,-53.528,6.897
-0.445,0.155,1.299,-5.249,-49.988,5.127
-0.456,0.117,1.269,-3.174,-44.861,2.747
-0.466,0.051,1.188,-2.319,-39.063,0.793
-0.475,0.029,1.134,-0.488,-35.583,0.732
-0.472,0.059,1.145,1.770,-34.119,1.709
-0.463,0.066,1.179,3.784,-32.471,1.953
-0.454,0.052,1.144,4.211,-29.663,1.831
-0.444,0.024,1.097,4.761,-26.733,1.526
-0.442,-0.010,1.040,5.676,-24.658,1.770
-0.443,-0.086,0.974,5.493,-23.315,2.441
-0.458,-0.083,0.953,7.324,-23.193,5.310
-0.474,0.002,0.937,11.108,-24.109,8.911
-0.491,0.097,0.891,16.785,-25.085,10.803
-0.490,0.168,0.853,17.517,-27.039,10.864
-0.484,0.162,0.952,14.160,-30.457,9.216
-0.474,0.164,1.037,12.634,-32.043,7.446
-0.456,0.132,1.059,11.047,-30.701,5.615
-0.602,0.570,4.000,25.208,-29.114,1.770
-0.533,-0.017,-0.456,50.354,73.242,-2.502
-0.510,0.098,1.720,34.058,32.837,-0.305
-0.484,-0.032,0.756,47.607,12.268,-1.404
-0.492,0.003,0.874,36.987,31.982,-0.916
-0.443,-0.034,0.875,31.372,27.710,-1.221
-0.422,-0.014,0.912,27.466,26.978,-2.197
-0.410,-0.022,0.902,22.400,24.780,-3.296
-0.397,-0.020,0.902,17.700,22.766,-3.906
-0.394,-0.017,0.900,11.841,21.301,-4.150
-0.391,-0.016,0.913,7.568,20.752,-4.395
-0.387,-0.002,0.922,3.723,20.020,-4.700
-0.385,-0.003,0.926,3.723,19.348,-5.066
-0.383,-0.018,0.919,5.188,18.677,-5.249
-0.390,-0.007,0.925,2.258,17.517,-5.432
-0.389,-0.001,0.925,1.404,16.052,-5.676
-0.385,-0.010,0.919,2.563,14.893,-5.676
-0.381,-0.000,0.932,2.502,13.672,-5.371
-0.380,-0.001,0.930,2.380,12.451,-5.005
-0.377,-0.010,0.922,2.197,11.353,-4.700
-0.378,-0.011,0.919,0.610,9.949,-4.517
-0.375,0.002,0.937,-1.160,8.301,-4.395
-0.376,0.005,0.931,-0.305,6.592,-4.272
-0.376,0.000,0.927,2.747,5.188,-3.906
-0.374,-0.003,0.923,4.883,4.272,-3.723
-0.369,-0.003,0.930,6.165,3.906,-3.540
-0.367,-0.009,0.923,7.751,3.357,-3.662
-0.370,0.002,0.940,7.202,2.319,-3.601
-0.382,-0.005,0.926,7.446,0.793,-3.357
-0.379,-0.013,0.926,9.644,-0.488,-3.052
-0.376,-0.035,0.918,8.118,-1.648,-2.808
-0.376,-0.022,0.929,0.793,-3.845,-2.869
-0.384,-0.013,0.927,-5.066,-6.714,-2.441
-0.381,-0.012,0.926,-8.118,-9.338,-2.014
-0.384,-0.019,0.924,-11.047,-11.169,-1.526
-0.403,-0.004,0.934,-15.625,-13.123,-1.465
-0.408,0.006,0.925,-16.968,-15.381,-1.404
-0.415,0.016,0.927,-14.587,-17.273,-0.671
-0.424,0.003,0.910,-13.245,-18.677,0.122
-0.444,0.018,0.908,-15.015,-20.020,0.244
-0.465,0.048,0.953,-18.372,-21.790,-0.366
-0.506,0.046,0.963,-17.761,-24.658,-2.136
-0.529,0.152,1.127,-24.719,-27.527,-4.517
-0.560,-0.193,1.828,-41.870,-27.893,-9.705
-0.576,-0.559,2.362,-41.382,-18.005,-8.484
-0.607,-0.631,2.536,-32.959,14.343,2.686
-0.654,-0.464,2.392,-13.184,48.218,18.127
-0.687,-0.113,1.990,6.958,77.881,30.701
-0.684,0.249,1.547,21.973,97.290,35.767
-0.651,0.455,1.137,26.978,106.079,32.104
-0.584,0.499,0.760,21.545,105.408,22.644
-0.528,0.486,0.570,9.766,95.703,11.536
-0.485,0.349,0.655,-9.705,79.041,0.610
-0.446,0.058,0.882,-25.391,64.697,-7.996
-0.428,-0.206,1.109,-30.334,56.396,-10.742
-0.404,-0.336,1.297,-22.827,54.016,-6.592
-0.430,-0.413,1.452,-11.292,56.030,0.183
Done. Type '시작' to run again.
