Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
0.163,-0.351,0.015,9.094,189.819,2.441
0.244,-0.316,-0.106,10.559,176.453,9.094
0.300,-0.168,-0.164,12.939,161.072,16.174
0.345,-0.011,-0.182,15.198,145.752,20.630
0.376,0.077,-0.127,15.686,131.470,20.813
0.403,0.140,-0.073,16.174,119.202,18.799
0.439,0.105,-0.086,17.822,109.558,15.076
0.471,0.014,-0.126,16.846,100.647,11.597
0.513,-0.049,-0.157,14.465,91.064,10.376
0.537,-0.073,-0.187,11.536,80.627,10.864
0.578,-0.021,-0.255,8.484,70.435,12.329
0.604,0.008,-0.337,3.723,59.814,12.695
0.622,-0.012,-0.320,-2.747,45.532,12.085
0.630,-0.029,-0.149,-8.911,29.663,11.963
0.620,0.000,0.081,-11.719,17.456,12.817
0.613,0.078,0.223,-8.423,11.292,13.916
0.590,0.172,0.214,-3.967,11.169,13.733
0.590,0.227,0.104,2.258,10.925,11.230
0.589,0.215,0.050,4.639,7.324,6.409
0.589,0.213,0.104,2.014,0.854,1.526
0.604,0.177,0.137,-0.427,-4.150,-2.930
0.601,0.074,0.108,-3.479,-7.874,-6.897
0.596,0.017,0.051,-5.798,-12.634,-9.216
0.587,0.020,0.013,-6.042,-19.104,-9.827
0.578,0.017,0.031,-6.958,-26.978,-10.315
0.568,-0.010,0.086,-7.751,-35.156,-11.353
0.565,-0.051,0.166,-6.287,-42.114,-11.414
0.569,-0.094,0.229,-2.563,-47.852,-10.193
0.577,-0.113,0.249,0.305,-52.063,-7.874
0.565,-0.060,0.246,1.770,-56.335,-5.066
0.538,0.084,0.240,1.221,-61.279,-3.296
0.520,0.187,0.272,0.549,-67.322,-4.150
0.503,0.208,0.435,-6.165,-74.402,-8.179
0.485,0.176,0.627,-9.583,-79.895,-13.611
0.496,0.052,0.716,-11.658,-78.918,-18.860
0.490,-0.125,0.728,-9.033,-75.378,-22.095
0.504,-0.217,0.618,-3.723,-71.106,-20.813
0.511,-0.216,0.521,0.061,-69.458,-16.846
0.505,-0.205,0.424,-0.671,-70.435,-13.123
0.497,-0.183,0.347,-4.700,-73.364,-10.315
0.480,-0.194,0.355,-11.597,-79.285,-8.301
0.455,-0.217,0.522,-21.545,-86.487,-6.409
0.428,-0.154,0.709,-27.344,-91.003,-3.967
0.401,-0.053,0.842,-22.888,-91.431,-1.648
0.388,0.066,0.920,-13.672,-87.524,-0.977
0.382,0.126,0.950,-5.554,-82.458,-3.113
0.391,0.110,0.953,-0.549,-76.477,-6.775
0.392,0.041,0.904,1.526,-70.679,-11.292
0.390,-0.035,0.814,-0.366,-65.918,-14.404
0.395,-0.145,0.695,-7.324,-63.843,-16.235
0.384,-0.252,0.631,-17.090,-65.369,-15.625
0.374,-0.260,0.650,-22.034,-69.275,-12.024
0.345,-0.259,0.739,-22.339,-73.364,-7.568
0.329,-0.264,0.836,-18.433,-75.317,-3.967
0.320,-0.244,0.853,-10.437,-74.768,0.366
0.306,-0.203,0.804,-5.615,-72.998,4.395
0.290,-0.047,0.764,-3.052,-72.449,7.874
0.286,0.104,0.752,-3.540,-73.486,8.057
0.273,0.129,0.790,-8.240,-75.439,4.395
0.265,0.082,0.900,-14.526,-77.393,-0.244
0.252,0.061,1.025,-17.456,-78.552,-3.113
