Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-2.090,0.245,1.318,255.615,-276.489,-126.282
-2.007,0.120,1.352,263.916,-237.183,-140.381
-1.909,0.033,1.408,246.582,-193.665,-151.550
-1.813,-0.024,1.437,206.848,-149.536,-158.997
-1.711,-0.135,1.484,191.895,-108.337,-165.222
-1.593,-0.299,1.522,164.673,-67.566,-169.128
-1.490,-0.478,1.637,126.343,-25.940,-169.189
-1.405,-0.697,1.690,100.708,18.250,-164.062
-1.381,-0.835,1.692,74.158,66.162,-153.564
-1.427,-0.816,1.635,47.180,114.990,-138.428
-1.540,-0.645,1.529,22.644,161.865,-123.840
-1.692,-0.478,1.380,-2.502,205.078,-114.197
-1.810,-0.349,1.219,-27.710,244.080,-110.168
-1.915,-0.328,0.977,-34.851,279.358,-111.877
-1.978,-0.405,0.723,-37.659,308.716,-116.638
-2.050,-0.504,0.466,-37.720,331.238,-120.789
-2.110,-0.554,0.224,-52.368,346.985,-123.535
-2.158,-0.629,0.049,-74.646,355.164,-125.427
-2.112,-0.747,-0.110,-77.271,360.657,-124.878
-2.023,-0.867,-0.234,-80.872,362.976,-121.582
-1.971,-0.985,-0.351,-78.552,361.572,-115.417
-1.901,-1.093,-0.479,-58.594,356.384,-105.530
-1.826,-1.208,-0.613,-28.381,346.741,-90.881
-1.741,-1.308,-0.710,-5.676,332.581,-70.435
-1.683,-1.399,-0.773,3.418,316.101,-44.678
-1.617,-1.474,-0.854,9.399,300.171,-13.367
-1.523,-1.496,-1.020,16.235,286.682,22.034
-1.443,-1.452,-1.223,38.818,271.118,59.937
-1.390,-1.351,-1.465,54.321,250.488,97.595
-1.357,-1.190,-1.583,49.072,220.581,133.850
-1.371,-1.037,-1.708,26.428,183.167,166.931
-1.359,-0.809,-1.669,6.287,137.573,199.097
-1.382,-0.612,-1.711,2.502,98.328,223.938
-1.397,-0.387,-1.666,3.174,56.030,243.469
-1.433,-0.211,-1.589,-5.310,16.113,257.202
-1.469,0.001,-1.516,-16.479,-18.127,265.137
-1.494,0.203,-1.487,-10.620,-48.279,267.822
-1.511,0.382,-1.470,12.024,-77.393,262.329
-1.509,0.509,-1.444,32.715,-107.849,250.183
-1.614,0.598,-1.345,54.077,-139.832,233.948
-1.730,0.621,-1.272,69.580,-170.288,215.820
-1.809,0.649,-1.183,77.698,-199.890,199.951
-1.871,0.635,-1.155,103.699,-227.966,183.472
-1.955,0.630,-1.012,107.056,-257.019,166.260
-1.992,0.611,-0.772,91.431,-284.973,149.963
-2.004,0.533,-0.582,93.506,-302.979,133.057
-2.022,0.458,-0.351,86.060,-315.369,117.859
-1.992,0.395,-0.146,70.984,-319.336,105.286
-1.941,0.318,-0.007,72.144,-314.453,94.666
-1.904,0.256,0.108,80.444,-305.054,84.961
-1.844,0.243,0.169,86.792,-292.053,76.660
-1.825,0.272,0.234,105.896,-278.687,68.054
-1.827,0.319,0.316,124.878,-266.174,58.167
-1.785,0.334,0.370,149.963,-253.174,45.227
-1.777,0.321,0.440,173.035,-238.342,29.846
-1.750,0.260,0.522,191.650,-225.037,13.611
-1.698,0.146,0.590,219.727,-210.205,-2.441
-1.642,0.030,0.654,239.746,-193.115,-15.869
-1.559,-0.068,0.735,244.568,-172.485,-26.550
-1.463,-0.162,0.768,239.685,-148.743,-33.081
-1.362,-0.205,0.828,209.412,-121.155,-35.156
-1.215,-0.170,0.867,174.805,-91.003,-33.386
-1.129,-0.040,0.873,167.786,-58.899,-30.090
-1.060,0.142,0.829,166.443,-25.757,-29.175
-1.034,0.315,0.727,170.593,6.897,-32.043
-1.056,0.493,0.566,172.363,38.513,-39.063
-1.124,0.637,0.403,158.997,66.284,-51.270
-1.216,0.737,0.279,125.000,87.402,-69.641
-1.294,0.738,0.166,85.022,102.844,-93.140
-1.365,0.624,0.129,28.076,113.098,-120.239
-1.429,0.385,0.132,-19.653,119.629,-147.461
-1.478,0.130,0.213,-61.340,123.291,-170.349
-1.532,-0.084,0.370,-99.792,126.282,-187.866
-1.579,-0.304,0.400,-129.517,130.493,-200.012
-1.638,-0.445,0.526,-195.557,132.507,-207.458
-1.630,-0.565,0.631,-269.836,133.789,-210.632
-1.683,-0.611,0.817,-316.711,138.000,-210.937
-1.694,-0.664,0.913,-267.822,150.146,-210.510
-1.695,-0.744,0.927,-217.102,168.152,-208.496
-1.668,-0.802,0.942,-199.707,188.721,-205.505
-1.682,-0.931,0.934,-192.627,208.374,-204.407
-1.737,-1.031,0.951,-203.003,226.746,-202.515
-1.787,-1.150,0.929,-197.998,245.056,-199.158
-1.840,-1.279,0.847,-170.715,264.343,-192.505
-1.888,-1.395,0.699,-136.047,284.607,-180.176
-1.897,-1.477,0.510,-99.121,303.467,-161.316
-1.886,-1.512,0.305,-65.674,318.970,-136.719
-1.895,-1.507,0.063,-31.616,331.055,-107.971
-1.892,-1.523,-0.148,-6.165,339.722,-74.524
-1.830,-1.505,-0.348,3.479,346.680,-38.818
-1.789,-1.482,-0.612,33.142,350.769,-4.761
-1.772,-1.458,-0.950,80.750,349.121,29.297
-1.728,-1.421,-1.249,112.671,340.210,65.735
-1.686,-1.276,-1.535,115.540,327.271,101.501
-1.661,-1.150,-1.884,136.841,302.490,131.958
-1.614,-0.963,-2.120,196.045,258.301,161.377
-1.523,-0.780,-2.498,269.775,207.703,188.904
-1.460,-0.565,-2.720,308.167,141.113,212.463
-1.514,-0.335,-2.770,261.047,61.646,230.652
-1.577,-0.025,-2.543,174.622,-18.005,242.493
-1.636,0.107,-2.267,106.445,-91.003,243.774
-1.750,0.301,-1.812,32.715,-152.283,240.356
-1.813,0.463,-1.400,-28.076,-198.853,236.755
-1.882,0.612,-0.991,-45.410,-231.934,229.126
-1.913,0.704,-0.704,-27.649,-251.831,217.529
-1.880,0.770,-0.507,7.690,-261.292,201.965
-1.837,0.803,-0.405,34.790,-264.465,183.411
-1.824,0.813,-0.296,58.411,-267.029,162.964
-1.828,0.785,-0.229,89.539,-269.165,141.907
-1.854,0.764,-0.136,113.403,-271.057,121.094
-1.885,0.783,-0.000,119.629,-272.034,100.952
-1.893,0.827,0.112,131.775,-269.897,80.627
-1.909,0.851,0.200,152.954,-265.686,58.533
-1.886,0.865,0.298,165.527,-260.376,35.706
-1.861,0.852,0.384,173.889,-254.517,12.024
-1.878,0.821,0.483,175.232,-246.704,-11.292
-1.862,0.769,0.608,184.143,-239.563,-33.508
-1.827,0.707,0.736,209.351,-228.271,-54.810
-1.775,0.628,0.837,242.920,-212.708,-75.867
Done. Type '시작' to run again.
