Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-1.882,0.408,-1.219,-65.674,-233.337,254.761
-2.013,0.484,-1.007,-120.178,-263.977,250.916
-2.100,0.548,-0.779,-155.579,-287.231,246.826
-2.164,0.590,-0.607,-157.410,-301.453,240.967
-2.206,0.641,-0.417,-141.357,-308.838,232.544
-2.153,0.715,-0.249,-108.948,-307.922,220.581
-2.032,0.749,-0.156,-36.926,-300.598,202.148
-1.878,0.754,-0.119,36.072,-290.894,177.246
-1.780,0.736,-0.038,79.590,-284.363,148.315
-1.740,0.676,0.049,101.318,-278.076,118.286
-1.700,0.597,0.132,110.596,-270.020,90.271
-1.683,0.501,0.187,115.234,-259.949,65.430
-1.657,0.435,0.249,112.976,-248.596,44.678
-1.625,0.384,0.306,117.188,-235.901,26.855
-1.572,0.319,0.319,143.372,-222.412,8.972
-1.543,0.242,0.340,177.734,-210.205,-8.728
-1.514,0.130,0.345,209.412,-199.280,-25.635
-1.491,0.056,0.392,218.140,-187.317,-39.795
-1.441,-0.006,0.421,224.854,-174.072,-51.331
-1.368,-0.092,0.433,235.657,-159.485,-60.791
-1.321,-0.111,0.528,212.036,-142.334,-67.078
-1.253,-0.065,0.650,180.725,-123.047,-68.970
-1.172,0.011,0.698,188.293,-97.839,-70.007
-1.105,0.114,0.688,201.050,-65.796,-72.632
-1.086,0.242,0.681,185.547,-35.950,-78.308
-1.131,0.408,0.693,139.160,-7.385,-88.562
-1.201,0.544,0.672,91.675,20.874,-105.103
-1.282,0.602,0.638,51.208,46.997,-128.052
-1.398,0.567,0.604,13.306,68.542,-155.884
-1.474,0.453,0.545,-33.325,85.327,-185.730
-1.579,0.286,0.527,-98.938,96.130,-215.332
-1.674,0.089,0.544,-150.574,102.966,-242.432
-1.765,-0.055,0.594,-186.218,109.436,-266.541
-1.862,-0.259,0.643,-177.795,117.249,-288.269
-1.938,-0.482,0.771,-153.748,130.432,-304.565
-1.953,-0.694,0.845,-122.986,151.062,-312.805
-2.006,-0.919,0.895,-90.942,175.293,-315.552
-2.029,-1.095,0.826,-64.331,203.857,-311.401
-2.016,-1.209,0.702,-49.927,234.619,-302.551
-2.034,-1.311,0.556,-24.902,261.475,-290.527
-2.048,-1.399,0.380,9.460,285.889,-273.315
-2.084,-1.421,0.201,31.372,307.129,-250.183
-2.098,-1.399,0.035,37.170,323.608,-221.558
-2.118,-1.361,-0.107,26.123,334.900,-190.186
-2.066,-1.302,-0.190,-4.211,340.515,-158.447
-2.055,-1.288,-0.272,-38.940,342.102,-129.211
-1.975,-1.296,-0.310,-58.655,342.102,-100.403
-2.008,-1.354,-0.438,-56.396,343.018,-70.007
-1.843,-1.266,-0.451,-73.425,342.773,-37.354
-1.865,-1.276,-0.641,-33.691,340.332,-6.470
-1.797,-1.247,-0.862,38.879,333.618,28.687
-1.794,-1.170,-1.113,80.994,319.275,70.740
-1.569,-0.933,-1.119,52.429,296.265,113.159
-1.552,-0.822,-1.361,104.065,272.949,147.095
-1.494,-0.661,-1.452,93.689,241.760,178.650
-1.488,-0.502,-1.410,56.580,201.965,204.468
-1.456,-0.374,-1.415,74.707,160.522,222.839
-1.401,-0.264,-1.437,99.121,122.864,236.816
-1.379,-0.150,-1.405,89.294,81.055,246.582
-1.381,-0.027,-1.324,64.148,40.100,252.502
-1.393,0.082,-1.225,51.880,2.808,255.005
-1.417,0.160,-1.145,56.641,-30.273,253.845
-1.430,0.234,-1.072,66.650,-59.875,249.268
-1.432,0.278,-1.035,80.933,-86.365,242.432
