Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-1.634,0.232,1.162,155.151,-125.183,-131.165
-1.598,0.126,1.139,161.621,-88.684,-138.306
-1.559,-0.078,1.031,153.198,-55.237,-145.203
-1.510,-0.223,1.089,102.478,-26.306,-147.705
-1.479,-0.380,1.165,63.171,1.709,-146.118
-1.440,-0.496,1.220,38.696,32.715,-141.235
-1.423,-0.576,1.244,29.419,66.406,-133.850
-1.470,-0.605,1.264,23.254,99.121,-125.305
-1.543,-0.560,1.287,9.521,129.944,-115.906
-1.674,-0.440,1.321,-10.681,160.339,-107.788
-1.795,-0.312,1.328,-26.367,192.444,-102.783
-1.856,-0.235,1.284,-31.128,226.624,-101.868
-1.938,-0.270,1.171,-22.339,261.169,-105.286
-1.970,-0.411,0.971,-13.916,295.593,-109.924
-2.019,-0.541,0.693,-15.320,327.209,-112.793
-2.068,-0.680,0.401,-31.677,350.647,-114.624
-2.092,-0.811,0.156,-28.625,366.272,-113.525
-2.092,-0.834,-0.056,-32.349,375.183,-109.375
-2.064,-0.914,-0.212,-27.771,378.113,-102.966
-2.010,-1.026,-0.348,-14.282,376.404,-91.980
-1.946,-1.120,-0.439,-14.709,373.230,-75.439
-1.877,-1.255,-0.575,-10.986,371.704,-54.443
-1.756,-1.358,-0.870,12.390,375.488,-28.381
-1.719,-1.423,-1.298,89.417,379.272,0.488
-1.699,-1.477,-2.047,182.068,380.493,33.142
-1.647,-1.406,-2.487,240.295,347.900,74.524
-1.502,-1.262,-2.907,247.070,295.593,122.070
-1.470,-1.000,-3.179,261.841,229.858,165.527
-1.470,-0.635,-3.229,262.817,146.973,202.820
-1.597,-0.213,-3.202,268.372,54.016,231.750
-1.715,0.079,-3.039,276.733,-39.795,246.460
-1.850,0.337,-2.775,218.933,-130.005,247.681
-2.016,0.506,-2.471,154.663,-213.684,244.019
-2.223,0.621,-2.065,72.571,-288.940,236.267
-2.469,0.715,-1.605,-21.423,-347.595,230.408
-2.589,0.881,-1.198,-84.473,-388.489,228.577
-2.684,1.102,-0.784,-103.210,-414.856,225.281
-2.724,1.393,-0.372,-107.666,-429.077,217.102
-2.720,1.645,0.081,-79.346,-434.631,200.012
-2.718,1.740,0.217,-14.648,-426.147,171.631
-2.643,1.829,0.499,-0.549,-417.175,135.742
-2.524,1.846,0.761,18.677,-407.288,96.313
-2.405,1.744,0.970,71.045,-389.648,51.819
-2.266,1.538,1.108,122.803,-362.854,6.592
-2.125,1.261,1.193,163.513,-329.468,-35.034
-2.055,0.906,1.167,210.083,-293.335,-71.228
-1.950,0.577,1.087,233.459,-255.005,-97.900
-1.857,0.283,0.925,242.493,-217.407,-114.868
-1.807,0.112,0.828,224.060,-183.838,-123.535
-1.759,0.006,0.771,203.796,-154.785,-126.160
-1.684,-0.044,0.762,187.683,-128.479,-126.465
-1.603,-0.082,0.760,177.185,-103.760,-125.916
-1.458,-0.120,0.763,170.959,-78.857,-124.878
-1.327,-0.147,0.763,170.776,-52.612,-122.498
-1.199,-0.161,0.731,171.021,-24.353,-118.042
-1.107,-0.143,0.683,155.334,4.944,-112.732
-1.096,-0.109,0.633,124.329,33.875,-108.032
-1.105,-0.094,0.562,90.149,60.425,-105.164
-1.123,-0.110,0.492,61.584,83.435,-104.919
-1.166,-0.152,0.453,36.133,101.929,-106.384
-1.231,-0.188,0.414,13.062,117.615,-108.459
-1.338,-0.180,0.410,-18.738,130.371,-110.840
-1.421,-0.178,0.416,-62.378,140.747,-115.662
-1.523,-0.181,0.433,-127.747,147.949,-124.146
-1.648,-0.252,0.505,-204.163,151.917,-135.498
-1.691,-0.344,0.626,-237.061,155.823,-146.301
-1.760,-0.529,0.677,-229.126,164.307,-153.809
-1.721,-0.726,0.706,-214.294,179.749,-156.982
-1.693,-0.990,0.649,-179.321,198.425,-153.076
-1.658,-1.179,0.778,-175.293,218.323,-140.015
-1.656,-1.301,0.768,-129.761,244.446,-119.141
-1.661,-1.303,0.617,-91.675,274.414,-91.980
-1.674,-1.157,0.343,-73.242,304.321,-63.538
-1.720,-1.014,0.023,-53.711,326.843,-41.504
-1.744,-0.880,-0.253,-49.683,338.013,-25.879
-1.739,-0.801,-0.477,-48.889,336.121,-15.503
-1.725,-0.783,-0.580,-59.570,323.364,-7.812
-1.702,-0.818,-0.586,-68.359,303.345,0.793
-1.653,-0.878,-0.526,-71.899,282.654,13.123
-1.579,-0.912,-0.469,-67.688,265.869,30.701
-1.513,-0.895,-0.471,-53.406,253.479,52.917
-1.459,-0.807,-0.521,-46.997,244.934,77.209
-1.402,-0.679,-0.571,-56.580,238.403,98.938
-1.338,-0.562,-0.686,-55.420,233.276,115.417
-1.311,-0.471,-0.823,-31.860,227.661,126.343
-1.287,-0.410,-0.998,7.996,220.093,135.071
-1.262,-0.421,-1.214,63.660,207.947,143.799
-1.194,-0.401,-1.380,97.290,188.721,154.724
-1.166,-0.350,-1.594,119.934,164.368,165.833
-1.183,-0.271,-1.753,142.456,130.005,176.636
-1.232,-0.168,-1.871,154.785,87.280,186.890
-1.283,-0.031,-1.948,143.250,33.813,195.068
-1.336,0.124,-1.949,112.488,-17.822,199.646
-1.419,0.286,-1.853,65.796,-71.716,199.524
-1.537,0.415,-1.677,28.259,-122.437,194.336
-1.668,0.509,-1.463,5.493,-166.077,185.791
-1.721,0.563,-1.312,16.479,-202.576,174.744
-1.782,0.566,-1.182,54.321,-233.826,160.034
-1.836,0.536,-1.016,83.313,-262.329,143.250
-1.890,0.490,-0.824,107.178,-287.048,126.221
-1.896,0.419,-0.690,127.258,-305.908,110.107
-1.890,0.371,-0.533,130.554,-321.411,96.558
-1.958,0.399,-0.281,103.943,-334.595,87.708
-2.001,0.492,-0.022,68.909,-339.111,80.872
-1.977,0.596,0.163,48.096,-333.801,72.754
-2.008,0.708,0.330,39.124,-323.120,61.584
-1.959,0.785,0.463,45.959,-308.777,47.363
-1.915,0.794,0.503,82.031,-289.734,29.114
-1.878,0.751,0.549,121.094,-270.569,7.812
-1.851,0.660,0.560,158.997,-251.770,-13.611
-1.806,0.587,0.561,192.505,-232.849,-34.668
-1.790,0.542,0.610,205.688,-215.881,-54.993
-1.768,0.488,0.710,209.534,-199.707,-75.439
-1.758,0.407,0.822,217.041,-180.847,-95.276
-1.712,0.299,0.868,229.980,-159.180,-114.014
-1.671,0.161,0.950,229.553,-135.925,-130.310
-1.602,0.048,1.125,188.965,-110.168,-142.578
-1.529,-0.084,1.297,136.047,-79.834,-148.743
-1.454,-0.200,1.413,107.666,-42.297,-149.414
Done. Type '시작' to run again.
