Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-1.557,-1.047,-1.786,161.072,133.301,250.732
-1.611,-0.825,-1.804,158.203,86.853,281.433
-1.698,-0.572,-1.763,126.343,41.443,305.847
-1.785,-0.327,-1.671,84.229,-1.160,322.876
-1.866,-0.155,-1.587,59.631,-37.903,331.360
-1.923,-0.009,-1.530,68.237,-72.632,334.595
-1.998,0.082,-1.485,92.407,-105.835,330.505
-2.041,0.151,-1.410,114.197,-139.526,325.256
-2.106,0.226,-1.252,118.042,-173.889,318.542
-2.150,0.358,-1.016,98.389,-205.078,311.646
-2.156,0.538,-0.740,75.684,-227.661,303.040
-2.129,0.634,-0.536,98.999,-239.624,288.696
-2.072,0.771,-0.386,133.484,-244.019,270.752
-1.993,0.939,-0.306,167.603,-244.141,249.817
-1.872,1.104,-0.235,187.256,-242.798,223.145
-1.796,1.231,-0.195,194.336,-239.868,188.477
-1.712,1.301,-0.132,191.162,-236.145,147.522
-1.660,1.290,-0.031,182.983,-231.995,103.699
-1.629,1.149,0.098,178.406,-225.891,58.228
-1.610,0.918,0.275,177.551,-215.881,16.663
-1.605,0.644,0.427,189.331,-201.416,-16.846
-1.600,0.453,0.517,204.651,-180.237,-42.358
-1.564,0.363,0.547,212.097,-156.067,-62.012
-1.511,0.317,0.526,219.666,-131.104,-79.163
-1.462,0.306,0.498,220.886,-107.300,-95.276
-1.426,0.319,0.461,213.623,-84.717,-111.572
-1.423,0.356,0.464,190.369,-63.660,-127.686
-1.420,0.396,0.481,155.090,-43.640,-144.104
-1.439,0.418,0.514,108.215,-25.330,-160.828
-1.497,0.473,0.580,49.438,-7.874,-177.612
-1.567,0.525,0.612,10.681,10.071,-195.740
-1.630,0.530,0.635,-19.287,28.992,-214.294
-1.694,0.496,0.607,-25.024,49.805,-233.948
-1.746,0.399,0.511,-22.461,71.533,-254.456
-1.803,0.243,0.376,-23.804,91.125,-275.269
-1.886,0.050,0.259,-22.949,105.835,-294.128
-1.937,-0.200,0.194,-14.282,114.929,-309.387
-1.972,-0.437,0.265,-26.306,120.300,-318.848
-2.018,-0.653,0.437,-55.969,124.573,-322.205
-2.018,-0.836,0.609,-74.280,132.751,-319.153
-1.996,-0.983,0.741,-80.017,146.057,-310.364
-1.948,-1.095,0.818,-84.167,163.757,-296.204
-1.896,-1.162,0.832,-84.778,184.998,-278.259
-1.830,-1.212,0.790,-89.722,207.825,-258.484
-1.757,-1.268,0.734,-97.534,229.431,-238.708
-1.712,-1.333,0.677,-108.154,249.512,-218.811
-1.702,-1.396,0.557,-108.459,269.836,-199.646
-1.736,-1.480,0.342,-85.571,289.429,-179.810
-1.709,-1.594,0.114,-54.810,304.382,-156.250
-1.687,-1.733,-0.091,-25.635,312.561,-127.319
-1.677,-1.839,-0.251,-14.526,315.002,-90.576
-1.657,-1.873,-0.384,-5.920,313.293,-46.082
-1.647,-1.841,-0.593,17.212,309.204,2.686
-1.651,-1.677,-0.727,30.884,300.232,54.077
