Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-1.796,0.546,1.649,46.570,-144.287,-188.049
-1.785,0.454,1.776,50.049,-99.915,-206.116
-1.780,0.403,1.903,47.913,-50.659,-222.595
-1.823,0.379,2.025,49.255,2.136,-238.525
-1.861,0.263,2.019,69.458,60.120,-255.066
-1.933,0.064,1.890,99.609,122.009,-272.095
-1.991,-0.200,1.620,96.741,180.298,-286.255
-2.114,-0.460,1.266,89.233,230.896,-295.349
-2.198,-0.653,0.955,81.177,268.372,-298.706
-2.298,-0.809,0.715,70.068,296.570,-297.729
-2.327,-0.982,0.518,68.909,317.627,-293.091
-2.339,-1.108,0.396,67.932,333.008,-282.898
-2.314,-1.216,0.311,55.542,346.191,-268.066
-2.355,-1.334,0.145,62.134,361.267,-248.718
-2.272,-1.433,-0.064,67.139,376.343,-223.083
-2.171,-1.557,-0.304,77.454,387.390,-190.491
-2.051,-1.654,-0.578,94.727,393.555,-152.100
-1.867,-1.734,-0.879,132.690,389.648,-108.826
-1.738,-1.764,-1.219,163.879,375.244,-58.777
-1.589,-1.735,-1.467,163.147,350.708,-5.432
-1.479,-1.668,-1.689,142.517,316.101,47.363
-1.436,-1.563,-1.822,113.220,273.071,97.534
-1.374,-1.410,-1.846,66.833,222.595,143.921
-1.354,-1.289,-1.783,20.813,171.570,183.533
-1.457,-1.165,-1.689,3.357,124.084,218.323
-1.592,-1.047,-1.599,-9.033,81.116,251.099
-1.693,-0.880,-1.505,-45.532,45.166,283.813
-1.749,-0.637,-1.452,-82.703,17.212,313.599
-1.862,-0.373,-1.398,-92.896,-7.935,336.060
-1.930,-0.080,-1.421,-57.007,-32.227,349.854
-2.003,0.161,-1.438,-12.756,-59.998,352.722
-2.082,0.411,-1.453,18.127,-91.553,350.769
-2.137,0.640,-1.458,32.288,-124.512,343.506
-2.152,0.868,-1.410,36.011,-157.715,331.360
-2.197,1.050,-1.338,53.589,-190.491,312.256
-2.221,1.193,-1.222,58.716,-222.046,287.903
-2.250,1.283,-1.067,58.838,-250.427,260.132
-2.278,1.300,-0.902,69.214,-274.536,230.652
-2.291,1.291,-0.739,85.632,-295.288,200.256
-2.319,1.308,-0.558,88.928,-310.669,170.349
-2.362,1.371,-0.385,85.571,-321.777,141.174
-2.364,1.460,-0.189,87.524,-329.468,110.779
-2.358,1.495,-0.005,109.619,-331.726,75.378
-2.308,1.461,0.215,135.864,-331.421,35.950
-2.265,1.373,0.502,144.470,-326.599,-3.235
-2.199,1.226,0.796,147.339,-313.843,-40.710
-2.112,1.051,0.920,160.034,-290.039,-75.989
-2.049,0.945,1.033,159.729,-261.108,-107.178
-1.938,0.815,1.065,158.264,-229.614,-134.644
-1.867,0.695,1.086,155.029,-195.312,-159.668
-1.839,0.607,1.132,141.296,-160.522,-182.556
-1.806,0.522,1.189,108.948,-126.892,-203.613
-1.791,0.430,1.298,67.871,-95.642,-223.450
-1.770,0.281,1.364,34.912,-64.270,-242.187
-1.802,0.183,1.582,-18.433,-34.363,-257.690
-1.820,0.066,1.894,-61.279,-3.418,-270.386
-1.943,-0.123,2.153,-58.167,37.903,-281.433
-1.955,-0.316,2.306,-40.771,93.201,-289.124
-1.977,-0.540,2.176,-22.705,156.677,-294.434
-2.066,-0.781,1.801,-8.667,217.896,-296.875
-2.174,-0.963,1.415,-5.859,264.465,-294.495
-2.262,-1.123,1.114,-8.301,298.279,-289.124
-2.340,-1.311,0.936,-4.456,323.059,-280.334
-2.367,-1.384,0.805,8.362,343.018,-265.259
-2.365,-1.451,0.654,35.767,361.389,-244.751
-2.385,-1.495,0.467,78.308,380.798,-216.614
-2.417,-1.533,0.190,130.737,400.146,-179.565
-2.328,-1.624,-0.143,165.649,416.870,-135.254
-2.263,-1.690,-0.509,172.668,429.016,-86.182
-2.112,-1.724,-0.919,187.866,430.664,-34.546
-1.994,-1.746,-1.423,215.637,418.884,18.921
-1.891,-1.733,-1.880,217.407,393.921,72.998
-1.769,-1.628,-2.168,187.866,348.450,125.427
-1.701,-1.430,-2.344,150.269,286.438,176.819
-1.667,-1.213,-2.408,132.568,222.290,220.398
-1.651,-0.972,-2.398,109.070,154.663,257.019
-1.695,-0.715,-2.318,86.609,88.013,287.842
-1.792,-0.453,-2.154,64.087,25.513,312.500
-1.811,-0.055,-1.994,35.706,-29.541,332.947
-1.899,0.261,-1.840,7.141,-75.317,341.309
-1.942,0.593,-1.736,-0.122,-114.136,337.891
-1.982,0.841,-1.699,33.691,-149.597,325.623
-2.005,1.018,-1.674,89.600,-186.035,303.772
-2.081,1.117,-1.531,123.718,-225.159,275.391
-2.130,1.129,-1.365,143.494,-264.465,243.896
-2.208,1.119,-1.133,141.907,-300.110,212.952
-2.331,1.081,-0.931,129.272,-329.285,183.655
-2.425,1.059,-0.753,119.263,-352.661,156.433
-2.495,1.057,-0.536,99.792,-373.962,131.348
-2.533,1.039,-0.268,86.060,-390.930,106.873
-2.572,1.000,-0.023,77.271,-400.024,82.031
-2.550,0.934,0.232,67.444,-403.748,57.983
-2.496,0.844,0.470,62.561,-400.024,34.973
-2.418,0.730,0.658,68.359,-387.878,13.916
-2.329,0.611,0.770,77.087,-369.568,-4.883
-2.226,0.526,0.966,87.158,-346.497,-21.851
-2.104,0.411,1.104,122.131,-316.528,-39.063
-1.965,0.354,1.250,154.480,-279.663,-54.932
-1.823,0.354,1.313,192.017,-236.877,-70.801
-1.693,0.405,1.346,222.717,-190.918,-88.623
-1.585,0.458,1.363,230.042,-146.118,-108.948
-1.570,0.490,1.412,208.557,-104.065,-130.615
-1.572,0.511,1.524,159.729,-64.209,-152.161
-1.606,0.493,1.682,107.239,-24.719,-173.401
-1.686,0.439,1.800,63.904,16.907,-193.909
-1.766,0.362,1.869,18.799,63.110,-213.135
-1.837,0.245,1.827,7.141,114.929,-232.300
-1.934,0.031,1.591,25.574,168.274,-251.343
-2.039,-0.212,1.281,35.583,216.370,-266.968
-2.153,-0.481,1.005,39.001,253.174,-277.649
-2.232,-0.739,0.816,38.086,281.372,-281.250
-2.278,-0.964,0.713,37.659,305.054,-278.015
-2.293,-1.128,0.570,54.871,328.552,-267.761
-2.364,-1.199,0.382,80.872,351.624,-251.587
-2.351,-1.280,0.149,99.182,371.948,-229.309
-2.338,-1.390,-0.051,85.449,386.536,-202.576
-2.259,-1.539,-0.255,70.984,396.790,-172.119
-2.149,-1.665,-0.537,71.472,405.762,-137.329
-2.036,-1.764,-0.912,106.262,409.363,-98.145
Done. Type '시작' to run again.
