Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-1.416,-0.917,1.218,-50.598,-19.165,-158.936
-1.405,-0.847,1.385,-94.360,10.498,-139.954
-1.397,-0.690,1.468,-112.427,45.715,-124.084
-1.449,-0.470,1.525,-136.414,83.069,-115.295
-1.536,-0.267,1.543,-142.151,119.751,-115.173
-1.630,-0.141,1.510,-125.488,155.640,-123.169
-1.738,-0.132,1.469,-101.135,190.430,-136.353
-1.845,-0.260,1.382,-71.106,224.915,-150.513
-1.917,-0.474,1.238,-42.480,259.033,-160.095
-1.972,-0.695,1.052,-25.269,293.640,-162.354
-2.004,-0.884,0.734,-18.188,327.332,-158.142
-2.062,-0.898,0.567,-43.091,355.408,-151.001
-2.111,-0.930,0.352,-30.884,377.014,-142.273
-2.138,-0.977,0.135,-0.793,396.301,-130.310
-2.153,-1.059,-0.075,23.376,411.011,-114.502
-2.161,-1.134,-0.286,49.255,420.166,-92.712
-2.174,-1.187,-0.541,86.853,423.035,-64.087
-2.134,-1.185,-0.825,129.211,418.701,-28.992
-2.047,-1.156,-1.098,175.964,405.029,10.132
-1.958,-1.129,-1.426,211.731,384.033,53.101
-1.805,-1.073,-1.776,213.318,353.027,96.558
-1.682,-0.965,-1.901,183.167,300.964,136.597
-1.558,-0.827,-2.029,129.089,246.582,172.363
-1.486,-0.688,-2.061,84.106,192.688,199.707
-1.453,-0.547,-2.028,59.082,137.512,220.215
-1.418,-0.424,-1.982,47.363,85.938,235.901
-1.413,-0.239,-1.905,45.105,33.142,248.718
-1.460,-0.097,-1.787,37.109,-16.235,254.272
-1.513,0.059,-1.625,27.649,-63.232,257.568
-1.560,0.211,-1.447,22.339,-106.628,258.118
-1.613,0.334,-1.270,19.226,-145.203,254.578
-1.698,0.435,-1.083,11.169,-179.199,248.474
-1.767,0.549,-0.906,2.869,-205.750,241.089
-1.806,0.633,-0.809,24.231,-224.304,229.431
-1.818,0.703,-0.752,67.444,-239.075,212.646
-1.786,0.734,-0.757,119.141,-251.404,190.247
-1.769,0.719,-0.750,156.860,-265.381,163.208
-1.823,0.684,-0.658,147.461,-283.203,137.451
-1.927,0.650,-0.507,106.750,-300.110,116.211
-2.012,0.634,-0.344,64.270,-311.646,100.220
-2.021,0.628,-0.226,34.546,-315.979,87.585
-2.072,0.643,-0.078,10.132,-317.078,75.989
-2.159,0.679,0.067,2.014,-313.293,64.270
-2.143,0.720,0.108,31.006,-303.345,51.636
-2.137,0.787,0.141,62.439,-293.518,36.743
-2.138,0.857,0.209,71.777,-285.828,18.921
-2.106,0.890,0.279,86.304,-278.809,-2.319
-2.059,0.888,0.396,103.577,-272.217,-26.428
-1.998,0.820,0.532,133.911,-263.245,-53.772
-1.906,0.675,0.603,181.763,-249.146,-82.397
-1.812,0.516,0.678,219.177,-230.713,-108.643
-1.736,0.388,0.750,232.727,-206.787,-130.554
-1.679,0.213,0.790,239.197,-180.847,-147.583
-1.578,0.130,0.892,199.402,-149.841,-158.447
-1.521,0.083,0.961,153.259,-115.051,-163.940
-1.492,0.119,0.984,125.977,-79.224,-167.114
-1.501,0.223,0.992,94.971,-43.274,-171.570
-1.571,0.284,1.013,51.025,-10.742,-182.861
