Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-1.468,0.822,0.668,289.917,-90.881,-113.098
-1.493,0.752,0.713,249.084,-66.895,-149.048
-1.553,0.641,0.847,193.970,-43.884,-182.068
-1.617,0.494,1.014,138.428,-19.104,-210.754
-1.658,0.325,1.197,92.224,7.874,-233.521
-1.708,0.163,1.361,54.260,39.978,-250.366
-1.771,0.023,1.483,26.550,78.369,-261.719
-1.840,-0.126,1.479,14.404,122.253,-269.836
-1.925,-0.267,1.368,8.972,167.480,-275.391
-2.038,-0.375,1.119,-2.258,211.792,-278.503
-2.128,-0.544,0.764,-4.639,248.047,-280.823
-2.190,-0.736,0.502,-19.226,273.315,-281.189
-2.237,-0.945,0.397,-57.739,287.964,-279.541
-2.242,-1.163,0.413,-104.736,296.753,-275.513
-2.230,-1.358,0.499,-151.611,304.382,-268.372
-2.222,-1.515,0.532,-176.392,314.697,-257.751
-2.211,-1.663,0.480,-173.889,328.064,-243.286
-2.197,-1.765,0.323,-154.846,341.187,-224.426
-2.143,-1.907,0.101,-142.639,351.807,-200.867
-2.056,-2.064,-0.097,-152.832,357.483,-172.424
-2.003,-2.188,-0.255,-182.800,356.750,-140.381
-1.916,-2.337,-0.422,-186.279,351.562,-106.445
-1.836,-2.493,-0.633,-165.710,342.407,-65.857
-1.771,-2.536,-0.743,-145.691,323.792,-15.198
-1.754,-2.499,-0.872,-125.061,306.030,37.964
-1.763,-2.346,-1.021,-100.525,287.659,93.689
-1.765,-2.074,-1.176,-76.599,267.273,148.560
-1.764,-1.744,-1.400,-62.744,246.094,199.463
-1.788,-1.372,-1.424,-71.960,216.736,241.394
-1.792,-1.069,-1.536,-83.435,191.162,272.034
-1.791,-0.781,-1.474,-96.802,159.485,294.983
-1.763,-0.536,-1.460,-90.698,131.531,310.425
-1.747,-0.336,-1.449,-56.885,103.699,320.312
-1.729,-0.197,-1.468,-6.958,74.707,325.684
-1.725,-0.110,-1.439,40.833,41.748,327.576
-1.708,0.002,-1.390,75.867,7.568,328.003
-1.705,0.059,-1.272,100.647,-25.879,322.815
-1.731,0.125,-1.193,133.423,-58.167,313.538
-1.770,0.200,-1.136,152.222,-89.050,302.551
-1.852,0.313,-1.034,142.334,-118.896,290.588
-1.935,0.416,-0.950,132.996,-146.606,277.405
-1.989,0.524,-0.838,122.437,-171.997,263.245
-2.031,0.605,-0.646,112.366,-196.533,248.169
-2.045,0.631,-0.375,109.924,-217.529,231.628
-1.967,0.637,-0.070,122.620,-230.286,213.867
-1.855,0.628,0.198,164.307,-234.131,194.275
-1.726,0.613,0.363,207.947,-228.821,171.509
-1.588,0.612,0.519,243.713,-218.323,146.484
-1.457,0.624,0.594,274.353,-203.125,119.141
-1.329,0.622,0.599,298.706,-183.838,89.478
-1.240,0.625,0.563,318.359,-162.537,57.678
-1.217,0.636,0.471,342.224,-140.198,24.658
-1.218,0.599,0.283,379.028,-119.019,-7.690
-1.230,0.547,0.141,400.513,-101.746,-38.452
-1.277,0.503,0.078,392.395,-88.074,-67.017
-1.326,0.443,0.043,381.897,-75.684,-92.407
-1.376,0.432,0.065,353.271,-64.392,-113.708
-1.388,0.462,0.125,296.936,-53.467,-131.775
-1.397,0.493,0.256,210.693,-42.847,-149.231
-1.419,0.499,0.413,110.718,-31.372,-167.297
-1.433,0.463,0.571,35.156,-17.761,-185.974
-1.434,0.387,0.714,2.258,-0.793,-205.261
-1.463,0.282,0.792,-2.930,21.057,-224.121
-1.496,0.160,0.793,6.165,46.692,-241.455
-1.572,0.045,0.789,10.193,73.486,-255.981
-1.683,-0.075,0.746,6.470,100.464,-267.822
-1.779,-0.221,0.656,8.179,126.831,-277.405
-1.857,-0.340,0.537,7.202,151.306,-282.837
-1.892,-0.479,0.402,5.737,171.814,-284.058
-1.931,-0.547,0.298,-9.644,187.805,-281.250
-1.935,-0.633,0.176,-18.677,199.707,-276.550
-1.941,-0.729,0.087,-31.372,207.458,-270.325
-1.912,-0.831,0.041,-53.223,211.975,-262.329
-1.876,-0.931,0.029,-71.838,213.867,-252.563
-1.814,-1.016,0.060,-96.985,213.745,-239.929
-1.761,-1.078,0.170,-123.413,212.158,-224.731
-1.711,-1.138,0.313,-137.939,211.548,-207.397
-1.652,-1.205,0.430,-129.395,214.294,-187.622
-1.603,-1.324,0.504,-104.980,221.375,-165.527
-1.570,-1.422,0.528,-89.905,234.436,-138.794
-1.550,-1.474,0.442,-74.585,250.793,-108.215
-1.518,-1.483,0.225,-47.974,266.724,-74.646
-1.500,-1.451,-0.014,-33.508,277.649,-39.307
-1.500,-1.364,-0.159,-45.654,280.640,-4.578
-1.496,-1.353,-0.353,-25.391,278.503,26.550
