Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-1.629,0.602,0.041,139.099,-279.907,17.395
-1.583,0.601,0.134,149.353,-267.273,1.526
-1.573,0.621,0.205,160.828,-251.587,-13.916
-1.569,0.641,0.213,183.533,-233.215,-31.921
-1.593,0.671,0.207,201.965,-214.600,-52.734
-1.631,0.652,0.234,203.918,-198.181,-76.355
-1.660,0.562,0.321,190.369,-182.556,-101.013
-1.670,0.397,0.474,166.565,-167.847,-123.352
-1.681,0.199,0.670,131.165,-152.527,-141.052
-1.677,0.070,0.992,95.337,-136.841,-152.039
-1.650,0.003,1.261,66.284,-111.267,-157.349
-1.598,-0.010,1.469,33.691,-78.979,-159.790
-1.494,0.052,1.643,3.479,-40.100,-160.828
-1.564,0.081,1.783,-17.395,-0.427,-162.781
-1.626,0.180,1.842,-37.109,43.762,-166.321
-1.683,0.277,1.881,-44.434,90.576,-174.255
-1.814,0.326,1.881,-33.936,136.841,-186.340
-1.996,0.271,1.760,1.953,184.753,-201.416
-2.170,0.115,1.496,26.794,232.483,-216.064
-2.345,-0.113,1.134,28.687,274.475,-228.271
-2.491,-0.353,0.799,8.606,306.763,-235.657
-2.549,-0.580,0.574,-28.931,328.003,-238.159
-2.582,-0.778,0.401,-67.810,341.492,-235.779
-2.576,-0.973,0.224,-89.294,350.830,-229.919
-2.499,-1.180,-0.013,-81.787,357.178,-218.750
-2.391,-1.345,-0.229,-74.036,359.497,-200.439
-2.270,-1.486,-0.389,-65.979,357.300,-176.514
-2.067,-1.622,-0.574,-35.889,351.990,-148.743
-1.944,-1.698,-0.736,10.254,343.689,-115.295
-1.782,-1.734,-0.856,45.288,331.299,-75.562
-1.650,-1.702,-0.983,67.505,318.237,-32.959
-1.520,-1.680,-1.085,76.965,299.561,8.972
-1.423,-1.586,-1.179,71.533,276.855,52.063
-1.363,-1.442,-1.291,57.434,254.150,93.445
-1.339,-1.288,-1.335,34.851,226.807,131.409
-1.380,-1.076,-1.333,-4.700,191.467,168.518
-1.348,-0.813,-1.252,-42.114,159.668,199.890
-1.324,-0.591,-1.199,-34.668,129.883,222.961
-1.325,-0.362,-1.197,-14.832,103.577,240.417
-1.326,-0.124,-1.219,-4.761,77.271,252.502
-1.319,0.093,-1.166,-11.414,47.180,257.568
-1.326,0.259,-1.113,-11.963,19.043,256.714
-1.388,0.340,-1.106,12.390,-6.226,251.709
