Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-1.753,-1.779,-0.003,-97.229,285.828,-74.402
-1.743,-1.808,-0.043,-90.454,284.790,-33.569
-1.708,-1.762,-0.072,-98.022,284.912,8.667
-1.712,-1.641,-0.123,-98.694,286.499,50.171
-1.733,-1.452,-0.217,-79.468,289.856,90.698
-1.740,-1.270,-0.382,-49.622,292.786,126.404
-1.747,-1.103,-0.570,-26.306,291.931,158.203
-1.746,-0.922,-0.733,-26.978,286.255,186.279
-1.763,-0.736,-0.873,-31.128,274.780,208.618
-1.764,-0.561,-0.987,-24.719,258.911,225.952
-1.766,-0.418,-1.080,5.371,239.380,239.136
-1.734,-0.311,-1.251,65.674,217.957,249.207
-1.691,-0.213,-1.373,137.390,188.049,258.667
-1.652,-0.088,-1.482,191.650,150.818,266.846
-1.604,0.026,-1.597,239.258,110.291,271.667
-1.625,0.175,-1.629,260.864,58.594,272.705
-1.669,0.316,-1.627,268.799,8.606,269.043
-1.698,0.437,-1.635,272.095,-40.283,260.376
-1.730,0.550,-1.593,256.653,-89.172,247.375
-1.761,0.633,-1.531,239.380,-136.108,230.103
-1.792,0.663,-1.479,237.732,-180.969,209.167
-1.869,0.691,-1.376,221.130,-225.708,188.232
-1.959,0.701,-1.247,184.692,-267.151,168.640
-2.096,0.723,-1.069,131.348,-305.298,150.818
-2.211,0.773,-0.831,77.332,-339.111,135.803
-2.260,0.828,-0.598,50.293,-363.159,120.605
-2.326,0.897,-0.339,47.668,-378.174,102.905
-2.335,0.971,-0.093,64.148,-383.423,81.482
-2.267,1.013,0.108,91.553,-382.019,54.260
-2.204,0.998,0.297,120.789,-375.916,22.034
-2.178,0.943,0.470,141.846,-366.089,-10.986
-2.153,0.873,0.648,156.311,-352.661,-42.358
-2.129,0.793,0.786,170.959,-332.581,-71.350
-2.097,0.770,0.973,178.284,-308.655,-96.558
-1.989,0.763,1.050,199.463,-275.574,-120.422
-1.912,0.755,1.084,219.299,-239.563,-145.386
-1.837,0.670,1.023,216.797,-201.965,-173.523
-1.821,0.520,0.991,157.288,-167.664,-202.148
-1.836,0.319,0.982,57.129,-140.930,-226.013
-1.846,0.085,1.020,-31.982,-120.789,-244.263
