Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-1.940,-0.310,0.693,-74.707,144.775,-285.400
-1.949,-0.598,0.795,-95.032,160.583,-291.992
-1.976,-0.891,0.880,-89.294,179.687,-291.504
-2.005,-1.121,0.946,-94.910,203.247,-284.302
-2.024,-1.328,0.938,-94.971,229.004,-271.484
-2.036,-1.439,0.882,-93.994,253.113,-253.296
-2.080,-1.490,0.851,-104.187,274.963,-231.262
-2.090,-1.518,0.772,-102.478,296.509,-205.750
-2.116,-1.530,0.606,-87.646,319.275,-177.002
-2.111,-1.510,0.411,-65.735,340.027,-144.775
-2.115,-1.476,0.150,-36.255,357.727,-110.046
-2.079,-1.438,-0.131,-14.832,370.056,-74.829
-2.024,-1.397,-0.379,-10.742,375.244,-40.466
-1.971,-1.353,-0.569,-8.728,373.596,-8.484
-1.874,-1.373,-0.828,-2.686,367.859,21.057
-1.816,-1.325,-0.899,0.305,349.792,54.749
-1.766,-1.233,-1.003,4.822,331.177,88.989
-1.731,-1.125,-1.138,33.447,311.768,121.216
-1.693,-0.986,-1.306,69.641,287.659,153.931
-1.651,-0.792,-1.392,87.158,255.066,186.035
-1.618,-0.589,-1.458,85.754,220.093,213.745
-1.578,-0.388,-1.442,70.984,181.641,236.145
-1.550,-0.241,-1.433,62.134,146.484,252.258
-1.516,-0.098,-1.450,72.021,113.403,264.709
-1.496,-0.014,-1.467,82.581,79.346,270.752
-1.524,0.050,-1.496,82.031,44.739,274.658
-1.527,0.133,-1.528,63.293,11.902,276.672
-1.549,0.221,-1.548,55.298,-20.142,274.841
-1.572,0.293,-1.537,80.078,-56.641,268.555
-1.611,0.323,-1.477,121.338,-97.168,257.812
-1.669,0.339,-1.358,134.949,-137.451,246.277
-1.726,0.340,-1.151,117.432,-176.392,235.352
-1.821,0.359,-0.954,93.933,-209.656,225.220
-1.914,0.376,-0.784,69.580,-233.704,214.905
-1.978,0.396,-0.656,56.763,-250.244,205.200
-2.007,0.412,-0.572,61.890,-261.902,194.458
-2.005,0.423,-0.479,68.665,-272.461,182.129
-2.002,0.424,-0.341,65.796,-281.982,168.762
-1.986,0.396,-0.160,69.336,-289.062,154.907
-1.948,0.338,0.045,81.421,-292.053,140.747
-1.876,0.287,0.228,98.267,-286.560,127.014
-1.787,0.262,0.381,125.122,-273.254,114.136
-1.687,0.284,0.472,162.231,-257.080,100.830
-1.601,0.385,0.525,192.139,-238.525,87.219
-1.517,0.525,0.565,210.632,-217.712,70.984
-1.434,0.646,0.560,232.361,-195.496,50.293
-1.350,0.677,0.473,245.605,-171.936,25.574
-1.338,0.694,0.474,228.027,-149.841,-0.366
-1.307,0.725,0.434,212.524,-127.869,-24.658
-1.287,0.736,0.397,200.012,-107.056,-49.561
-1.275,0.683,0.372,199.158,-86.731,-75.684
-1.274,0.607,0.354,197.632,-67.078,-99.854
-1.297,0.578,0.353,190.369,-48.401,-120.422
-1.320,0.623,0.365,166.382,-30.518,-137.695
-1.348,0.681,0.414,127.258,-13.123,-155.457
-1.424,0.712,0.473,91.553,3.540,-175.537
-1.482,0.698,0.484,74.829,21.729,-197.144
-1.573,0.630,0.491,55.664,40.161,-218.689
-1.657,0.512,0.520,25.146,57.312,-239.624
-1.754,0.354,0.573,-1.770,72.693,-257.935
-1.854,0.174,0.633,-25.513,87.158,-272.827
-1.930,0.005,0.711,-50.598,101.379,-283.630
-1.990,-0.146,0.835,-76.172,115.723,-291.077
-2.050,-0.313,0.986,-86.609,131.836,-295.898
-2.087,-0.511,1.027,-79.224,154.724,-296.875
-2.097,-0.716,0.989,-59.814,182.434,-293.579
-2.120,-0.914,0.934,-55.969,208.801,-286.682
-2.141,-1.096,0.938,-68.726,231.323,-277.039
-2.166,-1.241,0.990,-90.088,252.136,-264.404
-2.186,-1.361,1.002,-99.304,275.085,-248.779
-2.208,-1.461,0.933,-92.712,301.086,-229.553
-2.225,-1.505,0.734,-76.477,329.468,-206.604
-2.232,-1.548,0.484,-62.073,354.980,-181.274
-2.215,-1.601,0.225,-46.326,375.000,-154.297
-2.169,-1.691,-0.036,-24.048,388.245,-124.817
-2.120,-1.786,-0.329,13.916,394.714,-90.210
-2.051,-1.857,-0.589,40.710,394.592,-49.683
-1.935,-1.877,-0.901,47.363,388.428,-5.127
-1.889,-1.801,-1.109,51.575,366.943,44.922
-1.823,-1.714,-1.369,85.754,344.299,96.008
-1.766,-1.531,-1.576,128.052,311.646,148.865
-1.733,-1.289,-1.765,130.981,271.423,198.608
-1.704,-1.002,-1.854,104.370,223.511,240.601
-1.674,-0.671,-1.823,76.843,173.401,273.315
-1.685,-0.393,-1.815,77.515,125.854,295.715
-1.718,-0.173,-1.752,77.942,78.064,310.730
-1.726,0.076,-1.700,69.336,33.630,319.641
-1.719,0.224,-1.643,68.115,-7.446,316.223
-1.723,0.325,-1.550,92.407,-49.194,309.021
-1.769,0.380,-1.441,116.455,-91.187,299.072
-1.793,0.422,-1.319,124.390,-129.272,286.743
-1.807,0.437,-1.214,138.733,-163.269,272.156
-1.881,0.402,-1.099,156.982,-196.167,255.737
-1.881,0.398,-0.939,161.499,-226.624,239.319
-1.934,0.369,-0.775,154.053,-252.075,222.473
-1.994,0.349,-0.615,136.047,-272.339,206.421
-2.013,0.349,-0.484,119.507,-285.950,191.772
-2.009,0.363,-0.362,116.638,-294.922,176.758
-2.020,0.365,-0.255,122.009,-301.453,161.133
-2.005,0.382,-0.132,117.371,-305.969,145.264
-1.980,0.416,0.009,109.863,-306.519,130.005
-1.950,0.480,0.190,114.136,-303.650,114.563
-1.903,0.532,0.331,145.935,-294.495,96.436
-1.835,0.571,0.442,196.167,-282.898,75.623
-1.746,0.594,0.496,237.732,-267.395,52.490
-1.705,0.593,0.573,244.568,-249.878,28.015
-1.634,0.707,0.617,240.540,-228.027,5.310
-1.568,0.801,0.598,272.705,-202.759,-19.287
-1.488,0.895,0.595,292.786,-177.307,-49.072
-1.442,0.946,0.580,294.495,-150.635,-83.435
-1.413,0.925,0.540,277.771,-122.559,-120.056
-1.427,0.847,0.546,243.530,-95.642,-155.823
-1.477,0.719,0.619,199.768,-70.435,-189.026
-1.539,0.525,0.729,157.471,-45.837,-217.712
-1.618,0.330,0.859,118.958,-19.531,-239.929
-1.695,0.171,0.957,88.928,8.728,-255.127
-1.771,0.030,0.969,74.402,38.940,-264.648
-1.850,-0.051,0.944,58.167,69.153,-269.897
-1.905,-0.115,0.917,31.311,96.680,-271.729
Done. Type '시작' to run again.
